"uuid:ID","decode","id","codeSystem","code","codeSystemVersion"
"7b3dfaa4-a5b6-43ab-92c8-3cb1b7b652c0","Interventional Study","Code_1","http://www.cdisc.org","C98388","2023-09-29"
"732b34f2-418f-4cee-ab3c-93b7a1b974a3","Phase II Trial","Code_2","http://www.cdisc.org","C15601","2023-09-29"
"10ddd9a6-30a5-44d9-83b2-dbe126d98646","Sponsor Approval Date","Code_5","http://www.cdisc.org","C132352","2023-09-29"
"995b2f8a-674c-487b-9f94-5872c7f0b219","Global","Code_6","http://www.cdisc.org","C68846","2023-09-29"
"4bd2ad2d-620f-470c-b018-095cd2139f9b","IRB/IEC Feedback","Code_54","http://www.cdisc.org","C99904x3","2023-09-29"
"f6e7dd21-8c81-4936-9fe9-b6d0bb71b205","Other","Code_55","http://www.cdisc.org","C17649","2023-09-29"
"7046bfec-e984-4514-913c-68b4415d40e9","Region","Code_57","http://www.cdisc.org","C41129","2023-09-29"
"0ce136b4-7a6a-41c2-8818-90ec47f89be8","Europe","Code_56","ISO 3166 1 alpha3","150","2020-08"
"de00ce66-2d82-4d9d-9dff-24ce7abf6b3f","Eli Lilly","Code_3","SPONSOR","PHARMA","12"
"4f5a34ba-9db7-405c-aaaf-8c60ea02cdfd","Clinical Study Sponsor","Code_58","http://www.cdisc.org","C70793","2023-09-29"
"fac35202-0570-4a5f-b2bb-647af0703444","United States of America","Code_59","ISO 3166 1 alpha3","USA","2020-08"
"ec5afcce-6d28-436a-acf4-a237c6d8039c","Study Registry","Code_60","http://www.cdisc.org","C93453","2023-09-29"
"e70e6a9f-0f9e-40b2-9821-eb5ae4b78bd0","Treatment Study","Code_118","http://www.cdisc.org","C49656","2023-09-29"
"2324063d-1ab7-42ee-ae28-49442758b552","Efficacy Study","Code_119","http://www.cdisc.org","C49666","2023-09-29"
"a71574aa-05fa-4523-a26d-cefe3a8fa5eb","Safety Study","Code_120","http://www.cdisc.org","C49667","2023-09-29"
"7d1df77a-cabd-4284-b2ca-8f2cff96de2f","Pharmacokinetic Study","Code_121","http://www.cdisc.org","C49663","2023-09-29"
"d032fe8e-b41a-4d0f-ae8d-3891b43c3276","Mild to Moderate Alzheimer\'s Disease","Code_115","SPONSOR","MILD_MOD_ALZ","12"
"213a3c65-1455-416c-bce3-7288836b7a06","Alzheimer\'s disease","Code_116","SNOMED","26929004","January 31, 2018"
"ea8cbc5e-2d16-49ea-b579-e8d975a121a4","Parallel Study","Code_122","http://www.cdisc.org","C82639","2023-09-29"
"0a8c923a-5ea9-4849-bd4f-c0503342b684","Visit","Code_64","http://www.cdisc.org","C25716","2023-09-29"
"bac2478c-efe8-423e-b85c-bd238c23cf80","Clinic","Code_65","http://www.cdisc.org","C51282","2023-09-29"
"a4362e7c-93f0-4f75-8be1-ba9dd9a41f5f","In Person","Code_66","http://www.cdisc.org","C175574","2023-09-29"
"a5368270-edcb-4fb5-aed1-69e0e474199f","Visit","Code_67","http://www.cdisc.org","C25716","2023-09-29"
"6deb63bc-a801-430c-adb2-bf115bee8099","Clinic","Code_68","http://www.cdisc.org","C51282","2023-09-29"
"6d6618e5-2865-4645-b9cc-0d39e57a8a7f","In Person","Code_69","http://www.cdisc.org","C175574","2023-09-29"
"58031f08-a27b-4a10-b103-a2eed433012c","Visit","Code_70","http://www.cdisc.org","C25716","2023-09-29"
"bc431667-1d39-43a9-ae40-6ac81b7f958f","Clinic","Code_71","http://www.cdisc.org","C51282","2023-09-29"
"ac26983e-6083-4b9c-9974-15ec34d00f02","In Person","Code_72","http://www.cdisc.org","C175574","2023-09-29"
"89e75626-338c-4c24-aa9d-88b3f0a19dd2","Visit","Code_73","http://www.cdisc.org","C25716","2023-09-29"
"610d2bf6-5982-443a-82b1-17d930d92401","Clinic","Code_74","http://www.cdisc.org","C51282","2023-09-29"
"40cc446e-5671-4ef8-878f-69574a3f3e25","In Person","Code_75","http://www.cdisc.org","C175574","2023-09-29"
"10618274-3df4-42b9-9425-ba5834517aa0","Visit","Code_76","http://www.cdisc.org","C25716","2023-09-29"
"f398f941-47aa-4708-9a8c-9e1aad03737d","Clinic","Code_77","http://www.cdisc.org","C51282","2023-09-29"
"34847333-b5aa-4175-ae12-a2486fdfb528","In Person","Code_78","http://www.cdisc.org","C175574","2023-09-29"
"f10a3c0c-e329-4093-aa0f-a78d185fe82f","Visit","Code_79","http://www.cdisc.org","C25716","2023-09-29"
"6ff8a299-d7c5-4456-baf4-596ff76db843","Clinic","Code_80","http://www.cdisc.org","C51282","2023-09-29"
"0cf1f463-647e-48cc-b81d-dbb614c96286","In Person","Code_81","http://www.cdisc.org","C175574","2023-09-29"
"076bb351-0918-40f7-a45d-646eb80a76a0","Visit","Code_82","http://www.cdisc.org","C25716","2023-09-29"
"946e9011-2704-4ac5-81e8-6e58374bf9e1","Clinic","Code_83","http://www.cdisc.org","C51282","2023-09-29"
"a429654d-6884-4011-a7a1-e8f523978e10","In Person","Code_84","http://www.cdisc.org","C175574","2023-09-29"
"02a237eb-1064-4143-a9b5-0b04a4c31242","Telephone Call","Code_85","http://www.cdisc.org","C171537","2023-09-29"
"6d4a79be-d25b-4b20-a3c1-bec5f8a89af4","Visit","Code_86","http://www.cdisc.org","C25716","2023-09-29"
