"uuid:ID","timingValue","timingWindowLower","id","label","timingWindowUpper","name","description","timingWindow"
"621b5f3c-6c1c-4cf5-950c-475ec46686b1","P2W","","Timing_1","Screening","","TIM1","Screening timing",""
"c2be76d8-3a89-4e6e-a7a3-30160ec02854","P2D","PT4H","Timing_2","Pre dose","PT0H","TIM2","Pre dose timing","-4..0 hours"
"554d3172-ef4b-4f51-8efb-9f6ccefe915b","P1D","","Timing_3","Dosing","","TIM3","Dosing anchor",""
"0136f7e1-52ef-44e1-9eb6-c38ae512b4ac","P2W","P3D","Timing_4","Week 2","P3D","TIM4","Week 2 timing","-3..3 days"
"4080b9a9-6c9b-42ae-a348-50dbcf48ea77","P4W","P3D","Timing_5","Week 4","P3D","TIM5","Week 4 timing","-3..3 days"
"b2c73c95-0a8f-4c67-ab03-711f17d3f3bd","P6W","P3D","Timing_6","Week 6","P3D","TIM6","Week 6 timing","-3..3 days"
"f0bf8520-ff9f-4557-85f0-6523315f3b56","P8W","P3D","Timing_7","Week 8","P3D","TIM7","Week 8 timing","-3..3 days"
"66762aca-3ee7-402c-8a7e-2d05b02223ec","P2W","","Timing_8","Week 8 Home","","TIM8","Week 8 at home timing",""
"d1b936a3-2241-4dee-91a4-68cf24b3453c","P12W","P4D","Timing_9","Week 12","P4D","TIM9","Week 12 timing","-4..4 days"
"41c1b458-a849-46fa-8951-b6f316744ba7","P2W","","Timing_10","Week 12 Home","","TIM10","Week 12 at home timing",""
"95870e16-b818-4363-b536-e6a9c2030ff6","P16W","P4D","Timing_11","Week 16","P4D","TIM11","Week 16 timing","-4..4 days"
"4f305d68-141c-4db8-951f-5ea8d77b6ea5","P2W","","Timing_12","Week 16 Home","","TIM12","Week 16 at home timing",""
"0852e122-15f1-4ceb-849c-647a4af9de22","P20W","P4D","Timing_13","Week 20","P4D","TIM13","Week 20 timing","-4..4 days"
"bdab5912-32e4-46e3-93c1-119302b4c3e0","P2W","","Timing_14","Week 20 Home","","TIM14","Week 20 at home timing",""
"07ec544c-0536-41ae-9dcf-391031e99153","P24W","P4D","Timing_15","Week 24","P4D","TIM15","Week 24 timing","-4..4 days"
"062335d6-290b-46a6-84f7-55cd73034c5e","P26W","P3D","Timing_16","Week 26","P3D","TIM16","Week 26 timing","-3..3 days"
"5f178b7d-289d-4e93-acd7-3872d64c740e","P1D","","Timing_17","Adverse Event","","TIM17","Adverse Event",""
"95a74885-408c-448b-81ce-e9a2e1880bc9","P1D","","Timing_18","Early Termination","","TIM18","Early Termination",""
"96ba9cc3-e798-4fdf-b0fa-cdbec42571cc","PT0M","","Timing_19","BP Anchor","","TIM19","BP Anchor",""
"5f0d93d9-370e-4223-9aba-4ef67b273343","PT5M","","Timing_20","BP while Supine","","TIM20","BP while Supine",""
"6697a612-44f5-40d9-bba2-fa4960d07c99","PT3M","PT2M","Timing_21","BP Stand Up","PT0M","TIM21","BP Stand Up","-2..0 mins"
"fae6a29a-2af9-4b14-92fc-b36d88fbae3b","PT0M","","Timing_22","BP while standing","","TIM22","BP while standing",""
