"uuid:ID","id","label","name","description","text"
"86c57086-8d2e-4ffe-8ba1-0dce47ad4f51","TransitionRule_1","","ENCOUNTER_START_RULE_1","","Subject identifier"
"493a8bbb-5fc7-4182-adc8-f427edf41f71","TransitionRule_2","","ENCOUNTER_START_RULE_1","","completion of screening activities"
"2852e795-8308-4287-903c-371b915dbf7a","TransitionRule_3","","ENCOUNTER_START_RULE_2","","subject leaves clinic after connection of ambulatory ECG machine"
"03250bb2-03c2-45ff-a6df-57db2f46593a","TransitionRule_4","","ENCOUNTER_START_RULE_3","","subject has connection of ambulatory ECG machine removed"
"be77d08b-2da4-4ff5-b274-e67cf99370c1","TransitionRule_5","","ENCOUNTER_START_RULE_3","","Radomized"
"1f955e76-6f5d-4ced-877a-0d30ae1b6ffc","TransitionRule_6","","ENCOUNTER_START_RULE_12","","End of treatment"
"214a0d0e-24d9-4650-b8f2-db5728e57f21","TransitionRule_7","","ELEMENT_START_RULE_1","","Informed consent"
"081b57f6-77e8-48f1-8281-d379a54720b6","TransitionRule_8","","ELEMENT_END_RULE_1","","Completion of all screening activities and no more than 2 weeks from informed consent"
"3d9074db-45de-4e25-a6ca-568c955f0481","TransitionRule_9","","ELEMENT_START_RULE_2","","Administration of first dose"
"07c3964b-ffb8-4340-ba4e-5877361ec732","TransitionRule_14","","ELEMENT_START_RULE_7","","End of last scheduled visit on study (including early termination)"
"206b4745-dc9f-41ba-85b5-e338d7f9fbae","TransitionRule_15","","ELEMENT_END_RULE_7","","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"6f193138-2fc5-444e-ba68-e10b1fc15380","TransitionRule_10","","ELEMENT_START_RULE_3","","Administration of first dose"
"dc7a191c-d0ed-45fd-9031-f9934bc2defe","TransitionRule_11","","ELEMENT_START_RULE_4","","Randomized"
"94431965-cf9a-4931-8c6c-dd68c56dbf1b","TransitionRule_12","","ELEMENT_START_RULE_5","","Administration of first dose (from patches supplied at Visit 4)"
"4c0deba3-dfc2-417d-9faf-2ac2bc3504bb","TransitionRule_13","","ELEMENT_START_RULE_6","","Administration of first dose (from patches supplied at Visit 12)"
