"bcPropertyEnabled","uuid:ID","bcPropertyResponseCodes","id","bcPropertyDatatype","label","name","bcPropertyRequired"
"True","dff729db-45c7-455f-9514-82ae02e8b318","[]","BiomedicalConceptProperty_86","decimal","Vital Signs Result","Vital Signs Result","True"
"True","52c38de4-c849-4ec8-b848-58be306c514d","","BiomedicalConceptProperty_87","string","Unit of Temperature","Unit of Temperature","True"
"True","d2071197-4c76-4f56-83fd-85aa54645151","[]","BiomedicalConceptProperty_88","string","Vital Signs Location","Vital Signs Location","True"
"True","c167901a-5f97-4f84-965a-739638ee1f0e","[]","BiomedicalConceptProperty_89","decimal","Vital Signs Result","Vital Signs Result","True"
"True","2159af21-ceb5-42cf-989f-a425ce63e3d9","","BiomedicalConceptProperty_90","string","Unit of Weight","Unit of Weight","True"
"True","9483d6ed-34f7-4759-961a-90e2fc5a1122","[]","BiomedicalConceptProperty_91","decimal","Vital Signs Result","Vital Signs Result","True"
"True","f996ac8e-6045-484a-ac4f-6dadb677bb53","","BiomedicalConceptProperty_92","string","Unit of Height","Unit of Height","True"
"True","b7915ab4-910c-40c5-b2d8-39c97d9b90b7","[]","BiomedicalConceptProperty_93","decimal","Laboratory Test Result","Laboratory Test Result","True"
"True","849ea132-820d-4a65-88ba-7cee7ab1dc38","[]","BiomedicalConceptProperty_94","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
"True","6f6ff1f9-fa5b-4d41-b481-37b22a5fb3e3","[]","BiomedicalConceptProperty_95","string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True"
"True","bac73825-38c1-4d08-b58f-89a7895e6ce1","[]","BiomedicalConceptProperty_96","string","Biospecimen Type","Biospecimen Type","True"
"True","ef007cbd-79c8-4dfc-8b0e-c193f56c7f86","[]","BiomedicalConceptProperty_97","string","Laboratory Test Result","Laboratory Test Result","True"
"True","338f2cfd-09eb-42e0-a8e9-8dfa46bb0574","[]","BiomedicalConceptProperty_98","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True"
