"uuid:ID","bcReference","id","label","name","bcSynonyms"
"82cc31e9-0170-4cbc-8532-290cdddcf9fe","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_18","Body Temperature","Body Temperature","['Temperature']"
"ffc44ab8-0b2b-4bcb-96de-34f6e3752b16","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_19","Body Weight","Body Weight","['Weight']"
"4ba2ba20-9cac-41b7-859e-a027d2c413cf","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_20","Body Height","Body Height","['Height']"
"6c872f9b-8531-4d2c-a6d6-284c287bbef4","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_21","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']"
"7ec2ac54-1a8e-41c1-b822-5de9a1095f2c","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_22","Albumin Measurement","Albumin Measurement","['Albumin']"
"144a944e-156a-43e6-8391-576da3bd2b53","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_23","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']"
"36b11d0d-a980-4fa3-917a-2c7ebb9728d3","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_24","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']"
"7aaeb274-824a-424b-9e5a-6478ff8441b6","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_25","Creatinine Measurement","Creatinine Measurement","['Creatinine']"
"b6f21c98-5ba1-4bde-adc6-d3d40ac35585","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_26","Potassium Measurement","Potassium Measurement","['Potassium', 'K']"
"46706da2-44a6-4a69-959c-0142d61de579","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_27","Sodium Measurement","Sodium Measurement","['Sodium', 'NA']"
