"uuid:ID","id","label","transitionStartRule","name","transitionEndRule","description"
"028dc721-1ae4-4bce-9715-ea58fcf35b1b","Encounter_1","Screening 1","","E1","","Screening encounter"
"ad73aebb-fc11-438a-a6e4-3052f1a2bd0e","Encounter_2","Screening 2","","E2","","Screening encounter - Ambulatory ECG Placement"
"03570ea6-7525-4024-b977-8f2106eb4ae0","Encounter_3","Baseline","","E3","","Baseline encounter - Ambulatory ECG Removal"
"cb361332-5152-4ba8-b690-d1e433680753","Encounter_4","Week 2","","E4","","Day 14"
"c46fd46b-1176-4f55-a39a-dcdeac90f690","Encounter_5","Week 4","","E5","","Day 28"
"ca7a2374-9f98-4c2e-825f-d0106461741a","Encounter_6","Week 6","","E7","","Day 42"
"ae01d0c6-dbf1-4400-aaaf-ad8121e5c432","Encounter_7","Week 8","","E8","","Day 56"
"1545a9e8-5ab0-429c-afe9-e315d2c7a23b","Encounter_8","Week 12","","E9","","Day 84"
"8fbdddf7-538a-4fd5-a4c4-e51b03758f8f","Encounter_9","Week 16","","E10","","Day 112"
"3b795a73-b9ad-4427-b03b-a18a87de079a","Encounter_10","Week 20","","E11","","Day 140"
"66e04ff4-08c6-4172-a425-6173f549ded2","Encounter_11","Week 24","","E12","","Day 168"
"d1170a12-f8b6-4236-a079-da344b60efff","Encounter_12","Week 26","","E13","","Day 182"
