"id","uuid:ID","name","instanceType","text"
"TransitionRule_1","b8f84696-fe22-4629-b705-60e413ccd68e","ENCOUNTER_START_RULE_1","TransitionRule","Subject identifier"
"TransitionRule_2","07e81647-908c-4363-a7ab-a262e9e32a7f","ENCOUNTER_START_RULE_1","TransitionRule","completion of screening activities"
"TransitionRule_3","ef6e8b56-6e88-4a09-a439-b299849c23fc","ENCOUNTER_START_RULE_2","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","48190f46-21cb-4f20-acad-39c9c1c770c6","ENCOUNTER_START_RULE_3","TransitionRule","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","8b82b9f2-48cc-4519-a7eb-47ac0f249baa","ENCOUNTER_START_RULE_3","TransitionRule","Radomized"
"TransitionRule_6","7d699be5-bdc8-4136-a9e7-ffe1dc3680ca","ENCOUNTER_START_RULE_12","TransitionRule","End of treatment"
"TransitionRule_7","4abbfeba-c420-4418-86aa-015633276302","ELEMENT_START_RULE_1","TransitionRule","Informed consent"
"TransitionRule_8","5a2b21bd-bff4-4440-b2c5-83a71c59216a","ELEMENT_END_RULE_1","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","a8589254-81f0-49c3-8b55-de29fbb647e1","ELEMENT_START_RULE_2","TransitionRule","Administration of first dose"
"TransitionRule_14","1238c740-4f6a-4fe2-9f75-64be668c643f","ELEMENT_START_RULE_7","TransitionRule","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","284068b5-4e4d-49b9-93df-f30634640957","ELEMENT_END_RULE_7","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","8d6e1741-e99c-4c59-b038-cf068f915ab7","ELEMENT_START_RULE_3","TransitionRule","Administration of first dose"
"TransitionRule_11","b82535bb-ef6c-49a5-b6f7-a93e58bbdd10","ELEMENT_START_RULE_4","TransitionRule","Randomized"
"TransitionRule_12","f2f7463d-a0f9-4496-a329-f01ab028882c","ELEMENT_START_RULE_5","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","cba79739-ac23-4f89-a853-7dde3b7819ad","ELEMENT_START_RULE_6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
