"id","uuid:ID","label","name","description","purpose","instanceType","text"
"Endpoint_1","835902d7-9831-4a76-bf7e-bdde4ffb55c8","","END1","","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"Endpoint_2","bb29e932-1baa-4f8c-a6da-6bde8bd1007a","","END2","","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"Endpoint_3","ff7b0b93-1669-4858-980c-2d9a70a71b44","","END3","","","Endpoint","Adverse events"
"Endpoint_4","b2747972-62db-4f8f-82c5-0c9c65634e92","","END4","","","Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)"
"Endpoint_5","a0558a59-70cb-4cfe-b4c1-b24554d97cc3","","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint","Laboratory evaluations (Change from Baseline)"
"Endpoint_6","f2e99c96-4c2f-40f6-8fa8-788312aa427a","","END6","","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"Endpoint_7","21113b27-0601-4635-94d7-a51864aa3ede","","END7","","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"Endpoint_8","e1892562-3909-46d3-b196-9929c0d5d9f5","","END8","","","Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"Endpoint_9","b947aeb7-197d-43a1-a795-e0e0d7aab45f","","END9","","","Endpoint","*** To be determined from protocol ***"
"Endpoint_10","5dc10976-997d-4e0c-a945-ca77ac4b1fe8","","END10","","","Endpoint","*** To be determined from protocol ***"
"Endpoint_11","cf4c41da-f156-4b21-bc14-f9e4e21c7e00","","END11","","","Endpoint","*** To be determined from protocol ***"
