"codeSystemVersion","id","uuid:ID","decode","instanceType","codeSystem","code"
"2023-12-15","Code_1","e5ed1d87-727d-4a1b-860a-babec5269c79","Interventional Study","Code","http://www.cdisc.org","C98388"
"2023-12-15","Code_2","17962c16-b907-448d-abd8-85b4e6bcb722","Phase II Trial","Code","http://www.cdisc.org","C15601"
"2023-12-15","Code_9","15f7f7b4-a721-4751-b079-b0f0ac93ae30","Sponsor Approval Date","Code","http://www.cdisc.org","C132352"
"2023-12-15","Code_10","d6568082-544c-402b-ac48-ca69e993d0fd","Global","Code","http://www.cdisc.org","C68846"
"2023-12-15","Code_72","4be5a1be-a5eb-4e32-9ad7-fac7f59d21a3","IRB/IEC Feedback","Code","http://www.cdisc.org","C99904x3"
"2023-12-15","Code_73","2fe124ce-b62b-40cf-83fb-c8b1db361dfb","Other","Code","http://www.cdisc.org","C17649"
"2023-12-15","Code_75","7379fbb3-de80-4c29-8087-d204413ff4e9","Region","Code","http://www.cdisc.org","C41129"
"2020-08","Code_74","b8b8debf-298b-49e0-b353-325e8f03c8c8","Europe","Code","ISO 3166 1 alpha3","150"
"12","Code_4","504dd142-ef4e-4099-8f08-80b01d8ce53b","Eli Lilly","Code","SPONSOR","PHARMA"
"2023-12-15","Code_76","85f229b9-4fed-4798-a545-75964d037505","Clinical Study Sponsor","Code","http://www.cdisc.org","C70793"
"2020-08","Code_77","06031407-b74a-4569-b3d4-b3611b8a6c6d","United States of America","Code","ISO 3166 1 alpha3","USA"
"2023-12-15","Code_78","f564b3dd-15c3-4fae-a78a-cda5c8c8fec6","Study Registry","Code","http://www.cdisc.org","C93453"
"2020-08","Code_79","2769a204-401f-4b71-83bc-b1d7c4bbebba","United States of America","Code","ISO 3166 1 alpha3","USA"
"2023-12-15","Code_137","f5b74d65-2469-4150-b7de-52632e44d0d1","Treatment Study","Code","http://www.cdisc.org","C49656"
"2023-12-15","Code_138","274bc7d9-fd85-49c5-989d-a0d9e17d8dcb","Efficacy Study","Code","http://www.cdisc.org","C49666"
"2023-12-15","Code_139","9ae47cd1-a25b-43ad-8586-4031c3905ef0","Safety Study","Code","http://www.cdisc.org","C49667"
"2023-12-15","Code_140","dfdca6e8-0a41-4ae9-9703-6f9b666bbeff","Pharmacokinetic Study","Code","http://www.cdisc.org","C49663"
"12","Code_134","2f92accd-1fd8-47c6-be3a-a97df9b89375","Mild to Moderate Alzheimer's Disease","Code","SPONSOR","MILD_MOD_ALZ"
"January 31, 2018","Code_135","c6914b03-3809-4307-81e4-0c1e1d6519da","Alzheimer's disease","Code","SNOMED","26929004"
"2023-12-15","Code_143","45f20510-026a-47b4-b1fe-41eaded1d352","EXTENSION","Code","http://www.cdisc.org","C99907x1"
"2023-12-15","Code_144","adcf9469-e1c2-423a-aaaa-59de1d4123dc","ADAPTIVE","Code","http://www.cdisc.org","C98704"
"2023-12-15","Code_141","b8916d26-32ea-4a3d-8a6a-70008c4078eb","Parallel Study","Code","http://www.cdisc.org","C82639"
