"id","uuid:ID","label","name","description","instanceType"
"Encounter_1","25432186-ce6d-4940-8798-639916ba72d6","Screening 1","E1","Screening encounter","Encounter"
"Encounter_2","7a96134d-a60a-434c-b3f5-f6242ce3adb6","Screening 2","E2","Screening encounter - Ambulatory ECG Placement","Encounter"
"Encounter_3","cac6cd29-d97f-429d-9a31-09f9f7be7bdd","Baseline","E3","Baseline encounter - Ambulatory ECG Removal","Encounter"
"Encounter_4","1dfac2d2-e65d-4bc7-94c0-8095c98a5dc5","Week 2","E4","Day 14","Encounter"
"Encounter_5","945604c4-975b-49e3-b7bd-bb5fc70339a1","Week 4","E5","Day 28","Encounter"
"Encounter_6","6ace6aaf-e537-4f1f-bfd4-9132aaa1c3b1","Week 6","E7","Day 42","Encounter"
"Encounter_7","c683cfc9-356c-42cd-bc76-878e9e35df66","Week 8","E8","Day 56","Encounter"
"Encounter_8","192e7d33-fde4-44b3-83e9-dd2404650409","Week 12","E9","Day 84","Encounter"
"Encounter_9","a28a95b5-081a-455e-bf0f-0d5214a505d4","Week 16","E10","Day 112","Encounter"
"Encounter_10","b194f3f0-90eb-41a2-88f1-1e2fc996831c","Week 20","E11","Day 140","Encounter"
"Encounter_11","bf47bf51-7e13-4663-b060-00d92bf61dcc","Week 24","E12","Day 168","Encounter"
"Encounter_12","48969333-2d61-49d0-aa92-f6dfa95b8963","Week 26","E13","Day 182","Encounter"
