"id","uuid:ID","label","name","description","instanceType"
"ScheduledActivityInstance_9","725bc4e7-cb20-407f-bf06-e585f06bbe99","Screen One","SCREEN1","-","ScheduledActivityInstance"
"ScheduledActivityInstance_10","417f0358-141d-42bf-b532-574439dd20e6","Screen Two","SCREEN2","-","ScheduledActivityInstance"
"ScheduledActivityInstance_11","7528abfe-9c95-49b0-8616-0eb71d08c841","Dose","DOSE","-","ScheduledActivityInstance"
"ScheduledActivityInstance_12","b157b6aa-1ae7-4ee0-a0f3-e50485c03c29","Week 2","WK2","-","ScheduledActivityInstance"
"ScheduledActivityInstance_13","b7fef929-6859-4ddf-b365-46e7d603d626","Week 4","WK4","-","ScheduledActivityInstance"
"ScheduledActivityInstance_14","4eca8fc9-9347-4e96-bcca-eb9fd667eed8","Week 6","WK6","-","ScheduledActivityInstance"
"ScheduledActivityInstance_15","f0138057-4b71-40ed-b241-8bf54912fd2b","Week 8","WK8","-","ScheduledActivityInstance"
"ScheduledActivityInstance_16","ea2f6c53-3114-4574-b166-6506727a3cab","Week NPI","WK8N","-","ScheduledActivityInstance"
"ScheduledActivityInstance_17","11bed0de-0674-417f-a793-ccf40cc2f861","Week 12","WK12","-","ScheduledActivityInstance"
"ScheduledActivityInstance_18","8fedd017-e32c-459f-86e1-797fcf4dff76","Week 12 NPI","WK12N","-","ScheduledActivityInstance"
"ScheduledActivityInstance_19","5638470c-b966-43fc-91ad-590e3cb33c6b","Week 16","WK16","-","ScheduledActivityInstance"
"ScheduledActivityInstance_20","2790c656-0acc-4b48-9763-abdd8d49f0cd","Week 16 NPI","WK16N","-","ScheduledActivityInstance"
"ScheduledActivityInstance_21","ea5ae724-47d3-4d75-92e3-a788e154165f","Week 20","WK20","-","ScheduledActivityInstance"
"ScheduledActivityInstance_22","74119188-803d-40b1-826e-fb0a437dcdd3","Week 20 NPI","WK20N","-","ScheduledActivityInstance"
"ScheduledActivityInstance_23","8bf06fcd-fc6f-4417-a988-fd3b2e2b96b9","Week 24","WK24","-","ScheduledActivityInstance"
"ScheduledActivityInstance_24","1fba898a-a5e2-4e5b-bff4-cef1216f614f","Week 26","WK26","-","ScheduledActivityInstance"
"ScheduledActivityInstance_1","eba304b3-f741-4076-9f19-a7ca764296f4","Adevers Event","AE","-","ScheduledActivityInstance"
"ScheduledActivityInstance_2","37601100-ecca-4838-82de-cdb5bd591abc","Early Termination","ET","-","ScheduledActivityInstance"
"ScheduledActivityInstance_3","4b2b4e94-0514-4519-9caa-2df8f8d7c68a","5 minute supine","VS_5MIN","","ScheduledActivityInstance"
"ScheduledActivityInstance_4","f028c8fa-5ff2-4523-ba23-ca89056c1580","Vital signs supine","VS_SUPINE","","ScheduledActivityInstance"
"ScheduledActivityInstance_5","22b20f89-6520-4a36-bbc3-180b4512ac51","1 minute standing","VS_1MIN","","ScheduledActivityInstance"
"ScheduledActivityInstance_6","4659b45c-1f5b-4eec-893a-01cfd988f098","Vital signs after 1 min standing","VS_STAND1","","ScheduledActivityInstance"
"ScheduledActivityInstance_7","69c33c76-8b23-47e1-bbe9-dd048f09e33d","2 minute standing","VS_2MIN","","ScheduledActivityInstance"
"ScheduledActivityInstance_8","ae7a420a-675e-408a-b20c-46ccea2989e3","Vital signs after 3 min standing","VS_STAND3","","ScheduledActivityInstance"
