"id","uuid:ID","label","value","name","valueLabel","description","instanceType","windowLabel","windowUpper","windowLower"
"Timing_1","cb62528d-24e4-419c-93fa-52399b768fcf","Screening","P2W","TIM1","2 weeks","Screening timing","Timing","","",""
"Timing_2","8beb1690-6625-4224-98ae-fcff9d6057d8","Pre dose","P2D","TIM2","2 days","Pre dose timing","Timing","-4..0 hours","PT0H","PT4H"
"Timing_3","488ce4f9-68cf-44e3-b351-8b192f0257c3","Dosing","P1D","TIM3","1 Day","Dosing anchor","Timing","","",""
"Timing_4","0da7babe-65f3-4ee7-b7ec-de7b7b6be53c","Week 2","P2W","TIM4","2 Weeks","Week 2 timing","Timing","-3..3 days","P3D","P3D"
"Timing_5","6284fd5e-dd3c-4eb4-922c-82ab4a6d4460","Week 4","P4W","TIM5","4 Weeks","Week 4 timing","Timing","-3..3 days","P3D","P3D"
"Timing_6","0322bc07-c764-4759-a570-4fb62dfd8a58","Week 6","P6W","TIM6","6 Weeks","Week 6 timing","Timing","-3..3 days","P3D","P3D"
"Timing_7","6b41b8aa-bcd7-4572-a251-6530cdaf5f2b","Week 8","P8W","TIM7","8 Weeks","Week 8 timing","Timing","-3..3 days","P3D","P3D"
"Timing_9","e52f9a9e-f1a7-4bc3-8507-fb8ae3ef8385","Week 12","P12W","TIM9","12 Weeks","Week 12 timing","Timing","-4..4 days","P4D","P4D"
"Timing_11","53700254-6ff6-4bc0-bc18-4b9ed3656746","Week 16","P16W","TIM11","16 Weeks","Week 16 timing","Timing","-4..4 days","P4D","P4D"
"Timing_13","b03c2299-8c38-43a7-a69a-89a293df7f0d","Week 20","P20W","TIM13","20 Weeks","Week 20 timing","Timing","-4..4 days","P4D","P4D"
"Timing_15","f66fbc08-5a15-4206-88c3-204377260c91","Week 24","P24W","TIM15","24 Weeks","Week 24 timing","Timing","-4..4 days","P4D","P4D"
"Timing_16","3ec401cc-8f9c-4d07-a1df-8b61a13dddf2","Week 26","P26W","TIM16","26 Weeks","Week 26 timing","Timing","-3..3 days","P3D","P3D"
"Timing_8","78244405-660f-4b6e-bf9d-9984da84a1e7","Week 8 Home","P2W","TIM8","2 Weeks","Week 8 at home timing","Timing","","",""
"Timing_10","f54ff48f-ac1f-4eb1-b306-3eb8d5ac17c1","Week 12 Home","P2W","TIM10","2 Weeks","Week 12 at home timing","Timing","","",""
"Timing_12","3f385052-0db6-4436-9c4c-f49d926f3f44","Week 16 Home","P2W","TIM12","2 Weeks","Week 16 at home timing","Timing","","",""
"Timing_14","5666a7b0-9249-4b5a-a972-ff3be52afd69","Week 20 Home","P2W","TIM14","2 Weeks","Week 20 at home timing","Timing","","",""
"Timing_17","ef50efc3-df8b-4d6a-b86f-49aad2fd6322","Adverse Event","P1D","TIM17","1 Day","Adverse Event","Timing","","",""
"Timing_18","3d1cab60-7592-44af-9006-df5de1a0ac1b","Early Termination","P1D","TIM18","1 Day","Early Termination","Timing","","",""
"Timing_19","71bdf408-987c-4744-adb8-f3bd5920448d","Supine","PT0M","TIM19","0 mins","Supine","Timing","","",""
"Timing_20","a245f588-3dfe-4551-ac85-84dc02408fd7","VS while supine","PT5M","TIM20","5 mins","VS while supine","Timing","","",""
"Timing_21","28cc1c9e-9967-499b-93a5-85e52daf213d","Standing","PT0M","TIM21","0 min","Standing","Timing","","",""
"Timing_22","3d97cfd9-ab9a-43e0-9d99-dc28f5757699","VS while standing","PT1M","TIM22","1 min","VS while standing","Timing","","",""
"Timing_23","9fcbb812-e356-4092-84ce-1d84e0b30136","Standing","PT0M","TIM23","0 min","Standing","Timing","","",""
"Timing_24","4d19901c-e5cd-4c38-948d-6c6a2ebf1c46","VS while standing","PT2M","TIM24","2 min","VS while standing","Timing","","",""
