"id","uuid:ID","label","name","description","instanceType"
"Activity_1","3b1b2e11-4a30-467c-b54e-8bab436c2922","Informed consent","Informed consent","","Activity"
"Activity_2","59be0a35-3797-4f0c-b7eb-4f9d8fb1a383","Inclusion and exclusion criteria","Inclusion/exclusion criteria","","Activity"
"Activity_3","b077f862-bd86-4404-b829-0597c606ca78","Patient number assigned","Patient number assigned","","Activity"
"Activity_4","547eabd3-c0df-4caf-92b5-169c4a1b0d74","Demographics","Demographics","","Activity"
"Activity_5","8a60f4b4-c30b-4b10-897e-c3590343dad5","Hachinski Ischemic Scale","Hachinski","","Activity"
"Activity_6","c4f92355-fee5-4d87-9f16-34d1a8f884ae","MMSE","MMSE","","Activity"
"Activity_7","49e6df74-f946-4034-aff5-ba2763956027","Physical examination","Physical examination","","Activity"
"Activity_8","3aa54d68-9e36-42c4-b402-d09b19636cb0","Medical history","Medical history","","Activity"
"Activity_9","6dd665f1-406f-4f5e-b958-81973b533b37","Habits","Habits","","Activity"
"Activity_10","a8d61a16-3a90-4621-b77d-9307ac4e245f","Chest X-ray","Chest X-ray","","Activity"
"Activity_11","49765713-93bf-4f13-9626-e1a27b78b6d8","Apo E genotyping","Apo E genotyping","","Activity"
"Activity_12","50d3698c-70f2-4123-8469-18bb372b6ab9","Patient randomised","Patient randomised","","Activity"
"Activity_13","f0dfdafe-18af-43dc-a1c2-7a5535e147ca","Vital Signs and Temperature","Vital signs / Temperature","","Activity"
"Activity_14","5c5dcdb5-cfd2-48af-a031-d3cf1c222bd0","Ambulatory ECG placed","Ambulatory ECG placed","","Activity"
"Activity_15","afb1bdc6-06c4-4eee-b81b-5295f02f109b","Ambulatory ECG removed","Ambulatory ECG removed","","Activity"
"Activity_16","c938c80a-26a1-4521-8c2c-a06d76e416d0","ECG","ECG","","Activity"
"Activity_17","0eb8f3c6-bba2-48f8-803f-8629c3a0480e","Placebo TTS test","Placebo TTS test","","Activity"
"Activity_18","5f77ce8b-39f6-4b7b-b266-9d31a5360db4","CT scan","CT scan","","Activity"
"Activity_19","823627cb-b20d-46a9-b4a8-96cb06e370e6","Concomitant medications","Concomitant medications","","Activity"
"Activity_20","d4b2c8ef-713b-463c-aa8d-47c5ce1650fb","Hematology","Hematology","","Activity"
"Activity_21","a958a876-fbab-4220-87f6-ba9ecfcd46bf","Chemistry","Chemistry","","Activity"
"Activity_22","4abf2f9d-e854-49e9-b73d-8ac0af12c600","Uninalysis","Uninalysis","","Activity"
"Activity_23","e913259e-fa65-4250-9c18-0c8a7352d616","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","","Activity"
"Activity_24","b7d3012d-ec0a-49be-a5e0-230f217b36e8","Hemoglobin A1C","Hemoglobin A1C","","Activity"
"Activity_25","c065d81d-85c1-46d7-bd30-f161dd1689ab","Study drug record , Medications dispensed, Medications returned","Study drug","","Activity"
"Activity_26","e9c06bd4-7768-419b-94c1-a4d21682774a","TTS Acceptability Survey","TTS Acceptability Survey","","Activity"
"Activity_27","26af729d-295b-43cb-a6eb-850cff14893f","ADAS-Cog","ADAS-Cog","","Activity"
"Activity_28","1f1922ac-748b-4d2d-a33d-3713982dea6d","CIBIC+","CIBIC+","","Activity"
"Activity_29","52bd70a5-97dc-410a-8091-9d2b57c42887","DAD","DAD","","Activity"
"Activity_30","d24e387f-3c10-4a9b-855f-ec3ddc222bf9","NPI-X","NPI-X","","Activity"
"Activity_31","b6cca1d2-3a9c-4c03-be6d-2ac36393abc2","Adverse events","Adverse events","","Activity"
"Activity_32","f5ded0ff-e1d8-4c1c-811e-ce0a95d8f0f9","Check adverse events","Check adverse events","","Activity"
"Activity_33","0bcbf2b5-f76d-423d-b662-290f062d09ff","Subject supine","Supine","","Activity"
"Activity_34","16506a06-2152-46d7-a3a8-c258ef241f75","Vital signs while supine","Vital Signs Supine","","Activity"
"Activity_35","1947fd4c-be63-4659-810c-ecc59f8ce1f6","Subject Standing","Stand","","Activity"
"Activity_36","aa029225-255d-4a6d-af57-ba6ba33edc71","Vital signs while standing","Vital Signs Standing","","Activity"
