"id","uuid:ID","label","name","synonyms","instanceType","reference"
"BiomedicalConcept_20","96a3b694-3f0d-4925-b961-272f73a7c3fc","Sex","Sex","","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"BiomedicalConcept_21","fa24c4ed-d43a-436f-89f8-8de6b6cc68d9","Race","Race","['Racial Group']","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"BiomedicalConcept_22","18c81701-5f42-4505-8aa7-1bb177bc279e","Temperature","Temperature","['Temperature', 'Body Temperature']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_23","1b5a961f-64dc-41ba-b89c-000efa776bd3","Weight","Weight","['Weight', 'Body Weight']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_24","0571e561-fce0-457c-93bf-52cea745a80a","Height","Height","['Height', 'Body Height']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_25","20c60227-4832-4859-bc6b-8d03839d8851","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_26","3917cccb-65ea-4884-8239-f53348d126b3","Albumin Presence in Urine","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_27","f06e4a27-8287-4fbf-b249-d10e4952b2c1","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_28","6741b005-775d-430d-be1f-461f91d3e721","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"BiomedicalConcept_29","f7748e87-7465-4fe2-9e9c-8d3d4bc381a1","Creatinine Concentration in Urine","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"BiomedicalConcept_30","88faa5f6-ce7d-406b-99ba-e9d35e7ec71f","Potassium Concentration in Urine","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"BiomedicalConcept_31","170958c7-d8b1-412c-b465-c2a536f79910","Sodium Concentration in Urine","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"BiomedicalConcept_32","42b415d8-5410-4d16-bd0b-4f2c8e94cfea","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"BiomedicalConcept_1","b95a59ae-dea1-4e21-bfa7-c7d5df98c86d","Adverse Event Prespecified","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"BiomedicalConcept_2","fcd1ca1b-3dd4-456c-8641-eaaaa2164246","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_3","9fcca319-9a9f-4b9e-8f5f-bed55b5ee5bb","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_4","8c4befe0-4871-4938-8b5c-1836cec3e98e","Temperature","Temperature","['Temperature', 'Body Temperature']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_5","217474c9-a361-430e-bd4c-de59f43bb15a","Weight","Weight","['Weight', 'Body Weight']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_6","6371421a-672d-429b-8aca-81adecd472ad","Height","Height","['Height', 'Body Height']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_7","2e4e7c1b-5774-436a-bc02-ce18a9adc73b","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_8","316bf0c1-c31b-466c-8e57-1021326dc1dc","Albumin Presence in Urine","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_9","22542eab-2954-4777-b075-bc21e7ef6394","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_10","32da7f1e-4009-49da-a85b-0948325dd11f","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"BiomedicalConcept_11","4c16650c-0c72-4e81-aff4-3f93e06af88e","Creatinine Concentration in Urine","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"BiomedicalConcept_12","d4817c03-dda5-4518-bab6-bbf6f1162e53","Potassium Concentration in Urine","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"BiomedicalConcept_13","409067fc-3d16-4e6e-a180-d554b34e1186","Sodium Concentration in Urine","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"BiomedicalConcept_14","fb1fecae-315e-4985-a421-b1a2cbd3f976","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_15","7d8d6bfe-b034-44bc-b9d3-1ca726fce1a0","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_16","f6effc48-d496-4252-887b-2b861d0951e0","Heart Rate","Heart Rate","['Heart Rate']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"BiomedicalConcept_17","427558a5-e390-46c3-a0fe-bf32c24299e6","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_18","68ee8670-dee8-4925-b6c2-95066a660806","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_19","c3f298a0-4919-41e5-9668-ddc9130d99f1","Heart Rate","Heart Rate","['Heart Rate']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
