"id","uuid:ID","codeSystem","decode","codeSystemVersion","code"
"Code_1","3b5794a5-f45e-4247-b778-4cd10c1ebc02","http://www.cdisc.org","Interventional Study","2023-09-29","C98388"
"Code_2","0a9c4644-9da6-4db2-b772-608d7fd1539a","http://www.cdisc.org","Phase III Trial","2023-09-29","C15602"
"Code_6","62e96d88-18f7-4bb9-8000-28c077a7ddaa","http://www.cdisc.org","Sponsor Approval Date","2023-09-29","C132352"
"Code_8","040a576d-f3c4-4253-b476-372ad1025d53","http://www.cdisc.org","Country","2023-09-29","C25464"
"Code_7","260f26e8-72b6-4157-8150-7b8d86fc9c25","ISO 3166 1 alpha3","United Kingdom of Great Britain and Northern Ireland","2020-08","GBR"
"Code_10","6e842a7b-15df-4dd8-bb26-c3d22bc777b7","http://www.cdisc.org","Country","2023-09-29","C25464"
"Code_9","844df717-503d-4c40-9e76-a2d8fbdf46d2","ISO 3166 1 alpha3","France","2020-08","FRA"
"Code_12","0f80719d-85e8-48e9-88d7-91f94abb9d5b","http://www.cdisc.org","Region","2023-09-29","C41129"
"Code_11","e4f4d2a2-e84a-4fe1-bdf0-c19adec2ee4b","ISO 3166 1 alpha3","Asia","2020-08","142"
"Code_14","50456859-287d-4c69-839a-de78404b4c07","http://www.cdisc.org","Country","2023-09-29","C25464"
"Code_13","e1c2e30d-dca0-4d36-afe4-aa0c7089c569","ISO 3166 1 alpha3","United States of America","2020-08","USA"
"Code_43","156fd19b-e4a2-4fea-a485-90309ef90618","http://www.cdisc.org","Other","2023-09-29","C17649"
"Code_45","dba61b03-093b-428f-86df-c48ad0eb9be0","http://www.cdisc.org","Region","2023-09-29","C41129"
"Code_44","a7e2e157-9793-4741-b4a5-f9adcfd01c30","ISO 3166 1 alpha3","Europe","2020-08","150"
"Code_40","ea5ba1e9-de6d-4efb-9068-ad6086777c59","http://www.cdisc.org","Change In Strategy","2023-09-29","C99904x7"
"Code_41","d8a93a27-1dcf-44de-83f6-1d8a35dac7c0","http://www.cdisc.org","Investigator/Site Feedback","2023-09-29","C99904x10"
"Code_42","5c6b1074-162a-4ab5-ae28-384dcfa3c34b","http://www.cdisc.org","Global","2023-09-29","C68846"
"Code_35","75ffc482-5c57-40a9-989f-67aad728230d","http://www.cdisc.org","New Safety Information Available","2023-09-29","C99904x4"
"Code_37","c5418425-b371-49da-ad47-daa72afacab5","http://www.cdisc.org","Region","2023-09-29","C41129"
"Code_36","227dc160-ab3c-44f9-9661-85af5d27c257","ISO 3166 1 alpha3","Europe","2020-08","150"
"Code_39","bca3ef22-8d10-4cab-934b-fb3c819b67f8","http://www.cdisc.org","Country","2023-09-29","C25464"
"Code_38","378b1d69-ae25-4bd9-8720-846bfc2e3ab0","ISO 3166 1 alpha3","Denmark","2020-08","DNK"
"Code_33","d22291dd-06d7-45e3-a4a8-e97127302a1c","http://www.cdisc.org","IRB/IEC Feedback","2023-09-29","C99904x3"
"Code_34","f9701816-8294-461a-9068-23052e055301","http://www.cdisc.org","Global","2023-09-29","C68846"
"Code_3","c89c6a5b-3885-4794-9ebf-fd9e89468e7c","SPONSOR","Vacines Group","12","VAC"
"Code_4","e0ce6930-a8d7-4786-8dda-5143349692fa","SPONSOR","Regulatory","12","REG"
"Code_46","8e1831ec-e9f9-475e-8299-b03423950eac","http://www.cdisc.org","Study Registry","2023-09-29","C93453"
"Code_47","76e0214f-9dd9-4922-b46e-09a1bf8fe219","ISO 3166 1 alpha3","United Kingdom of Great Britain and Northern Ireland","2020-08","GBR"
"Code_48","3fbeb047-4fdb-4768-802b-b52f5327224b","http://www.cdisc.org","Clinical Study Sponsor","2023-09-29","C70793"
"Code_49","9f6d6ad2-9643-460d-978a-4cad4c7678da","ISO 3166 1 alpha3","France","2020-08","FRA"
"Code_50","b39e51bb-ac4a-4b7e-ad3e-ae5eb812cb0c","http://www.cdisc.org","Regulatory Agency","2023-09-29","C188863"
"Code_51","d6c88966-c346-43f0-bcad-5da46968d217","http://www.cdisc.org","Regulatory Agency","2023-09-29","C188863"
"Code_52","bd01be39-6afb-4410-bbfc-94f1caa86970","http://www.cdisc.org","Study Registry","2023-09-29","C93453"
"Code_84","5e76766e-2808-47b6-b14c-b3b0dfd13d90","http://www.cdisc.org","Basic Research","2023-09-29","C15714"
"Code_85","840b177b-5fe5-4245-a6b6-832220e8e8d9","http://www.cdisc.org","Device Feasibility Study","2023-09-29","C139174"
"Code_86","a655ce65-d3e7-4a2f-a3e6-a37fbfac6154","http://www.cdisc.org","Efficacy Study","2023-09-29","C49666"
"Code_81","7b7f8358-c041-427e-953e-c3972f2c1429","SPONSOR","Type 2 diabetes","12","T2_DIABETES"
"Code_82","c1fd7ded-f3ae-4331-a1ae-d81cd720d6e2","SNOMED","Diabetes mellitus (disorder)","January 31, 2018","73211009"
"Code_87","34df7983-4cc5-4585-b31b-194353ff2c9a","http://www.cdisc.org","Parallel Study","2023-09-29","C82639"
"Code_55","4625323c-bb57-4466-bda7-7a95ac8017ec","http://www.cdisc.org","Visit","2023-09-29","C25716"
"Code_56","c3a5937c-4eee-44d2-9249-a8f773b3acea","http://www.cdisc.org","Clinic","2023-09-29","C51282"
"Code_57","4346d7be-1e18-40f7-b686-9f78b49d9e47","http://www.cdisc.org","In Person","2023-09-29","C175574"
"Code_58","528f89c6-1c0f-45e4-9ef4-906253c0b6ee","http://www.cdisc.org","Visit","2023-09-29","C25716"
"Code_59","972708d4-9764-454f-8cdf-a3bf20ede8b6","http://www.cdisc.org","Clinic","2023-09-29","C51282"
"Code_60","d296aac3-a832-4618-bd70-4b08989de98f","http://www.cdisc.org","In Person","2023-09-29","C175574"
"Code_61","73f6bbe2-a3fc-4e3b-b9ef-caa073a9cf5d","http://www.cdisc.org","Visit","2023-09-29","C25716"
"Code_62","00fc1237-90f9-414c-92aa-6b8d8eb772f7","http://www.cdisc.org","Clinic","2023-09-29","C51282"
"Code_63","c0a2130d-34ea-4fe0-81ef-db816134c471","http://www.cdisc.org","In Person","2023-09-29","C175574"
"Code_64","5c64e143-9488-48c7-910e-b7a6a8c0c156","http://www.cdisc.org","Visit","2023-09-29","C25716"
"Code_65","8bfb2064-0cec-41b4-aeeb-74c0a7df48cd","http://www.cdisc.org","Clinic","2023-09-29","C51282"
"Code_66","35643092-f36e-4fff-a6fe-5568f57f07fa","http://www.cdisc.org","In Person","2023-09-29","C175574"
"Code_67","52101661-442d-408c-997d-b4743224995f","http://www.cdisc.org","Visit","2023-09-29","C25716"
"Code_68","789c5e10-b069-4c90-84b2-45538a564f13","http://www.cdisc.org","Clinic","2023-09-29","C51282"
"Code_69","8e89c0e9-1d02-4cfc-9f99-cc6f480c3455","http://www.cdisc.org","In Person","2023-09-29","C175574"
"Code_70","f0f57445-cc34-4330-a2de-f16314b583a0","http://www.cdisc.org","Visit","2023-09-29","C25716"
"Code_71","984aa762-8c2a-4925-88bc-46b8d2aef98a","http://www.cdisc.org","Home","2023-09-29","C18002"
"Code_72","55a72178-635f-4e3f-b272-3064fe5cc321","http://www.cdisc.org","Telephone Call","2023-09-29","C171537"
"Code_53","9ec5bd8a-3e6f-44c7-8129-0441dd17a738","SNOMED","Test","January 31, 2018","12345678"
"Code_54","55a22d88-4a88-4fc8-a099-e8207c848c4d","SNOMED","Test","January 31, 2018","12345679"
"Code_89","c8c19c31-1c91-4ff9-907a-4b2f90815cbb","http://www.cdisc.org","Male","2023-09-29","C20197"
"Code_90","687d4b70-e302-4710-9b5b-106841981b75","http://www.cdisc.org","Female","2023-09-29","C16576"
"Code_91","e4e26e17-d649-45cb-9016-b2edae4ee155","NCI Thesaurus","Sex","","C28421"
"Code_88","6a3fc23c-395b-481a-bd5c-40d3f57dd13d","NCI Thesaurus","Sex","","C28421"
"Code_93","aa8f54b5-ffc7-4333-b70d-9331a271b753","NCI Thesaurus","Race","","C17049"
"Code_92","a9dcc759-0d5e-441b-83f4-6cbfbccf118f","NCI Thesaurus","Race","","C17049"
"Code_95","08522da2-00f5-469d-9b5f-6f7485a7157f","NCI Thesaurus","Vital Signs Result","","C173522"
"Code_96","79daadb5-953e-4ac4-87c1-dd91f46d4330","http://www.cdisc.org","Kilogram","2023-09-29","C28252"
"Code_97","8a2cb10f-5cc8-4217-901c-e856e3382c0f","http://www.cdisc.org","Gram","2023-09-29","C48155"
"Code_98","ccee71cb-7d53-418a-99b4-519ca0ab8436","http://www.cdisc.org","Pound","2023-09-29","C48531"
"Code_99","b99fc181-a861-4159-928b-b186df74d2b8","NCI Thesaurus","Unit of Weight","","C48208"
"Code_94","5f0618e4-c6b3-417e-ad74-885055b19d52","NCI Thesaurus","Body Weight","","C81328"
"Code_73","4ac2e070-8f98-4029-bed1-18d15c258ab5","http://www.cdisc.org","Active Comparator Arm","2023-09-29","C174267"
"Code_74","473d9fed-f65d-4041-bc49-ddf7450b6ded","http://www.cdisc.org","Data Generated Within Study","2023-09-29","C188866"
"Code_75","57d2fdc8-d7bf-4a18-ac5a-3b68df923829","http://www.cdisc.org","Placebo Comparator Arm","2023-09-29","C174268"
"Code_76","fc0e1546-1ec4-4fbd-9fa6-72f97ae0b020","http://www.cdisc.org","Data Generated Within Study","2023-09-29","C188866"
"Code_83","f855d63f-8521-44d0-b107-0cbcafd765a9","http://www.cdisc.org","Open Label Study","2023-09-29","C49659"
"Code_77","984bcbfa-e42e-44a7-af9a-d6174466488f","http://www.cdisc.org","Trial Screening","2023-09-29","C48262"
"Code_78","047ccd51-2314-4094-b85b-19e5e2670fbf","http://www.cdisc.org","Baseline Epoch","2023-09-29","C125938"
"Code_79","73b229af-73ec-4c2e-aa86-93159b2f3a3b","http://www.cdisc.org","Treatment Epoch","2023-09-29","C101526"
"Code_80","05b12f57-4acd-4397-aa53-89e43b9c753e","http://www.cdisc.org","Clinical Study Follow-up","2023-09-29","C99158"
"Code_100","92e3b141-8915-4dce-b0f1-9ee2eae3fbdf","SNOMED","Indication1","January 31, 2018","12345"
"Code_101","d52ffce6-8db6-4509-bf21-2e851a2a7a73","SNOMED","Indication2","January 31, 2018","345678"
"Code_107","5ea934c6-2179-4712-8431-3545fc16cf3c","M11","role1","None set","role1"
"Code_108","c397d4d5-e871-4fb5-b534-ab111df486d4","http://www.cdisc.org","Pharmacologic Substance","2023-09-29","C1909"
"Code_111","92420e39-53e7-472c-b349-423a5405b53b","http://www.cdisc.org","Day","2023-09-29","C25301"
"Code_106","c1899a51-877f-4102-839a-3674707277a1","SPONSOR","B","12","A"
"Code_102","4032a3a2-2bff-49da-83b5-631f4cafe66f","http://www.cdisc.org","Percentage","2023-09-29","C25613"
"Code_104","eb71b2a9-cdcc-46a6-b8cd-e8e1e9f20b1d","http://www.cdisc.org","Milligram","2023-09-29","C28253"
"Code_103","875ebaa0-e205-4c7c-9f64-2e65262d0704","http://www.cdisc.org","Dental Route of Administration","2023-09-29","C38197"
"Code_105","7c1b0d94-63b4-49a2-92f5-aff4dcd9cf10","http://www.cdisc.org","Ten Days Per Month","2023-09-29","C139179"
"Code_110","2c16bdd5-f696-419c-8509-6992ffa14cf0","M11","desig_1","None set","desig1"
"Code_109","d1b21fa9-1a7e-447a-9e0c-fda97a90dccb","FDA","B","None set","A"
"Code_117","d773861b-e896-40f1-a705-3de65329635d","M11","role2","None set","role2"
"Code_118","9a0b4de6-3caf-44b7-b2b1-4608bbecf3fd","http://www.cdisc.org","Pharmacologic Substance","2023-09-29","C1909"
"Code_121","d3473fc6-9ca4-41ba-b9b2-05a626a4ede8","http://www.cdisc.org","Day","2023-09-29","C25301"
"Code_116","bbbdc3f4-5fad-475d-a8b9-905f4e29bc4b","SPONSOR","B","12","A"
"Code_112","fc5c6c72-ab82-447e-bf7c-52741d00ad50","http://www.cdisc.org","Percentage","2023-09-29","C25613"
"Code_114","3ef0f4bf-d37c-45b9-866f-a260a822d9b2","http://www.cdisc.org","Milligram","2023-09-29","C28253"
"Code_113","af3d5544-ba00-440c-97ae-54f214e9a2e3","http://www.cdisc.org","Dental Route of Administration","2023-09-29","C38197"
"Code_115","5fb3d9d8-517e-4488-9b72-93bbf755a51a","http://www.cdisc.org","Ten Days Per Month","2023-09-29","C139179"
"Code_120","1cfa7532-51fd-412a-8112-fa114365afbe","M11","desig_2","None set","desig2"
"Code_119","039d47ba-95fa-4658-b82a-41e17d53317c","FDA","B","None set","A"
"Code_128","199df40c-c4da-4b5a-804a-14bf0107abcc","http://www.cdisc.org","Trial Primary Objective","2023-09-29","C85826"
"Code_127","e1a3c8b5-b769-4a37-975e-25860ab0c112","http://www.cdisc.org","Primary Endpoint","2023-09-29","C94496"
"Code_130","59eedee8-58c7-4935-afde-e23dda9d6f2f","http://www.cdisc.org","Trial Secondary Objective","2023-09-29","C85827"
"Code_129","3ff12b7a-7004-46b3-b987-03ce7aae1f51","http://www.cdisc.org","Secondary Endpoint","2023-09-29","C139173"
"Code_131","44fc0930-cb85-451d-bb97-12b7a828ee84","http://www.cdisc.org","Secondary Endpoint","2023-09-29","C139173"
"Code_132","a00369f4-d4ff-4b8f-a698-06108ec53532","http://www.cdisc.org","Inclusion Criteria","2023-09-29","C25532"
"Code_133","7a7daf68-96a4-4529-9e85-05396e393b8d","http://www.cdisc.org","Inclusion Criteria","2023-09-29","C25532"
"Code_134","c934cc5e-6bbf-4f1a-acc2-520522c82f33","http://www.cdisc.org","Exclusion Criteria","2023-09-29","C25370"
"Code_135","2335549e-5597-4366-9485-85a6498ad84d","http://www.cdisc.org","Exclusion Criteria","2023-09-29","C25370"
"Code_17","1ce98a87-acf1-40e4-a9ea-5183f160c0e1","http://www.cdisc.org","Before","2023-09-29","C201264"
"Code_18","064743b3-0704-4e0a-bca8-73cf4b9c4cfa","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_19","eb68f39f-20cb-4a57-a26a-40064fc8adf1","http://www.cdisc.org","Before","2023-09-29","C201264"
"Code_20","794f5a47-0c85-4ef7-9fc0-aded8d664a5e","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_22","4d4d8649-5692-49fc-8eee-82c80ca2ddf0","http://www.cdisc.org","Fixed Reference","2023-09-29","C201264"
"Code_23","1044c02b-fccb-4c6c-8b31-0018b9f42242","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_24","84d6b291-eca5-49d1-9fa4-532f04b81061","http://www.cdisc.org","After","2023-09-29","C201264"
"Code_25","dac62684-139e-4254-8ee0-fdd44e1eeffc","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_27","4bb9d9ef-adc5-427b-bd6c-040d120650f0","http://www.cdisc.org","After","2023-09-29","C201264"
"Code_28","6251a740-5a4e-4b01-81d9-fc01c7825d0b","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_30","6ff2eb7b-2fd9-4e2b-a816-0ef05297a9d5","http://www.cdisc.org","After","2023-09-29","C201264"
"Code_31","309a0767-0a73-43c4-b7f7-f15801e36467","http://www.cdisc.org","Start to Start","2023-09-29","C201265"
"Code_5","b1c51763-d0f2-45a6-9402-73ca9456f4e9","http://www.cdisc.org","Draft","2023-09-29","C85255"
"Code_15","1a006b6e-44e4-471a-a49f-c1b9975d67dc","http://www.cdisc.org","Protocol Effective Date","2023-09-29","C99903x1"
"Code_16","412ecd63-d90a-4c8a-8766-7bdbfa9375d5","http://www.cdisc.org","Global","2023-09-29","C68846"
