"name","uuid:ID","text","id"
"ENCOUNTER_START_RULE_1","cc9fc6e6-a626-4781-ac31-60c38581fc11","Subject identified","TransitionRule_1"
"ENCOUNTER_START_RULE_1","463259e1-40fa-401d-a015-5aae8d89f956","IEs passed","TransitionRule_2"
"ENCOUNTER_START_RULE_3","30a3fbd7-e4b2-4ad3-b05a-7db0014ff5a7","Radomized","TransitionRule_3"
"ELEMENT_START_RULE_1","7b1e21cf-fc7f-449d-b784-673facb42bde","Study Start","TransitionRule_4"
"ELEMENT_END_RULE_1","0de77240-c4e4-434a-8d48-ad1817b44db4","Screened","TransitionRule_5"
"ELEMENT_START_RULE_2","7aef826b-6c95-4dc7-8401-fc93985c0a0b","Screened","TransitionRule_6"
"ELEMENT_END_RULE_2","bdcbe2a6-b7f2-4c1c-8ac1-88463719c092","Radomized","TransitionRule_7"
"ELEMENT_START_RULE_3","13670fe7-c1f2-4c6f-9227-76ef2769dbb0","Radomized","TransitionRule_8"
"ELEMENT_END_RULE_3","41df78f2-7737-4361-b13c-6c479a67479f","Completed treatment 1","TransitionRule_9"
"ELEMENT_START_RULE_5","20cdce69-3258-4630-b772-e8d040e00d59","Radomized","TransitionRule_12"
"ELEMENT_END_RULE_5","ca1f7fe6-a259-4e3c-b987-18112ddb6321","Completed treatment 2","TransitionRule_13"
"ELEMENT_START_RULE_4","3fc408c9-4125-4114-ba3e-0d9de9bdc727","Treated","TransitionRule_10"
"ELEMENT_END_RULE_4","281915cd-72bc-4f55-bac1-edbc30336a2d","Leave Study","TransitionRule_11"
