"name","id","uuid:ID","sectionTitle","text","sectionNumber"
"ROOT","NarrativeContent_1","3608dc4c-81b2-49e9-a55c-d0379ddec69c","Root","","0"
"SECTION 0","NarrativeContent_2","239853bf-012e-4f57-aeec-67cdb33d4afd","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","0"
"SECTION 1","NarrativeContent_3","c31ed43d-a419-4a6c-9eaf-181fa3942c2f","PROTOCOL SUMMARY","<div></div>","1"
"SECTION 1.1","NarrativeContent_4","2e2c70a4-9cd2-4a23-aeb3-2cbabc55365a","Protocol Synopsis","<div></div>","1.1"
"SECTION 1.2","NarrativeContent_5","34d0c89a-879b-4710-8d2d-512760593c66","Trial Schema","<div></div>","1.2"
"SECTION 1.3","NarrativeContent_6","b1bec3db-27dd-4630-8d7a-da31fcf366f8","Schedule of Activities","<div></div>","1.3"
"SECTION 2","NarrativeContent_7","3eef55ef-a633-427f-b4d7-eace11b045c3","INTRODUCTION","<div></div>","2"
"SECTION 2.1","NarrativeContent_8","5fb7be7e-1c4e-4cb0-8a90-19d173ac81e8","Purpose of Trial","<div></div>","2.1"
"SECTION 2.2","NarrativeContent_9","40786f62-543f-4af3-b6e3-d4ee4a2001e6","Summary of Benefits and Risks","<div></div>","2.2"
"SECTION 3","NarrativeContent_10","2185f5dc-991b-4dd8-babd-9b8960db477e","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","3"
"SECTION 3.1","NarrativeContent_11","bd0aec25-fe6e-419c-be55-2808d1d9d621","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1"
"SECTION 4","NarrativeContent_12","788be13a-8d4c-44a5-9ebe-b9528ca80596","TRIAL DESIGN","<div></div>","4"
"SECTION 4.1","NarrativeContent_13","e215fc7e-6cbe-4e6f-b778-16a7883a110b","Description of Trial Design","<div></div>","4.1"
"SECTION 4.1.1","NarrativeContent_14","6c90f04c-2544-4332-834e-2c2c9659c046","Participant Input into Design","<div></div>","4.1.1"
"SECTION 4.2","NarrativeContent_15","72576873-9787-4307-bc11-dbd7d8f801ea","Rationale for Trial Design","<div></div>","4.2"
"SECTION 4.2.1","NarrativeContent_16","71c2774a-8c25-4940-974b-7865545f51da","Rationale for Comparator","<div></div>","4.2.1"
"SECTION 4.2.2","NarrativeContent_17","c1780b06-491b-4872-9ced-16f866c52643","Rationale for Adaptive or Novel Trial Design","<div></div>","4.2.2"
"SECTION 4.2.3","NarrativeContent_18","f14b59a8-787b-44b1-97f6-0bdb960df548","Other Trial Design Considerations","<div></div>","4.2.3"
"SECTION 4.3","NarrativeContent_19","4a95852c-e6ce-496c-ae55-2d83b1573a49","Access to Trial Intervention After End of Trial","<div></div>","4.3"
"SECTION 4.4","NarrativeContent_20","10a90b2f-6209-4e02-8dad-d1e04bc2f85b","Start of Trial and End of Trial","<div></div>","4.4"
"SECTION 5","NarrativeContent_21","6b1b2a37-db65-4e60-a4e6-326e12582935","TRIAL POPULATION","<div></div>","5"
"SECTION 5.1","NarrativeContent_22","56f81138-219f-4a2f-991d-1e66d12ebb32","Selection of Trial Population","<div></div>","5.1"
"SECTION 5.2","NarrativeContent_23","53ba48f9-a32f-4917-8041-0e90c6741f1a","Rationale for Trial Population","<div></div>","5.2"
"SECTION 5.3","NarrativeContent_24","0eaa6d58-c886-4bb5-bd47-365fe1a3fd9a","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","5.3"
