"name","uuid:ID","id","isRequired","instanceType","label","datatype","isEnabled"
"Vital Signs Result","1b00300b-a4e7-482d-9f51-215214ea868a","BiomedicalConceptProperty_98","True","BiomedicalConceptProperty","Vital Signs Result","decimal","True"
"Unit of Temperature","91a3b13d-5130-4b0f-a8ec-360942856da7","BiomedicalConceptProperty_99","True","BiomedicalConceptProperty","Unit of Temperature","string","True"
"Vital Signs Location","7d034514-98c9-48bc-97af-70addef27f47","BiomedicalConceptProperty_100","True","BiomedicalConceptProperty","Vital Signs Location","string","True"
"Vital Signs Result","91e7782d-13bd-4d7b-a811-754e9d609dce","BiomedicalConceptProperty_101","True","BiomedicalConceptProperty","Vital Signs Result","decimal","True"
"Unit of Weight","949df7f9-470c-493a-8722-caf921d498ce","BiomedicalConceptProperty_102","True","BiomedicalConceptProperty","Unit of Weight","string","True"
"Vital Signs Result","41c66c27-c31f-418a-b64d-5e3d2d0d9641","BiomedicalConceptProperty_103","True","BiomedicalConceptProperty","Vital Signs Result","decimal","True"
"Unit of Height","c2dda0e3-bb33-4fdd-a218-2a31d84192d4","BiomedicalConceptProperty_104","True","BiomedicalConceptProperty","Unit of Height","string","True"
"Laboratory Test Result","b5f8668b-43c3-4bcb-9cb1-2247380a9731","BiomedicalConceptProperty_105","True","BiomedicalConceptProperty","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","d16fe4b1-406b-4735-b1c5-b51df228cc90","BiomedicalConceptProperty_106","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True"
"Unit of Catalytic Activity Concentration","66c5ffe5-c5c1-4f44-977b-fd100ec53f74","BiomedicalConceptProperty_107","True","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","string","True"
"Biospecimen Type","97a2f7ff-f4e2-474d-910a-b6bc346b3bdc","BiomedicalConceptProperty_108","True","BiomedicalConceptProperty","Biospecimen Type","string","True"
"Laboratory Test Result","bc8ded04-810c-43f1-b72e-da04b694876a","BiomedicalConceptProperty_109","True","BiomedicalConceptProperty","Laboratory Test Result","string","True"
"Laboratory Test Fasting Status","8aba2a8f-3382-4a41-aa3c-8615aea7c069","BiomedicalConceptProperty_110","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True"
"Unit of Concentration","1d2350a8-f050-4fff-a218-5f3b6782504f","BiomedicalConceptProperty_111","True","BiomedicalConceptProperty","Unit of Concentration","string","True"
"Biospecimen Type","1e6e919a-d5c3-460b-a9d4-07e9283b88cf","BiomedicalConceptProperty_112","True","BiomedicalConceptProperty","Biospecimen Type","string","True"
"Laboratory Test Result","ed3d55fe-767e-42e4-82c4-ef0b2edba8bb","BiomedicalConceptProperty_113","True","BiomedicalConceptProperty","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","a42b6f39-4719-45e0-920b-d4714a2a48bf","BiomedicalConceptProperty_114","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True"
"Unit of Catalytic Activity Concentration","0e7a7921-5e05-45a8-a7e5-d827ea47f35e","BiomedicalConceptProperty_115","True","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","string","True"
"Biospecimen Type","3e9db25c-d0d3-444f-8ea3-0de752e171e6","BiomedicalConceptProperty_116","True","BiomedicalConceptProperty","Biospecimen Type","string","True"
"Laboratory Test Result","8fe627c6-e04a-48ea-a5c0-7d813162f1fb","BiomedicalConceptProperty_117","True","BiomedicalConceptProperty","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","78c7001a-2dbc-4b70-a33b-2985c449b34a","BiomedicalConceptProperty_118","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True"
"Unit of Catalytic Activity Concentration","8569dc7e-83ef-440d-8201-1f78263f12e9","BiomedicalConceptProperty_119","True","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","string","True"
"Biospecimen Type","a3a7b4f0-4e15-47e8-a983-ca8037b6e1a6","BiomedicalConceptProperty_120","True","BiomedicalConceptProperty","Biospecimen Type","string","True"
"Laboratory Test Result","db2eff11-9b67-48a8-a757-03ecf8ee8b1b","BiomedicalConceptProperty_121","True","BiomedicalConceptProperty","Laboratory Test Result","string","True"
"Laboratory Test Fasting Status","aa0da44a-8546-4bf1-98c7-8eb8277ead8b","BiomedicalConceptProperty_122","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True"
"Unit of Concentration","ea2bbccf-394c-444c-8705-2a9b257b60a2","BiomedicalConceptProperty_123","True","BiomedicalConceptProperty","Unit of Concentration","string","True"
