"name","uuid:ID","id","instanceType","text"
"ENCOUNTER_START_RULE_1","15bd3320-f325-4d38-8e4c-b02b6d59ea8a","TransitionRule_1","TransitionRule","Subject identifier"
"ENCOUNTER_START_RULE_1","a75073fd-0ce6-43cf-885f-cfaec2351f0c","TransitionRule_2","TransitionRule","completion of screening activities"
"ENCOUNTER_START_RULE_2","bff70b89-91fe-43f2-a24d-4a81833eb74e","TransitionRule_3","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","cf9c962b-e5f9-4b62-940c-94244734e310","TransitionRule_4","TransitionRule","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","7279e0c5-cd49-4db2-bbc7-0d19944231b1","TransitionRule_5","TransitionRule","Radomized"
"ENCOUNTER_START_RULE_12","0ce322f0-f132-4df8-9499-86ff5d456ab2","TransitionRule_6","TransitionRule","End of treatment"
"ELEMENT_START_RULE_1","e5b5b406-c4ef-41e3-aab3-cf6f36c92381","TransitionRule_7","TransitionRule","Informed consent"
"ELEMENT_END_RULE_1","05e9952b-97ac-46ac-aefc-a6c764529109","TransitionRule_8","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","b4a43530-cb7f-4261-a941-ce9fecf0d58e","TransitionRule_9","TransitionRule","Administration of first dose"
"ELEMENT_START_RULE_7","fa93c1d0-09f2-4bbc-938e-8aa6702d5520","TransitionRule_14","TransitionRule","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","188ecbfc-2899-4fe8-89d8-e38fd753fa2d","TransitionRule_15","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","35069d74-c6fc-4360-9c63-7ca9a62e6675","TransitionRule_10","TransitionRule","Administration of first dose"
"ELEMENT_START_RULE_4","e8cedea7-b27f-4744-a454-d2bca31697fb","TransitionRule_11","TransitionRule","Randomized"
"ELEMENT_START_RULE_5","23df2710-78d3-4fa0-b3b1-9da4ee61c5c8","TransitionRule_12","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","10c8318c-f2ef-41c7-88aa-8f081e357324","TransitionRule_13","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
