"name","reference","id","uuid:ID","instanceType","label","synonyms"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_20","630a6649-ec70-479c-bc14-4bd647b18e1e","BiomedicalConcept","Body Temperature","['Temperature']"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_21","e5829ffe-6f04-462d-81b8-e3cbc20d454d","BiomedicalConcept","Body Weight","['Weight']"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_22","0c940fb8-96e3-410e-b424-f2052d949fee","BiomedicalConcept","Body Height","['Height']"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_23","3e53ab9c-0e5b-4ba8-9844-8aa85a40f3ae","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_24","33a27173-df07-4c04-ad9a-a873524c1670","BiomedicalConcept","Albumin Measurement","['Albumin']"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_25","ca0e195d-c313-47dd-9a5d-1760a879e068","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_26","1c2d03b4-0b5f-471f-828d-6978ff369d2d","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_27","362093ca-541e-40d6-86c3-b32d0c82197e","BiomedicalConcept","Creatinine Measurement","['Creatinine']"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_28","11f8b02b-9bac-4e19-bb26-38aa147859a2","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_29","30ba2934-675c-4d8d-9b54-f0d0346014bc","BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']"
"Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","ef94970b-eba2-4548-b0b7-d2a330a592c5","BiomedicalConcept","Adverse Event","['Adverse Event Reported Term', 'AETERM']"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","5b047e89-d455-42bf-b6bd-3892b8acbdaf","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","0a8cd860-34e0-42b9-b6d7-a48f7e694b7f","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","1e3b0d9b-0202-4175-bf42-fd38a2531a8e","BiomedicalConcept","Body Temperature","['Temperature']"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","b7b60581-f134-497b-b4cd-ec19fbfa657e","BiomedicalConcept","Body Weight","['Weight']"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","af49d306-6ef9-4f05-828f-a7bfec407165","BiomedicalConcept","Body Height","['Height']"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","6fa33857-ff9b-4635-ad12-a6af3713756a","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","da4d228f-0dfc-4adf-aefe-550fb6161616","BiomedicalConcept","Albumin Measurement","['Albumin']"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","6ffe5297-821f-4152-b4e5-0ee43f428721","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","844f85ff-c7fc-4cbb-b91d-4a1f99e430f8","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","fb7c7c97-7ad8-48eb-b7a9-c9234223aff1","BiomedicalConcept","Creatinine Measurement","['Creatinine']"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","d6cc230b-2fe5-46fb-ae59-14cfa680f2c2","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']"
