"code","codeSystemVersion","uuid:ID","id","instanceType","codeSystem","decode"
"C98388","2023-09-29","23f65517-fcd6-43d3-8972-3ee324c1038a","Code_1","Code","http://www.cdisc.org","Interventional Study"
"C15601","2023-09-29","27077f9d-9b87-4096-bdd1-fca48b7af90c","Code_2","Code","http://www.cdisc.org","Phase II Trial"
"C132352","2023-09-29","5226eb54-2030-4748-b918-f519b8bec909","Code_9","Code","http://www.cdisc.org","Sponsor Approval Date"
"C68846","2023-09-29","f7d2ba1b-9073-4cf2-96a5-8a6f4794e5e6","Code_10","Code","http://www.cdisc.org","Global"
"C99904x3","2023-09-29","83f44912-1ba5-4e36-888c-5e4044df96ad","Code_72","Code","http://www.cdisc.org","IRB/IEC Feedback"
"C17649","2023-09-29","80bd2b82-7f4a-411e-a2e4-dc5a7fe613b9","Code_73","Code","http://www.cdisc.org","Other"
"C41129","2023-09-29","f10f26d8-f784-4953-b93e-7c21c565d528","Code_75","Code","http://www.cdisc.org","Region"
"150","2020-08","76f9cbe1-5a74-4274-9fdb-9e0112084255","Code_74","Code","ISO 3166 1 alpha3","Europe"
"PHARMA","12","a74795c7-881c-45cc-bd03-4681026b641f","Code_4","Code","SPONSOR","Eli Lilly"
"C70793","2023-09-29","23b47975-6930-409d-a3e5-d7aa2765998e","Code_76","Code","http://www.cdisc.org","Clinical Study Sponsor"
"DNK","2020-08","a4d111dd-f4d0-4590-9a91-20a1f889c17e","Code_77","Code","ISO 3166 1 alpha3","Denmark"
"C93453","2023-09-29","017c5bd0-b2a5-4559-8e9d-ef63c1ee49bc","Code_78","Code","http://www.cdisc.org","Study Registry"
"C49656","2023-09-29","1a879f42-e416-4531-b701-f5c0069972be","Code_136","Code","http://www.cdisc.org","Treatment Study"
"C49666","2023-09-29","a605ea58-35eb-422e-9733-91b7bd70e4a6","Code_137","Code","http://www.cdisc.org","Efficacy Study"
"C49667","2023-09-29","05850800-c880-4ca9-b3b8-2719b83ab954","Code_138","Code","http://www.cdisc.org","Safety Study"
"C49663","2023-09-29","658d9991-aaa8-4214-a143-7f93814a5450","Code_139","Code","http://www.cdisc.org","Pharmacokinetic Study"
"MILD_MOD_ALZ","12","67bf61cf-0516-4ec3-a5d3-2840161d066a","Code_133","Code","SPONSOR","Mild to Moderate Alzheimer's Disease"
"26929004","January 31, 2018","86934273-c958-464b-b61a-285a3e7782d1","Code_134","Code","SNOMED","Alzheimer's disease"
"C99907x1","2023-09-29","d09e0b0b-9df5-4759-96f4-1cb93761b6df","Code_142","Code","http://www.cdisc.org","EXTENSION"
"C98704","2023-09-29","1400daa1-4b5a-44d6-bbe4-7af9d103368d","Code_143","Code","http://www.cdisc.org","ADAPTIVE"
"C82639","2023-09-29","8c0a37d2-e47a-4c53-82b8-096899d2f394","Code_140","Code","http://www.cdisc.org","Parallel Study"
"C25716","2023-09-29","666fe84c-8af0-42d0-af27-7e93fee4d382","Code_82","Code","http://www.cdisc.org","Visit"
"C51282","2023-09-29","703bf95b-a315-4045-b93b-c5c19fff47fe","Code_83","Code","http://www.cdisc.org","Clinic"
"C175574","2023-09-29","d2248525-bd52-4017-8d6d-81c8f0055c1d","Code_84","Code","http://www.cdisc.org","In Person"
"C25716","2023-09-29","efd2c0ac-ee11-4dba-98cf-f3157adb4fc8","Code_85","Code","http://www.cdisc.org","Visit"
"C51282","2023-09-29","d635fe4d-563f-46ea-9370-9d0bbd7a768e","Code_86","Code","http://www.cdisc.org","Clinic"
"C175574","2023-09-29","e8309d44-16c5-4cdb-8ec3-aa0fb4f193b3","Code_87","Code","http://www.cdisc.org","In Person"
"C25716","2023-09-29","1a6e84a9-58be-469b-a420-49abc2657f5e","Code_88","Code","http://www.cdisc.org","Visit"
"C51282","2023-09-29","6b7f0ecc-6d73-4649-8f4d-452f90555652","Code_89","Code","http://www.cdisc.org","Clinic"
"C175574","2023-09-29","d76e785e-7953-4ed8-af5d-8eb9f7202c09","Code_90","Code","http://www.cdisc.org","In Person"
"C25716","2023-09-29","51b8941c-e864-496c-b509-0dba9b5ccb0f","Code_91","Code","http://www.cdisc.org","Visit"
"C51282","2023-09-29","653132bd-4368-4640-9f87-23e5cca6305b","Code_92","Code","http://www.cdisc.org","Clinic"
"C175574","2023-09-29","c1f1764f-ab13-42d7-a3d7-28a3ea5e0690","Code_93","Code","http://www.cdisc.org","In Person"
"C25716","2023-09-29","306dd31c-8ac5-49a1-a0b4-74b92b750a5c","Code_94","Code","http://www.cdisc.org","Visit"
"C51282","2023-09-29","6bd6bc7e-2fa8-4a37-9f45-3faf240d9d25","Code_95","Code","http://www.cdisc.org","Clinic"
"C175574","2023-09-29","577b92cf-e728-46b2-83e3-6c113bc954bd","Code_96","Code","http://www.cdisc.org","In Person"
"C25716","2023-09-29","1be0e626-d65d-406a-b84e-8375095eb62c","Code_97","Code","http://www.cdisc.org","Visit"
"C51282","2023-09-29","9ff6c8f9-d2a3-4212-9874-d84feaf69b79","Code_98","Code","http://www.cdisc.org","Clinic"
"C175574","2023-09-29","32e42156-7459-4cc6-954a-7472a0ae83b1","Code_99","Code","http://www.cdisc.org","In Person"
"C25716","2023-09-29","e5c8b7eb-7a80-4d0f-82c2-a80f833e1320","Code_100","Code","http://www.cdisc.org","Visit"
"C51282","2023-09-29","2eb181f6-d49f-487b-aba8-8eba41455048","Code_101","Code","http://www.cdisc.org","Clinic"
