"name","uuid:ID","id","window","instanceType","windowUpper","value","description","windowLower","label"
"TIM1","216cba82-59a3-4289-9234-940f95378926","Timing_1","","Timing","","P2W","Screening timing","","Screening"
"TIM2","28640804-766c-42ba-b610-b12190eb31b3","Timing_2","-4..0 hours","Timing","PT0H","P2D","Pre dose timing","PT4H","Pre dose"
"TIM3","4952fc61-decd-46d8-a2e4-73348a5351d9","Timing_3","","Timing","","P1D","Dosing anchor","","Dosing"
"TIM4","287e2897-30fb-4a3c-ab2a-b7f569ef96e9","Timing_4","-3..3 days","Timing","P3D","P2W","Week 2 timing","P3D","Week 2"
"TIM5","c4487e48-d4ff-47ff-b9b0-bc357b0c3500","Timing_5","-3..3 days","Timing","P3D","P4W","Week 4 timing","P3D","Week 4"
"TIM6","d75d40b1-d86b-40b3-8e2e-79442134c1e3","Timing_6","-3..3 days","Timing","P3D","P6W","Week 6 timing","P3D","Week 6"
"TIM7","fa946ca2-b5e7-4d9b-821d-ec6b42860dfa","Timing_7","-3..3 days","Timing","P3D","P8W","Week 8 timing","P3D","Week 8"
"TIM9","c998790f-1910-4b11-bd3d-0969313bf93e","Timing_9","-4..4 days","Timing","P4D","P12W","Week 12 timing","P4D","Week 12"
"TIM11","698a879e-9e6e-4820-8e8d-2b029a1575ca","Timing_11","-4..4 days","Timing","P4D","P16W","Week 16 timing","P4D","Week 16"
"TIM13","13c186f1-6bd5-4d12-a6dd-bc729fed47a0","Timing_13","-4..4 days","Timing","P4D","P20W","Week 20 timing","P4D","Week 20"
"TIM15","c92fe5da-91aa-4352-8091-89f7b41e9683","Timing_15","-4..4 days","Timing","P4D","P24W","Week 24 timing","P4D","Week 24"
"TIM16","c57ae89a-ff61-409d-aa30-005a89fec830","Timing_16","-3..3 days","Timing","P3D","P26W","Week 26 timing","P3D","Week 26"
"TIM8","4a48a331-3b53-4c3e-b54d-714ffcf86678","Timing_8","","Timing","","P2W","Week 8 at home timing","","Week 8 Home"
"TIM10","5d69bc4b-f53f-4bc9-987d-243c7edefcd4","Timing_10","","Timing","","P2W","Week 12 at home timing","","Week 12 Home"
"TIM12","da11611d-293b-45eb-9628-4c3980773952","Timing_12","","Timing","","P2W","Week 16 at home timing","","Week 16 Home"
"TIM14","690508c6-73dc-4d78-8db9-dca31e1563ca","Timing_14","","Timing","","P2W","Week 20 at home timing","","Week 20 Home"
"TIM17","3958e8e7-59b1-4761-b34d-11d73b5f630b","Timing_17","","Timing","","P1D","Adverse Event","","Adverse Event"
"TIM18","6e1e240e-5953-40f9-89c0-6f0417bc9ec7","Timing_18","","Timing","","P1D","Early Termination","","Early Termination"
"TIM19","8529c827-5b8a-4ee8-902c-466e2ab80316","Timing_19","","Timing","","PT0M","Supine","","Supine"
"TIM20","140226c4-f7de-47dd-90e0-22919092e9e7","Timing_20","","Timing","","PT5M","VS while supine","","VS while supine"
"TIM21","21e34388-9f03-4bbb-a51b-b9fec438519e","Timing_21","","Timing","","PT0M","Standing","","Standing"
"TIM22","9e5c8e51-f23e-41bb-ba5a-f0d80576b9eb","Timing_22","","Timing","","PT1M","VS while standing","","VS while standing"
"TIM23","fe4425ec-b73c-4146-a21b-f0fe891f30a8","Timing_23","","Timing","","PT0M","Standing","","Standing"
"TIM24","a2c65eb3-b9e3-4443-adcd-2bc9a5700a55","Timing_24","","Timing","","PT2M","VS while standing","","VS while standing"
