"sectionTitle","sectionNumber","name","uuid:ID","id","instanceType","text"
"Root","0","ROOT","3c289d5e-2869-453b-a014-2ef748fb4658","NarrativeContent_1","NarrativeContent",""
"TITLE PAGE","0","SECTION 0","49f70c5a-dbc4-40a2-ab93-f3c35974659c","NarrativeContent_2","NarrativeContent","<div><usdm:section name=""M11-title-page""></div>"
"PROTOCOL SUMMARY","1","SECTION 1","d1f24b98-3615-4d1a-8f02-27561f71a655","NarrativeContent_3","NarrativeContent","<div></div>"
"Protocol Synopsis","1.1","SECTION 1.1","7926549a-8040-4c4a-81e5-da7cdfadd80e","NarrativeContent_4","NarrativeContent","<div></div>"
"Trial Schema","1.2","SECTION 1.2","ba7f118e-cb1d-4efb-8876-6096d453855f","NarrativeContent_5","NarrativeContent","<div></div>"
"Schedule of Activities","1.3","SECTION 1.3","bcae82cc-7cba-42e1-b3d1-c5a9555d6cbc","NarrativeContent_6","NarrativeContent","<div></div>"
"INTRODUCTION","2","SECTION 2","99e16bfe-ab7f-46ee-8c02-16743002f883","NarrativeContent_7","NarrativeContent","<div></div>"
"Purpose of Trial","2.1","SECTION 2.1","3efa13ea-d93b-444d-a964-0bfef49150ae","NarrativeContent_8","NarrativeContent","<div></div>"
"Summary of Benefits and Risks","2.2","SECTION 2.2","3f5e48b6-e0e3-43bc-a651-0c8ccdc2df8f","NarrativeContent_9","NarrativeContent","<div></div>"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","SECTION 3","221af62b-cb4b-4627-84b4-1bac381fa106","NarrativeContent_10","NarrativeContent","<div></div>"
"Primary Objectives","3.1","SECTION 3.1","061a6ed2-f1e6-4923-95de-ac8f419fe3ad","NarrativeContent_11","NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></div>"
"TRIAL DESIGN","4","SECTION 4","0d8f9529-093d-458a-b990-47be8856bc2c","NarrativeContent_12","NarrativeContent","<div></div>"
"Description of Trial Design","4.1","SECTION 4.1","7aebcad9-8bb0-4e40-ba63-87c7fc24f1a2","NarrativeContent_13","NarrativeContent","<div></div>"
"Participant Input into Design","4.1.1","SECTION 4.1.1","06a8800a-0d88-4861-8f16-eb29472b4bd9","NarrativeContent_14","NarrativeContent","<div></div>"
"Rationale for Trial Design","4.2","SECTION 4.2","97cdc2b6-864c-4dbb-a2f6-ddf8d1a8fcf4","NarrativeContent_15","NarrativeContent","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"Rationale for Comparator","4.2.1","SECTION 4.2.1","28a222a9-83f4-4393-b9a2-3d76c76a27f5","NarrativeContent_16","NarrativeContent","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"Rationale for Adaptive or Novel Trial Design","4.2.2","SECTION 4.2.2","0d42f1d2-2d47-4607-ac0e-ddc6f2f7cefa","NarrativeContent_17","NarrativeContent","<div></div>"
"Other Trial Design Considerations","4.2.3","SECTION 4.2.3","2629cb57-a4fc-42c3-a64f-c54965764532","NarrativeContent_18","NarrativeContent","<div></div>"
"Access to Trial Intervention After End of Trial","4.3","SECTION 4.3","bff26813-ab47-485c-a4fd-ecd76646ce30","NarrativeContent_19","NarrativeContent","<div></div>"
"Start of Trial and End of Trial","4.4","SECTION 4.4","2bd21c7a-958c-464e-b9db-88b0d42b70af","NarrativeContent_20","NarrativeContent","<div></div>"
"TRIAL POPULATION","5","SECTION 5","00fc176c-ef32-4857-bcb5-e24cf221847b","NarrativeContent_21","NarrativeContent","<div></div>"
"Selection of Trial Population","5.1","SECTION 5.1","c793b1b1-3ea2-4b53-ac4d-ee1d70ad2962","NarrativeContent_22","NarrativeContent","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"Rationale for Trial Population","5.2","SECTION 5.2","44402872-fe14-4b95-969c-b66e5121b99d","NarrativeContent_23","NarrativeContent","<div></div>"
"Inclusion Criteria","5.3","SECTION 5.3","73a58b7f-92b4-4933-9a9a-f02a6222d188","NarrativeContent_24","NarrativeContent","<div><usdm:section name=""M11-inclusion""></div>"
"Exclusion Criteria","5.4","SECTION 5.4","b55b72b0-e947-41d0-bc60-ed6b07b6b3d4","NarrativeContent_25","NarrativeContent","<div><usdm:section name=""M11-exclusion""></div>"
"Lifestyle Considerations","5.5","SECTION 5.5","9aec5d16-cd12-4571-8185-4747b0ec3173","NarrativeContent_26","NarrativeContent","<div></div>"
"Meals and Dietary Restrictions","5.5.1","SECTION 5.5.1","45596e5d-0fde-4c8a-a450-7e2c5f927691","NarrativeContent_27","NarrativeContent","<div></div>"
"Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","SECTION 5.5.2","7de74cfe-c7a7-4ddb-ac34-2367f69781b7","NarrativeContent_28","NarrativeContent","<div><p>Not applicable</p></div>"
