"instanceType","code","codeSystem","decode","codeSystemVersion","id","uuid:ID"
"Code","C98388","http://www.cdisc.org","Interventional Study","2023-09-29","Code_1","78fe57c8-3d58-4291-b430-b307c92925ef"
"Code","C15601","http://www.cdisc.org","Phase II Trial","2023-09-29","Code_2","795d3d80-fbf8-42d2-933e-cd462f599507"
"Code","C132352","http://www.cdisc.org","Sponsor Approval Date","2023-09-29","Code_9","395374ee-5136-4c42-82a2-eaaab9b6a86a"
"Code","C68846","http://www.cdisc.org","Global","2023-09-29","Code_10","53cb4386-1d16-4986-869c-d932d2180abe"
"Code","C99904x3","http://www.cdisc.org","IRB/IEC Feedback","2023-09-29","Code_72","8bdc8501-7374-458c-86d9-8f659cd67a9c"
"Code","C17649","http://www.cdisc.org","Other","2023-09-29","Code_73","813f5adc-d80c-46e8-969b-e16885cca63b"
"Code","C41129","http://www.cdisc.org","Region","2023-09-29","Code_75","702b5bcc-4add-4ff2-af72-2881ffdabf59"
"Code","150","ISO 3166 1 alpha3","Europe","2020-08","Code_74","ac2760cb-6182-4eaa-8202-d9d08fd42af0"
"Code","PHARMA","SPONSOR","Eli Lilly","12","Code_4","bdeb8e11-6812-4dfd-ae75-9236a800f5b1"
"Code","C70793","http://www.cdisc.org","Clinical Study Sponsor","2023-09-29","Code_76","fdba6d21-7a20-49f6-84ea-c362cc93a514"
"Code","DNK","ISO 3166 1 alpha3","Denmark","2020-08","Code_77","fa68029e-57fe-4cdd-8bf9-2b6a8b8da856"
"Code","C93453","http://www.cdisc.org","Study Registry","2023-09-29","Code_78","fc17c62d-c1f0-42f6-b57b-1563f87049a7"
"Code","C49656","http://www.cdisc.org","Treatment Study","2023-09-29","Code_136","9c42bf00-96f2-4769-8351-777dc96a9f95"
"Code","C49666","http://www.cdisc.org","Efficacy Study","2023-09-29","Code_137","c9b85771-0dc0-478a-8b72-b97ac715bf79"
"Code","C49667","http://www.cdisc.org","Safety Study","2023-09-29","Code_138","63a42e19-92e8-42a9-91f8-afa21fc63f4a"
"Code","C49663","http://www.cdisc.org","Pharmacokinetic Study","2023-09-29","Code_139","2432bd6e-42ac-48a6-aa8f-0cd482db214a"
"Code","MILD_MOD_ALZ","SPONSOR","Mild to Moderate Alzheimer's Disease","12","Code_133","a4ac86c2-a776-47c1-9056-20e1447f11ba"
"Code","26929004","SNOMED","Alzheimer's disease","January 31, 2018","Code_134","14c500e2-83a6-4f8b-ac04-eec42d84988c"
"Code","C99907x1","http://www.cdisc.org","EXTENSION","2023-09-29","Code_142","3620306f-a795-4c47-9725-5856484979cf"
"Code","C98704","http://www.cdisc.org","ADAPTIVE","2023-09-29","Code_143","aa5eae04-72b0-4f80-a4c7-09fa9568daa3"
"Code","C82639","http://www.cdisc.org","Parallel Study","2023-09-29","Code_140","b08d09d7-91d0-40b3-8835-f586ae2e088d"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_82","c048fe01-2e20-4978-be03-30053e5b5071"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_83","f5620cc4-43da-4ca2-9d08-b87bbdeac60d"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_84","078583ba-1390-4e5e-841b-8acf759f98d6"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_85","92afa84b-5fca-401e-ae25-1240e4a6bca0"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_86","cd67d817-80f9-4e09-b20e-dac32035bc7f"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_87","37fec7da-c185-4848-b5b4-e66b18867e5a"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_88","c987e95c-649d-4177-8ce1-42e82a622157"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_89","d3d8ceca-3ebb-41b4-be9d-525a047df015"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_90","be17af3b-67bd-44e6-bca8-2440f9eed6ee"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_91","46500a4f-18b2-4add-ae64-aaec06d6b025"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_92","8c53eb69-0ac2-42b4-b72b-9a9295900ec6"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_93","2c60f746-6403-4926-85c9-49e332f661be"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_94","521c01fd-af71-45db-956b-55811579e523"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_95","bb7c6488-d4df-45c9-990f-57e83af52298"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_96","765e6c50-5e64-410b-bbbb-27a365c1fc47"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_97","568ce07c-9e5e-46f5-bdba-20d52d7066ed"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_98","21dac38c-6873-44ff-96e6-3914291f1930"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_99","1bd1e6ff-f030-44e7-b179-c98a4aa7a336"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_100","8312f90f-adb9-4c63-b4e3-5811bbff04e8"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_101","30002465-b181-426e-8054-4659500d476f"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_102","c6d869ab-8ed5-483f-aae6-31cc73b0c651"
"Code","C171537","http://www.cdisc.org","Telephone Call","2023-09-29","Code_103","c8c14f75-f83d-4113-867d-b3ef661cdbab"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_104","8963486c-31fd-48b6-8c5b-3e0168744b15"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_105","2a023a74-46d7-4f27-8a6b-a4d40144aa5b"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_106","e66d5b97-1c52-4847-a0ca-fe2c017ca052"
"Code","C171537","http://www.cdisc.org","Telephone Call","2023-09-29","Code_107","b5dd732b-0ffe-49cb-b075-23bac87cb505"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_108","aa65ad5e-1f26-4e42-8387-51e65cbf514f"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_109","9ec6586d-9fc7-43da-90ec-9984775ed9b3"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_110","308c25b5-079f-4648-8ae4-713ad9fa0b04"
"Code","C171537","http://www.cdisc.org","Telephone Call","2023-09-29","Code_111","649c18cd-c528-4d01-8d27-5ff314f6cb22"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_112","3b39c72a-4251-4df0-b149-433028fe6e2a"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_113","235d7576-91f6-43e0-bae1-ef06929829e4"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_114","59ccc25a-a8c0-4c1f-ab1d-36fda4d30d22"
"Code","C171537","http://www.cdisc.org","Telephone Call","2023-09-29","Code_115","8c925a01-d7b8-4797-905e-83dd16410de4"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_116","d30cbb04-5a09-491c-aff9-00bf4426ad7e"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_117","a929ce01-aeb1-490e-be4f-63461c502cd4"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_118","ae0df05d-2ddc-492d-ae7a-93c29eb360f8"
"Code","C25716","http://www.cdisc.org","Visit","2023-09-29","Code_119","2defe949-7364-496f-b30b-e23f2016b077"
"Code","C51282","http://www.cdisc.org","Clinic","2023-09-29","Code_120","834fced7-a819-40b1-a965-90a6d5428e6f"
"Code","C175574","http://www.cdisc.org","In Person","2023-09-29","Code_121","d944ed33-0556-4f9a-83a0-0c64a3cd6d69"
"Code","383371000119108","SNOMED","CT of head without contrast","January 31, 2018","Code_79","e785a1b3-f462-4d93-b239-e302a8a0cbb5"
"Code","123","SPONSOR","Subject Supine","12","Code_80","3ea07ec7-9607-470e-88af-9e37f377aef9"
"Code","124","SPONSOR","Subject Standing","12","Code_81","c6ea0e0c-8307-4e06-9898-f29bf9308f61"
"Code","C173522","NCI Thesaurus","Vital Signs Result","","Code_278","67ae5925-14a2-49c4-81b9-cbbae8782e12"
"Code","C42537","http://www.cdisc.org","Kelvin","2023-09-29","Code_279","9a6cb9fd-bf00-4a05-a7bd-5fdb041e3fb2"
"Code","C44276","NCI Thesaurus","Unit of Temperature","","Code_280","a12d50ec-f341-4823-80ad-7e6b0f2d297d"
"Code","C83088","NCI Thesaurus","Vital Signs Location","","Code_281","00935e35-a4d9-4f54-bb88-713707872b21"
"Code","C174446","NCI Thesaurus","Body Temperature","","Code_277","cc93f6d4-2ab4-481b-96ce-235faa4e7989"
"Code","C173522","NCI Thesaurus","Vital Signs Result","","Code_283","2c1e1ce1-c50f-4153-a830-8f85edba5334"
"Code","C28252","http://www.cdisc.org","Kilogram","2023-09-29","Code_284","4844936e-aefd-494d-80cb-01b0f326095e"
