"text","name","instanceType","id","uuid:ID"
"Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_1","918e0fc3-9eb8-47f4-8634-b26e6771bec3"
"completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_2","e58484ad-a789-4ffa-adc0-3055f8145a6e"
"subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule","TransitionRule_3","4729f66e-8d26-4826-bbbb-d897c989d2c7"
"subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_4","49b90c06-2284-491f-aa6f-6571d52601b8"
"Radomized","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_5","6d991920-8027-4442-889f-7c5b906d606b"
"End of treatment","ENCOUNTER_START_RULE_12","TransitionRule","TransitionRule_6","1edba031-76b9-4d78-88b7-8750c724b190"
"Informed consent","ELEMENT_START_RULE_1","TransitionRule","TransitionRule_7","d403a327-2883-4fa6-a7ae-8bbd8b77feb5"
"Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule","TransitionRule_8","2c84f03f-52df-48a2-bf18-c238e0a2e07d"
"Administration of first dose","ELEMENT_START_RULE_2","TransitionRule","TransitionRule_9","068248bf-a314-4082-806a-6a0f41c7335b"
"End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule","TransitionRule_14","131e3020-c451-40b2-a8bd-eff01310a2cf"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule","TransitionRule_15","5b09cbc2-cc30-4e85-bf22-2c0beab0ee9d"
"Administration of first dose","ELEMENT_START_RULE_3","TransitionRule","TransitionRule_10","032f589e-13cf-44e2-a41a-3a2ac60faeca"
"Randomized","ELEMENT_START_RULE_4","TransitionRule","TransitionRule_11","39df2d4d-7906-4950-9dca-de4140f8de9f"
"Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule","TransitionRule_12","26fd462d-4d83-4f9e-9b2b-e863e624d66a"
"Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule","TransitionRule_13","7336c61e-3fff-4035-a1fb-69e4e7d07dd9"
