"instanceType","windowUpper","value","name","label","description","window","id","uuid:ID","windowLower"
"Timing","","P2W","TIM1","Screening","Screening timing","","Timing_1","366c55ba-6482-42d9-9f17-f63a08b9d511",""
"Timing","PT0H","P2D","TIM2","Pre dose","Pre dose timing","-4..0 hours","Timing_2","4fdf6b27-d963-4d19-a390-c029e07ed9f2","PT4H"
"Timing","","P1D","TIM3","Dosing","Dosing anchor","","Timing_3","4cd19216-23a6-46c9-8b99-1941efa1aad5",""
"Timing","P3D","P2W","TIM4","Week 2","Week 2 timing","-3..3 days","Timing_4","a9c394ba-721d-48e7-bb10-54f16e2cdd91","P3D"
"Timing","P3D","P4W","TIM5","Week 4","Week 4 timing","-3..3 days","Timing_5","58cf42ad-157b-4a9f-bc0f-92e1aef2e4c3","P3D"
"Timing","P3D","P6W","TIM6","Week 6","Week 6 timing","-3..3 days","Timing_6","2ac19859-011b-4662-9e46-50644b98977f","P3D"
"Timing","P3D","P8W","TIM7","Week 8","Week 8 timing","-3..3 days","Timing_7","ad50b7c5-8077-4415-8fd5-c41d8ba2e2ac","P3D"
"Timing","P4D","P12W","TIM9","Week 12","Week 12 timing","-4..4 days","Timing_9","2ea15b18-7e2d-4d65-abc9-d9f72060b437","P4D"
"Timing","P4D","P16W","TIM11","Week 16","Week 16 timing","-4..4 days","Timing_11","ede892cd-1b81-48a3-af13-2e49de8d0d60","P4D"
"Timing","P4D","P20W","TIM13","Week 20","Week 20 timing","-4..4 days","Timing_13","28b806d2-67c0-4975-8b6b-97b81e7b8a91","P4D"
"Timing","P4D","P24W","TIM15","Week 24","Week 24 timing","-4..4 days","Timing_15","c7a43b7c-d8c7-4c8a-b415-20d1ca6750b1","P4D"
"Timing","P3D","P26W","TIM16","Week 26","Week 26 timing","-3..3 days","Timing_16","9a6911fa-444b-4b62-8cff-8fc3220a8d85","P3D"
"Timing","","P2W","TIM8","Week 8 Home","Week 8 at home timing","","Timing_8","86edc481-3934-4dbf-9506-fa1b172ba8c9",""
"Timing","","P2W","TIM10","Week 12 Home","Week 12 at home timing","","Timing_10","ede5ebaa-8c99-4a65-9755-7c82aa88bdef",""
"Timing","","P2W","TIM12","Week 16 Home","Week 16 at home timing","","Timing_12","b6e601cd-5326-4b2f-ae0a-3250a107dcfa",""
"Timing","","P2W","TIM14","Week 20 Home","Week 20 at home timing","","Timing_14","3511d28e-8dba-4702-b586-c1936ffbf7b8",""
"Timing","","P1D","TIM17","Adverse Event","Adverse Event","","Timing_17","496311b3-303f-49ae-8508-cf4527d6fe37",""
"Timing","","P1D","TIM18","Early Termination","Early Termination","","Timing_18","2ffaf979-a90e-4556-96f0-9b462b24488c",""
"Timing","","PT0M","TIM19","Supine","Supine","","Timing_19","0e667826-ba07-43d8-b46d-83b00eb9cb14",""
"Timing","","PT5M","TIM20","VS while supine","VS while supine","","Timing_20","3594b854-bc0c-4e2b-9c89-d5a2519a3ea7",""
"Timing","","PT0M","TIM21","Standing","Standing","","Timing_21","104fe3c5-ba7b-41b0-950a-da00af41868d",""
"Timing","","PT1M","TIM22","VS while standing","VS while standing","","Timing_22","ccd7cd73-75a4-408a-9323-ff47d3c61976",""
"Timing","","PT0M","TIM23","Standing","Standing","","Timing_23","a98546de-4de8-4b61-83c6-2ab8b224dc04",""
"Timing","","PT2M","TIM24","VS while standing","VS while standing","","Timing_24","7eba67b0-4f39-4280-83bf-ddff3bf1bde4",""
