"instanceType","text","name","sectionTitle","sectionNumber","id","uuid:ID"
"NarrativeContent","","ROOT","Root","0","NarrativeContent_1","ed72f96a-b502-4e6b-b5ce-d321a0c95479"
"NarrativeContent","<div><usdm:section name=""M11-title-page""></div>","SECTION 0","TITLE PAGE","0","NarrativeContent_2","d070a8d3-7ed1-46ff-856e-03e8666a8368"
"NarrativeContent","<div></div>","SECTION 1","PROTOCOL SUMMARY","1","NarrativeContent_3","0db402ae-1d86-4778-931a-6aa8ff3d402a"
"NarrativeContent","<div></div>","SECTION 1.1","Protocol Synopsis","1.1","NarrativeContent_4","3460d858-7119-4541-b6e3-5306a0401fa8"
"NarrativeContent","<div></div>","SECTION 1.2","Trial Schema","1.2","NarrativeContent_5","e65ee209-963c-468b-8a0a-c17d688e2269"
"NarrativeContent","<div></div>","SECTION 1.3","Schedule of Activities","1.3","NarrativeContent_6","9176a4e8-629e-4d85-ae60-2d4663be0eb3"
"NarrativeContent","<div></div>","SECTION 2","INTRODUCTION","2","NarrativeContent_7","c0c42822-519e-4d1e-b91a-a3b78dcd04de"
"NarrativeContent","<div></div>","SECTION 2.1","Purpose of Trial","2.1","NarrativeContent_8","7fd73755-a049-4fd5-a198-968a664c1edb"
"NarrativeContent","<div></div>","SECTION 2.2","Summary of Benefits and Risks","2.2","NarrativeContent_9","ad3a83e5-3570-401f-945f-6edcfd0812d2"
"NarrativeContent","<div></div>","SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","NarrativeContent_10","722fa578-42b4-4b0b-b24f-1b7b877af75d"
"NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","Primary Objectives","3.1","NarrativeContent_11","e1beae25-f6cb-4949-82fe-8bf7a1e24644"
"NarrativeContent","<div></div>","SECTION 4","TRIAL DESIGN","4","NarrativeContent_12","84aa0c78-d0c0-49c6-bac1-b55ee63b5486"
"NarrativeContent","<div></div>","SECTION 4.1","Description of Trial Design","4.1","NarrativeContent_13","7abd29fc-3eaf-49a8-a4b6-0cb950e873d4"
"NarrativeContent","<div></div>","SECTION 4.1.1","Participant Input into Design","4.1.1","NarrativeContent_14","4620c653-7d34-40ac-bc11-9025cc5ab516"
"NarrativeContent","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","Rationale for Trial Design","4.2","NarrativeContent_15","d7e4be7d-6dcf-4276-b312-acfdf7dfce73"
"NarrativeContent","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","SECTION 4.2.1","Rationale for Comparator","4.2.1","NarrativeContent_16","7a66aa4a-8daf-41d9-a4fa-11973b9b1a5e"
"NarrativeContent","<div></div>","SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","4.2.2","NarrativeContent_17","1659987d-d7ca-490a-a029-6e358be1d5d2"
"NarrativeContent","<div></div>","SECTION 4.2.3","Other Trial Design Considerations","4.2.3","NarrativeContent_18","ec1cf471-db9d-4f92-a571-79b4436530b8"
"NarrativeContent","<div></div>","SECTION 4.3","Access to Trial Intervention After End of Trial","4.3","NarrativeContent_19","66fb8922-6bae-4f5a-94b9-bbb473b3af0d"
"NarrativeContent","<div></div>","SECTION 4.4","Start of Trial and End of Trial","4.4","NarrativeContent_20","4a747daf-f46c-4e13-b68f-e3887e387f7e"
"NarrativeContent","<div></div>","SECTION 5","TRIAL POPULATION","5","NarrativeContent_21","f4c04587-ea96-4687-9850-fbd31a8f9e95"
"NarrativeContent","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","SECTION 5.1","Selection of Trial Population","5.1","NarrativeContent_22","a655ac02-68af-48bd-a631-ab9c31a0f5aa"
"NarrativeContent","<div></div>","SECTION 5.2","Rationale for Trial Population","5.2","NarrativeContent_23","c6deb876-4879-4a3d-8864-3978dc7ee79b"
"NarrativeContent","<div><usdm:section name=""M11-inclusion""></div>","SECTION 5.3","Inclusion Criteria","5.3","NarrativeContent_24","7a39d9ed-d6bc-4da8-a9f0-89fcd2825a07"
"NarrativeContent","<div><usdm:section name=""M11-exclusion""></div>","SECTION 5.4","Exclusion Criteria","5.4","NarrativeContent_25","75a036ce-797d-4ca0-841e-e9258f2d5f79"
"NarrativeContent","<div></div>","SECTION 5.5","Lifestyle Considerations","5.5","NarrativeContent_26","fa63e8f9-4c73-4121-85ec-b60d716f6de6"
"NarrativeContent","<div></div>","SECTION 5.5.1","Meals and Dietary Restrictions","5.5.1","NarrativeContent_27","a3e18051-f1e8-4d3d-913b-7b393a58bc9a"
"NarrativeContent","<div><p>Not applicable</p></div>","SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","NarrativeContent_28","7263c0a1-b230-45a7-94d7-0620a4b11459"
"NarrativeContent","<div></div>","SECTION 5.5.3","Physical Activity","5.5.3","NarrativeContent_29","1c9c11ee-cacb-430a-abc9-80e8c9e5e077"
"NarrativeContent","<div></div>","SECTION 5.5.4","Other Activity","5.5.4","NarrativeContent_30","9add77c9-d98d-4c57-b60e-c9c9810aeb30"
"NarrativeContent","<div></div>","SECTION 5.6","Screen Failures","5.6","NarrativeContent_31","07f6c8d3-3d41-46bd-9892-2b43bfd3e24a"
"NarrativeContent","<div></div>","SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","NarrativeContent_32","caaa9207-9c0d-4add-8f94-af84d495e2ab"
"NarrativeContent","<div></div>","SECTION 6.1","Description of Trial Intervention","6.1","NarrativeContent_33","88573e9e-cdd9-4b1e-9b87-9a0ed1a921ef"
"NarrativeContent","<div></div>","SECTION 6.2","Rationale for Trial Intervention","6.2","NarrativeContent_34","608d7486-b8d1-4a79-b8cf-53cfe3fbabfa"
"NarrativeContent","<div></div>","SECTION 6.3","Dosing and Administration","6.3","NarrativeContent_35","18844385-c4b0-41ef-a4db-4ff5cca6d5e7"
"NarrativeContent","<div></div>","SECTION 6.3.1","Trial Intervention Dose Modification","6.3.1","NarrativeContent_36","dd8f048a-1cce-474f-8a7b-8bc4c8646cd1"
"NarrativeContent","<div></div>","SECTION 6.4","Treatment of Overdose","6.4","NarrativeContent_37","841e9692-6d1a-496c-ba91-6707fbe04d9c"
"NarrativeContent","<div></div>","SECTION 6.5","Preparation, Handling, Storage and Accountability","6.5","NarrativeContent_38","6494bb04-b54e-4dfe-9dcf-eb854e6a709f"
"NarrativeContent","<div></div>","SECTION 6.5.1","Preparation of Trial Intervention","6.5.1","NarrativeContent_39","baef7b66-0a99-4532-b6d1-c5b196d9a83e"
"NarrativeContent","<div></div>","SECTION 6.5.2","Handling and Storage of Trial Intervention","6.5.2","NarrativeContent_40","8d787941-35e7-486c-897a-95da8f8c9eaa"
"NarrativeContent","<div></div>","SECTION 6.5.3","Accountability of Trial Intervention","6.5.3","NarrativeContent_41","6da3d494-648d-406a-bb0d-9042a306575b"
"NarrativeContent","<div></div>","SECTION 6.6","Participant Assignment, Randomisation and Blinding","6.6","NarrativeContent_42","54d8f7bd-a571-4343-9f5c-1524a531212f"
"NarrativeContent","<div></div>","SECTION 6.6.1","Participant Assignment","6.6.1","NarrativeContent_43","91253520-f2b5-4b8a-9e57-7608aab31c70"
"NarrativeContent","<div></div>","SECTION 6.6.2","Randomisation","6.6.2","NarrativeContent_44","2cc27762-409b-4478-bd1e-fdb4129d5d2b"
"NarrativeContent","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","SECTION 6.6.3","Blinding and Unblinding","6.6.3","NarrativeContent_45","53ad5c21-4a1c-42d3-b7a5-12e53f87570a"
"NarrativeContent","<div></div>","SECTION 6.7","Trial Intervention Compliance","6.7","NarrativeContent_46","b790f715-8846-486e-827e-93983322edd3"
