"instanceType","name","label","description","id","uuid:ID"
"Encounter","E1","Screening 1","Screening encounter","Encounter_1","ab88df34-2ad3-4c76-b5e1-842039a24d46"
"Encounter","E2","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter_2","f3dedfd2-abfa-43bf-9cc0-27abe1d44910"
"Encounter","E3","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter_3","78df8e79-b596-44f7-9bd6-d50f266764b5"
"Encounter","E4","Week 2","Day 14","Encounter_4","e3b91ab3-f156-425d-9ae4-dcbfd3078416"
"Encounter","E5","Week 4","Day 28","Encounter_5","5f503e5b-47b1-4f35-8cbf-6e1dd994c78e"
"Encounter","E7","Week 6","Day 42","Encounter_6","6f03e3c7-26a4-4b83-a32e-d63846b2837e"
"Encounter","E8","Week 8","Day 56","Encounter_7","3cd7ecfa-3d8f-4ff0-9068-d82d4913fbbf"
"Encounter","E9","Week 12","Day 84","Encounter_8","9c45d50b-9925-4f76-b2d4-6036d1d092b4"
"Encounter","E10","Week 16","Day 112","Encounter_9","18e012a7-b9f2-4f32-a624-ee1e5a6435f9"
"Encounter","E11","Week 20","Day 140","Encounter_10","a22d2961-26da-4097-9b26-0bf7b2705459"
"Encounter","E12","Week 24","Day 168","Encounter_11","35aaaac6-08f5-495e-a3c4-b8576a78ba9c"
"Encounter","E13","Week 26","Day 182","Encounter_12","f4f8cc65-2c88-4ba1-a349-e4bdc68c95d5"
