"instanceType","name","label","reference","synonyms","id","uuid:ID"
"BiomedicalConcept","Body Temperature","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_20","4824834c-bdeb-4103-bff6-b587eb73ead3"
"BiomedicalConcept","Body Weight","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_21","50f55361-6d03-4599-9d10-91b857d20922"
"BiomedicalConcept","Body Height","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_22","95604b71-c1af-40b0-a03c-9a92f5d15628"
"BiomedicalConcept","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_23","674272c7-cf02-4d21-98b2-ceb384f3f559"
"BiomedicalConcept","Albumin Measurement","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_24","113dbb41-0b8d-4b92-af04-a360c3fa0836"
"BiomedicalConcept","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_25","f52b18e0-5fad-4523-8840-b6e4fe536d35"
"BiomedicalConcept","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_26","95d52609-0c71-4f76-be9d-279a18bb4f25"
"BiomedicalConcept","Creatinine Measurement","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_27","32c667e8-32ed-428d-9cf5-eb606c3a9f6e"
"BiomedicalConcept","Potassium Measurement","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_28","9c569505-81f9-41c2-8fe4-efdfb80602ed"
"BiomedicalConcept","Sodium Measurement","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_29","b119390c-5184-413b-a45d-8832fd98ca27"
"BiomedicalConcept","Adverse Event","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1","df47d0c5-ed28-4aca-b0a8-e69ed7906487"
"BiomedicalConcept","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_2","937f11b0-5085-4b5c-b70a-8cb09c07a0a4"
"BiomedicalConcept","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_3","716189f2-23b3-4b7a-a16d-a5c78e69aa8d"
