"id","uuid:ID","name","text","instanceType"
"TransitionRule_1","2f2186e8-075d-45ca-8bce-6ffb2f61587b","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule"
"TransitionRule_2","2449c321-2640-49be-b722-0082a1a17c2c","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule"
"TransitionRule_3","4c0a2a97-299a-43ad-93b9-1ee79754bfe6","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"TransitionRule_4","aff4428f-538c-4b29-aabb-3625b1930493","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule"
"TransitionRule_5","e77a5508-0176-4e62-99b7-acac0a705984","ENCOUNTER_START_RULE_3","Radomized","TransitionRule"
"TransitionRule_6","c6a54e62-2399-4f3f-a40e-dd039d53b262","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule"
"TransitionRule_7","daa44957-af0c-43a8-a4cc-546401e1edb1","ELEMENT_START_RULE_1","Informed consent","TransitionRule"
"TransitionRule_8","595f5256-e354-4e23-9961-cc48468313ca","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"TransitionRule_9","9725fa45-e1b2-436c-bee0-e22b7758ef66","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule"
"TransitionRule_14","fe8d0042-d858-403d-b7ca-88aa8f7c90c4","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule"
"TransitionRule_15","0977bd34-d21b-47d9-adba-f28689167fa4","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"TransitionRule_10","e31c6d7b-b23c-4fe4-aa49-fc6cddaef42c","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule"
"TransitionRule_11","da2eb4d7-3274-4b4b-8fc4-c0ebb183c707","ELEMENT_START_RULE_4","Randomized","TransitionRule"
"TransitionRule_12","838bb33e-de5c-425b-88a5-38765a6a198b","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"TransitionRule_13","e22af71f-f498-4640-9ace-5233cdf7aec6","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
