"decode","id","code","codeSystem","uuid:ID","codeSystemVersion","instanceType"
"Interventional Study","Code_1","C98388","http://www.cdisc.org","0b71bbfe-10a1-48f8-93c4-a7c84b09c5bd","2023-09-29","Code"
"Phase II Trial","Code_2","C15601","http://www.cdisc.org","97084bf9-fe42-468d-b070-0363edcacd78","2023-09-29","Code"
"Sponsor Approval Date","Code_9","C132352","http://www.cdisc.org","522b1904-3ad8-4923-a55f-8d17efaaaeff","2023-09-29","Code"
"Global","Code_10","C68846","http://www.cdisc.org","c0187a4e-9509-4701-828b-6c65a732ead2","2023-09-29","Code"
"IRB/IEC Feedback","Code_72","C99904x3","http://www.cdisc.org","204134bf-e50c-4a52-8e57-1e917013af84","2023-09-29","Code"
"Other","Code_73","C17649","http://www.cdisc.org","4ac0879e-e99a-4736-8807-ed2a2c8fbef9","2023-09-29","Code"
"Region","Code_75","C41129","http://www.cdisc.org","7e55483d-3707-493e-ba54-092ed0d2305f","2023-09-29","Code"
"Europe","Code_74","150","ISO 3166 1 alpha3","077d9397-093c-414d-9f6e-0312ad830cd4","2020-08","Code"
"Eli Lilly","Code_4","PHARMA","SPONSOR","27128f58-fef7-457a-97f8-ff88f514516d","12","Code"
"Clinical Study Sponsor","Code_76","C70793","http://www.cdisc.org","4f24da58-ab92-4345-9cb0-dcb046fa4525","2023-09-29","Code"
"Denmark","Code_77","DNK","ISO 3166 1 alpha3","fd3d02e1-5f24-49b4-8d25-593d2a95981c","2020-08","Code"
"Study Registry","Code_78","C93453","http://www.cdisc.org","d02acbff-8105-4d2a-9cce-9df5bb76032b","2023-09-29","Code"
"Treatment Study","Code_136","C49656","http://www.cdisc.org","048e2e22-0f87-44fa-b304-195e227d3904","2023-09-29","Code"
"Efficacy Study","Code_137","C49666","http://www.cdisc.org","600f4d49-2431-42aa-b2b9-2fdadd904424","2023-09-29","Code"
"Safety Study","Code_138","C49667","http://www.cdisc.org","f59d8d66-9d30-4baf-a9c8-93766d813c9a","2023-09-29","Code"
"Pharmacokinetic Study","Code_139","C49663","http://www.cdisc.org","976ae619-5e33-484c-8d65-7a78de377842","2023-09-29","Code"
"Mild to Moderate Alzheimer's Disease","Code_133","MILD_MOD_ALZ","SPONSOR","f6cec93e-4c70-45bf-afc4-da6428fb54eb","12","Code"
"Alzheimer's disease","Code_134","26929004","SNOMED","b233d411-279e-4515-b664-a118bc777aae","January 31, 2018","Code"
"EXTENSION","Code_142","C99907x1","http://www.cdisc.org","11bf26d7-9440-4bd1-bcb8-cfe053798930","2023-09-29","Code"
"ADAPTIVE","Code_143","C98704","http://www.cdisc.org","1f493957-e03f-4f16-acc1-e50752593e4b","2023-09-29","Code"
"Parallel Study","Code_140","C82639","http://www.cdisc.org","41321d66-9164-4c80-b48f-0a88eb8e721e","2023-09-29","Code"
"Visit","Code_82","C25716","http://www.cdisc.org","5222d1c3-3bee-4395-9b6e-6496bc2ec118","2023-09-29","Code"
"Clinic","Code_83","C51282","http://www.cdisc.org","0c3079d9-1626-469d-8a81-c6dce158046f","2023-09-29","Code"
"In Person","Code_84","C175574","http://www.cdisc.org","8fb798e5-0059-4d10-954c-69e0fd6ba3cd","2023-09-29","Code"
"Visit","Code_85","C25716","http://www.cdisc.org","ee4dbb5b-c00e-4982-9210-d915ea1de40a","2023-09-29","Code"
"Clinic","Code_86","C51282","http://www.cdisc.org","e2257e96-afa2-4ed9-b22b-3d7a450b3714","2023-09-29","Code"
"In Person","Code_87","C175574","http://www.cdisc.org","2bcd66c6-75c1-4611-a2f5-ba9d8d38a095","2023-09-29","Code"
