"value","description","label","id","windowLower","uuid:ID","windowUpper","name","window","instanceType"
"P2W","Screening timing","Screening","Timing_1","","97dd288d-ff12-4faf-8e5c-421c5f931c53","","TIM1","","Timing"
"P2D","Pre dose timing","Pre dose","Timing_2","PT4H","be2dcc44-841f-4734-854e-10388d708ecb","PT0H","TIM2","-4..0 hours","Timing"
"P1D","Dosing anchor","Dosing","Timing_3","","f20333d8-36e3-4bbf-9366-e9c142332996","","TIM3","","Timing"
"P2W","Week 2 timing","Week 2","Timing_4","P3D","3093359c-7b48-4046-bca8-0ea46b5b679c","P3D","TIM4","-3..3 days","Timing"
"P4W","Week 4 timing","Week 4","Timing_5","P3D","9d745ff4-4752-4f14-bb2d-792b77902180","P3D","TIM5","-3..3 days","Timing"
"P6W","Week 6 timing","Week 6","Timing_6","P3D","46aaf2a9-e00a-41b7-b466-1c533192416c","P3D","TIM6","-3..3 days","Timing"
"P8W","Week 8 timing","Week 8","Timing_7","P3D","46ab20c6-8b2f-45c9-87dd-82dbace2012d","P3D","TIM7","-3..3 days","Timing"
"P12W","Week 12 timing","Week 12","Timing_9","P4D","6ff272e7-0e5c-4c02-a2d5-b2994a76fd49","P4D","TIM9","-4..4 days","Timing"
"P16W","Week 16 timing","Week 16","Timing_11","P4D","82b306fd-6365-4f37-b246-0a5531ca14bb","P4D","TIM11","-4..4 days","Timing"
"P20W","Week 20 timing","Week 20","Timing_13","P4D","a059d556-0dd5-4c49-87af-ce1d5112fce1","P4D","TIM13","-4..4 days","Timing"
"P24W","Week 24 timing","Week 24","Timing_15","P4D","84cfeb82-c5c6-4779-aa85-8336dfc80d6a","P4D","TIM15","-4..4 days","Timing"
"P26W","Week 26 timing","Week 26","Timing_16","P3D","8d996d38-3a40-4eff-8277-8d7a08ed9fa4","P3D","TIM16","-3..3 days","Timing"
"P2W","Week 8 at home timing","Week 8 Home","Timing_8","","279ef641-9c88-46dd-b189-07273b1f10a4","","TIM8","","Timing"
"P2W","Week 12 at home timing","Week 12 Home","Timing_10","","8d12c1c3-60f5-48da-bc99-35ba3322d353","","TIM10","","Timing"
"P2W","Week 16 at home timing","Week 16 Home","Timing_12","","f22bbedf-9b9c-4642-9a50-7e08729d4680","","TIM12","","Timing"
"P2W","Week 20 at home timing","Week 20 Home","Timing_14","","bc899159-af51-4e03-ac96-4339ef14c3b2","","TIM14","","Timing"
"P1D","Adverse Event","Adverse Event","Timing_17","","411c1d0f-879d-4fd7-90e1-7bec0e6352e6","","TIM17","","Timing"
"P1D","Early Termination","Early Termination","Timing_18","","bb7d80f0-5955-41e8-bf53-3c0fd224b511","","TIM18","","Timing"
"PT0M","Supine","Supine","Timing_19","","52dd2ec9-9dfd-4497-9dd9-7d7bd60b7281","","TIM19","","Timing"
"PT5M","VS while supine","VS while supine","Timing_20","","2b02884c-9815-40c1-aabf-a4d2839d5006","","TIM20","","Timing"
"PT0M","Standing","Standing","Timing_21","","0b0241f4-2bf0-4016-8ba5-f55f8fe96487","","TIM21","","Timing"
"PT1M","VS while standing","VS while standing","Timing_22","","0ef449c2-b099-48b7-8e87-24fc2dc49ea6","","TIM22","","Timing"
"PT0M","Standing","Standing","Timing_23","","5e70da73-d899-4ecb-ae51-13e18ce33f7b","","TIM23","","Timing"
"PT2M","VS while standing","VS while standing","Timing_24","","e17ca197-3931-419b-92cb-29b00be36fec","","TIM24","","Timing"
