"description","label","id","uuid:ID","name","instanceType"
"Screening encounter","Screening 1","Encounter_1","e3251501-1b68-44cc-be54-27b68a9a5e26","E1","Encounter"
"Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter_2","c90b239a-1526-48eb-a0e8-3984dae1e724","E2","Encounter"
"Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter_3","ec7cd4da-ee98-4b5d-bd80-b7ebba2a7cb0","E3","Encounter"
"Day 14","Week 2","Encounter_4","b8c92a45-1bed-4427-b9aa-b95d43ea112d","E4","Encounter"
"Day 28","Week 4","Encounter_5","470931fb-6b4e-44b9-9fe5-7d3e4b913dfc","E5","Encounter"
"Day 42","Week 6","Encounter_6","5daa738d-b5d3-43d7-8832-0ffc71b872a9","E7","Encounter"
"Day 56","Week 8","Encounter_7","7af49e05-6072-4dea-bd93-d2e86345c28d","E8","Encounter"
"Day 84","Week 12","Encounter_8","8e6cf902-c8b6-49a4-bfc1-64ed75d91133","E9","Encounter"
"Day 112","Week 16","Encounter_9","63d2026c-aad9-4744-8db3-47447b607ca6","E10","Encounter"
"Day 140","Week 20","Encounter_10","ec49fc34-2fb3-4857-8bfa-80bc6fea09ef","E11","Encounter"
"Day 168","Week 24","Encounter_11","01b911b5-b400-4d8b-956a-34a2059fbe2a","E12","Encounter"
"Day 182","Week 26","Encounter_12","95f870a4-eedc-4bb3-afdb-2169ebc19f0f","E13","Encounter"
