"id","uuid:ID","sectionTitle","name","text","instanceType","sectionNumber"
"NarrativeContent_1","ee37120d-6565-49bb-8478-e7d6255f8d21","Root","ROOT","","NarrativeContent","0"
"NarrativeContent_2","ca4eb315-59bc-485a-b154-ce511f9a9000","TITLE PAGE","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent","0"
"NarrativeContent_3","db6de6fc-3c39-41e4-bdb7-c4497480e841","PROTOCOL SUMMARY","SECTION 1","<div></div>","NarrativeContent","1"
"NarrativeContent_4","c5b592f3-11cb-4ef9-bda3-9a3d99318192","Protocol Synopsis","SECTION 1.1","<div></div>","NarrativeContent","1.1"
"NarrativeContent_5","4d10186c-8c12-4cb2-a365-3238ee7d4fd0","Trial Schema","SECTION 1.2","<div></div>","NarrativeContent","1.2"
"NarrativeContent_6","a94948b7-918d-47b7-8627-d48b84462b53","Schedule of Activities","SECTION 1.3","<div></div>","NarrativeContent","1.3"
"NarrativeContent_7","066437b8-6b1a-41e9-bd37-eb34748bcc90","INTRODUCTION","SECTION 2","<div></div>","NarrativeContent","2"
"NarrativeContent_8","92b47507-c743-4863-9bf8-9897af5325fb","Purpose of Trial","SECTION 2.1","<div></div>","NarrativeContent","2.1"
"NarrativeContent_9","39857c19-797b-4b83-9ed4-c039d6959072","Summary of Benefits and Risks","SECTION 2.2","<div></div>","NarrativeContent","2.2"
"NarrativeContent_10","8fd567a0-a10e-426a-ac39-a564c9ec58ba","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","<div></div>","NarrativeContent","3"
"NarrativeContent_11","9db489fb-d4b3-4504-8a30-696a1425362c","Primary Objectives","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent","3.1"
"NarrativeContent_12","b4b14793-9a57-4240-b847-12a1fe2719bf","TRIAL DESIGN","SECTION 4","<div></div>","NarrativeContent","4"
"NarrativeContent_13","eb2daf60-97e7-4f07-996d-b6066a42e989","Description of Trial Design","SECTION 4.1","<div></div>","NarrativeContent","4.1"
"NarrativeContent_14","b275c489-3301-469f-b175-cd8545232945","Participant Input into Design","SECTION 4.1.1","<div></div>","NarrativeContent","4.1.1"
"NarrativeContent_15","c56b8e8a-fc4a-4e7f-a34b-17f61c073413","Rationale for Trial Design","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent","4.2"
"NarrativeContent_16","01109898-9637-403c-9232-093bb71be4c8","Rationale for Comparator","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent","4.2.1"
"NarrativeContent_17","be1cbbd2-654b-4dd9-b757-6f361d0ce7fe","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","<div></div>","NarrativeContent","4.2.2"
