"synonyms","label","id","uuid:ID","name","reference","instanceType"
"['Temperature']","Body Temperature","BiomedicalConcept_20","6698717e-c125-4ac3-bd2b-7857356f5b15","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept"
"['Weight']","Body Weight","BiomedicalConcept_21","ad89acf2-2f90-474d-a1f3-820daf7bb793","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept"
"['Height']","Body Height","BiomedicalConcept_22","abb51dbb-69df-4c8c-bca7-cf85d2825aba","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_23","efbb6032-8977-4ed8-8e71-a89c9587ef40","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"['Albumin']","Albumin Measurement","BiomedicalConcept_24","fb7ccf11-f981-4ebf-8b6d-78bb6325bc6d","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_25","6dfa3540-1492-4917-b594-60ffdeaf65c6","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","80885a8f-e6b8-4533-93e1-64bb0eac4804","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_27","4a5a688e-e106-480e-b9b9-4887ef03715a","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_28","bff30a18-34cf-4145-af47-e893bca9fd00","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_29","56a215b2-b55e-4f26-976a-5b2816e89948","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept"
"['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","3d5b602b-6677-4d4d-9d40-61793e14f848","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","fd8d1fbe-fbb8-4e4e-b721-2ca612b9139b","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","98933f08-7720-478d-bc9c-867d7764cf4e","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept"
"['Temperature']","Body Temperature","BiomedicalConcept_4","a7aa0c69-b3e9-40b7-967a-db38ca56d92b","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept"
"['Weight']","Body Weight","BiomedicalConcept_5","58cf2a34-6a08-4485-b2cd-bdf38ab7f445","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept"
"['Height']","Body Height","BiomedicalConcept_6","bbf1cd10-c235-4567-9fa2-dd94c354453d","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_7","c6968d07-e011-45aa-8d9e-c92a7e0a4b34","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"['Albumin']","Albumin Measurement","BiomedicalConcept_8","1ab8473d-13da-492b-b4fe-2b7ec9268386","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_9","5e53cc23-4b5e-4969-8a2c-50abadb33213","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","2845286d-66f1-4581-ad1e-ccdcfd98f5d8","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_11","1e976619-c842-48f9-a7c5-830ef1e69514","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_12","d432ba50-6aec-47e6-88bf-187c2fa1e903","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_13","de772569-e82a-40de-a30d-74ee1e5d03d7","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_14","64cdf431-d0f3-4aa9-953c-dc86688ffc09","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_15","4e9ce29e-571d-4f11-b178-120d1e0d7b40","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept"
"","Heart Rate","BiomedicalConcept_16","8e31d5f2-1aaf-4828-ab52-71dff4110205","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_17","b124b6e2-8f51-4b4a-96ee-d5714cc96134","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_18","123c7b67-c75a-45fa-a543-0ec758ea440b","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept"
"","Heart Rate","BiomedicalConcept_19","b5cd5965-e387-4b34-9c71-04d96e77dcf5","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept"
