"label","valueLabel","windowLabel","uuid:ID","description","id","name","value","instanceType","windowLower","windowUpper"
"Screening","2 weeks","","1a667282-02d8-4a90-aaed-c8e570a32bb8","Screening timing","Timing_1","TIM1","P2W","Timing","",""
"Pre dose","2 days","-4..0 hours","0eb366f9-f023-4c39-a9cc-1c7a9de75729","Pre dose timing","Timing_2","TIM2","P2D","Timing","PT4H","PT0H"
"Dosing","1 Day","","fb657121-46fe-4ef8-8cad-bf78653fddb9","Dosing anchor","Timing_3","TIM3","P1D","Timing","",""
"Week 2","2 Weeks","-3..3 days","d50f5b0c-5b65-4777-8f3d-484f05b7577f","Week 2 timing","Timing_4","TIM4","P2W","Timing","P3D","P3D"
"Week 4","4 Weeks","-3..3 days","00e4ee06-706d-4656-a0a4-22a23f2e041c","Week 4 timing","Timing_5","TIM5","P4W","Timing","P3D","P3D"
"Week 6","6 Weeks","-3..3 days","8fe0202d-131f-463a-92e3-436cdff5ca90","Week 6 timing","Timing_6","TIM6","P6W","Timing","P3D","P3D"
"Week 8","8 Weeks","-3..3 days","9db454e2-0c83-4f50-ace3-23715e539bf6","Week 8 timing","Timing_7","TIM7","P8W","Timing","P3D","P3D"
"Week 12","12 Weeks","-4..4 days","d65bd4bd-0440-4b0a-8aee-5bb58e8af1a7","Week 12 timing","Timing_9","TIM9","P12W","Timing","P4D","P4D"
"Week 16","16 Weeks","-4..4 days","d6e8af0b-ffb9-4cb6-844e-7e9f1cf7cecb","Week 16 timing","Timing_11","TIM11","P16W","Timing","P4D","P4D"
"Week 20","20 Weeks","-4..4 days","f64e80ce-d145-4502-bf5c-99a1082e45f6","Week 20 timing","Timing_13","TIM13","P20W","Timing","P4D","P4D"
"Week 24","24 Weeks","-4..4 days","1be7e719-af97-4cfe-b578-fbe03ea914ee","Week 24 timing","Timing_15","TIM15","P24W","Timing","P4D","P4D"
"Week 26","26 Weeks","-3..3 days","571741c2-fe7b-4faa-b821-aa5fdc6d9462","Week 26 timing","Timing_16","TIM16","P26W","Timing","P3D","P3D"
"Week 8 Home","2 Weeks","","f4a50015-a4ca-45c3-8efe-4ff423d937dc","Week 8 at home timing","Timing_8","TIM8","P2W","Timing","",""
"Week 12 Home","2 Weeks","","443dc176-aa4b-4a81-bc41-e0669af6d22f","Week 12 at home timing","Timing_10","TIM10","P2W","Timing","",""
"Week 16 Home","2 Weeks","","002f5424-1f6e-4ac4-a056-d43fb024bafa","Week 16 at home timing","Timing_12","TIM12","P2W","Timing","",""
"Week 20 Home","2 Weeks","","fe4cf6e4-d8bd-4422-b58c-3551b9721e81","Week 20 at home timing","Timing_14","TIM14","P2W","Timing","",""
"Adverse Event","1 Day","","6b7bc6d0-b664-44b6-b663-1b9528eccc4f","Adverse Event","Timing_17","TIM17","P1D","Timing","",""
"Early Termination","1 Day","","b20adc0f-8843-4c95-ae37-506010e1b889","Early Termination","Timing_18","TIM18","P1D","Timing","",""
"Supine","0 mins","","18227f5c-9980-475d-8378-631509e3f323","Supine","Timing_19","TIM19","PT0M","Timing","",""
"VS while supine","5 mins","","0ebd29cb-ac92-492e-9fd7-38d63f0ceb41","VS while supine","Timing_20","TIM20","PT5M","Timing","",""
"Standing","0 min","","8a0f1219-6167-4b89-9076-7247cc760d1b","Standing","Timing_21","TIM21","PT0M","Timing","",""
"VS while standing","1 min","","48b23a3f-3d9a-47f9-9433-095d7e3d0445","VS while standing","Timing_22","TIM22","PT1M","Timing","",""
"Standing","0 min","","4ea13852-b55f-45dd-bc87-964d703551b3","Standing","Timing_23","TIM23","PT0M","Timing","",""
"VS while standing","2 min","","59c0f1d1-8b8a-4dee-948c-18ae1839527a","VS while standing","Timing_24","TIM24","PT2M","Timing","",""
