"label","uuid:ID","id","name","synonyms","reference","instanceType"
"Informed Consent Obtained","30bc867d-6999-43ce-ae39-2296b9987689","BiomedicalConcept_20","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept"
"Sex","e7a2283a-93a1-4059-b205-2045223765e1","BiomedicalConcept_21","Sex","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept"
"Race","eea46ecb-1bd7-4c52-a593-d6368a764469","BiomedicalConcept_22","Race","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept"
"Temperature","0b6cfd1d-3e22-4f90-b01b-0e5bb6b9f2ec","BiomedicalConcept_23","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"Weight","067e1898-01ad-4011-b5bb-04e22db0f65a","BiomedicalConcept_24","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"Height","af415aa4-d842-4862-be09-898a944fa5fd","BiomedicalConcept_25","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","02b09de3-d2b6-4e37-b924-1f90ba127a3d","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
"Albumin Presence in Urine","dc4a26c0-ac4c-46f8-93c6-73df2b62fbe6","BiomedicalConcept_27","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","05312536-90f8-4726-a650-934894b48ce0","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","7002ad35-6882-48f5-91e2-5f3beb02329a","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
