"label","uuid:ID","purpose","description","id","name","instanceType","text"
"","6249ba54-0e18-4ea1-a81e-27202b696f33","","","Endpoint_1","END1","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"","6710ad39-5d20-427f-8b51-fe6d7554dd08","","","Endpoint_2","END2","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"","e725e274-874a-4336-9241-f3d03f1744fd","","","Endpoint_3","END3","Endpoint","Adverse events"
"","b378c1ce-c814-4150-9bfe-a37623eb2a02","","","Endpoint_4","END4","Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)"
"","c132d755-fa9e-42b6-ae76-04ad18097132","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","END5","Endpoint","Laboratory evaluations (Change from Baseline)"
"","230111e1-f3c6-4ef0-bf10-ea4e8a5db28a","","","Endpoint_6","END6","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"","3b36aae9-9a74-4b5f-bd1d-77ab4d248cf3","","","Endpoint_7","END7","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"","e4faf963-f760-4b3e-bd8f-2eb3e89d9e6c","","","Endpoint_8","END8","Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"","27fb25d2-aa8c-4d99-9634-ec9f397abff6","","","Endpoint_9","END9","Endpoint","*** To be determined from protocol ***"
"","449eaa80-bbfb-4ee9-b20b-8e36c2e01aca","","","Endpoint_10","END10","Endpoint","*** To be determined from protocol ***"
"","567bd6e6-7a66-4e1d-8635-53fe7f273d5f","","","Endpoint_11","END11","Endpoint","*** To be determined from protocol ***"
