"label","uuid:ID","description","id","name","instanceType"
"Screen One","57e803b4-c08d-4e35-8a2d-21721e06e4ca","-","ScheduledActivityInstance_9","SCREEN1","ScheduledActivityInstance"
"Screen Two","bb286dc9-08c3-4cea-8533-3a2f62f2fa61","-","ScheduledActivityInstance_10","SCREEN2","ScheduledActivityInstance"
"Dose","409b4e33-566f-4adf-8e78-cfb17f30d496","-","ScheduledActivityInstance_11","DOSE","ScheduledActivityInstance"
"Week 2","e8c469a8-2cdb-4afa-8b20-d022a79e29ff","-","ScheduledActivityInstance_12","WK2","ScheduledActivityInstance"
"Week 4","7b2e21bb-2f7b-4d78-ae2d-fefd8d5f2c63","-","ScheduledActivityInstance_13","WK4","ScheduledActivityInstance"
"Week 6","1d81fbc1-b9dc-47d0-8982-fc6b209f228a","-","ScheduledActivityInstance_14","WK6","ScheduledActivityInstance"
"Week 8","ad980a21-6ab2-4749-b55e-1586cc700f13","-","ScheduledActivityInstance_15","WK8","ScheduledActivityInstance"
"Week NPI","a3435f87-4710-4d19-8d66-2c7e5112abde","-","ScheduledActivityInstance_16","WK8N","ScheduledActivityInstance"
"Week 12","3ced7e7c-b86a-4f4a-a243-976eef698441","-","ScheduledActivityInstance_17","WK12","ScheduledActivityInstance"
"Week 12 NPI","ff226e81-ded8-45e0-8194-8a300579d9f8","-","ScheduledActivityInstance_18","WK12N","ScheduledActivityInstance"
"Week 16","183da883-ff82-4728-b633-0b3fa36d5bff","-","ScheduledActivityInstance_19","WK16","ScheduledActivityInstance"
"Week 16 NPI","6f941c42-3f38-4429-a38e-bb75e909df84","-","ScheduledActivityInstance_20","WK16N","ScheduledActivityInstance"
"Week 20","79af348c-9d6a-4b5f-8477-ce7fec27c6c1","-","ScheduledActivityInstance_21","WK20","ScheduledActivityInstance"
"Week 20 NPI","c36e22d1-b10e-4d86-a25a-9cbfbebb3b60","-","ScheduledActivityInstance_22","WK20N","ScheduledActivityInstance"
"Week 24","4688734b-fa66-4109-9fc0-49501a37d497","-","ScheduledActivityInstance_23","WK24","ScheduledActivityInstance"
"Week 26","9f1d60ed-c115-432d-a4ff-a18f92521309","-","ScheduledActivityInstance_24","WK26","ScheduledActivityInstance"
"Adevers Event","8db16e17-dd19-42fd-aba5-2d10fd78fc27","-","ScheduledActivityInstance_1","AE","ScheduledActivityInstance"
"Early Termination","710e22ed-1a19-41e0-92e7-9768e9114a2e","-","ScheduledActivityInstance_2","ET","ScheduledActivityInstance"
"5 minute supine","66baebbc-8d55-44e3-83e7-d0cb21599c31","","ScheduledActivityInstance_3","VS_5MIN","ScheduledActivityInstance"
"Vital signs supine","a2ed6c75-0110-4363-8b35-80e196faf3e7","","ScheduledActivityInstance_4","VS_SUPINE","ScheduledActivityInstance"
"1 minute standing","0a1e3cf8-629c-41ab-9e34-4b33b35ce1b3","","ScheduledActivityInstance_5","VS_1MIN","ScheduledActivityInstance"
"Vital signs after 1 min standing","c678ac2b-e26b-46c0-9ee7-55ac3d5abae2","","ScheduledActivityInstance_6","VS_STAND1","ScheduledActivityInstance"
"2 minute standing","56e101c3-cf00-4fd3-98ea-267be96fcb26","","ScheduledActivityInstance_7","VS_2MIN","ScheduledActivityInstance"
"Vital signs after 3 min standing","808c4e9f-5812-4d4f-ac41-95e7cc76de87","","ScheduledActivityInstance_8","VS_STAND3","ScheduledActivityInstance"
