"uuid:ID","id","name","instanceType","text"
"72ac2962-dc2a-4d3c-a00d-01f684e7e9e4","TransitionRule_1","ENCOUNTER_START_RULE_1","TransitionRule","Subject identifier"
"e94e1b48-5883-4b0e-b928-ef22214cac7b","TransitionRule_2","ENCOUNTER_START_RULE_1","TransitionRule","completion of screening activities"
"51f4cc59-6609-434e-862e-066a2380460b","TransitionRule_3","ENCOUNTER_START_RULE_2","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"c7aab521-efcc-4948-88dc-2333f933bc58","TransitionRule_4","ENCOUNTER_START_RULE_3","TransitionRule","subject has connection of ambulatory ECG machine removed"
"6efd2740-29f8-41e9-9d67-1f1401e3e51b","TransitionRule_5","ENCOUNTER_START_RULE_3","TransitionRule","Radomized"
"200f8cb8-a162-42e1-a12b-9f17043ceb56","TransitionRule_6","ENCOUNTER_START_RULE_12","TransitionRule","End of treatment"
"d9958187-5d48-4408-ac12-2c53cb76d60b","TransitionRule_7","ELEMENT_START_RULE_1","TransitionRule","Informed consent"
"7eac57de-1cf1-4a29-b77a-23bc55467021","TransitionRule_8","ELEMENT_END_RULE_1","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"d0a16e13-e5f3-4a6c-8b81-52518afcf036","TransitionRule_9","ELEMENT_START_RULE_2","TransitionRule","Administration of first dose"
"7de05b98-132c-4f4d-9d23-c9caf66af90f","TransitionRule_14","ELEMENT_START_RULE_7","TransitionRule","End of last scheduled visit on study (including early termination)"
"e0b13858-53ff-4b04-80ae-f79cc1948961","TransitionRule_15","ELEMENT_END_RULE_7","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"4aa80025-0ecf-44e4-a077-3226bdcf731d","TransitionRule_10","ELEMENT_START_RULE_3","TransitionRule","Administration of first dose"
"45fa71cc-d5cc-425e-af10-56807fd9f50c","TransitionRule_11","ELEMENT_START_RULE_4","TransitionRule","Randomized"
"d96fc8a1-7267-43a2-ab68-452bf4794a43","TransitionRule_12","ELEMENT_START_RULE_5","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"7ed21ddb-3ad2-4fb8-b319-e84e295283af","TransitionRule_13","ELEMENT_START_RULE_6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
