"label","uuid:ID","description","id","name","instanceType"
"Informed consent","e1407634-47a2-4ca1-b569-24c4f45523ce","","Activity_1","Informed consent","Activity"
"Inclusion and exclusion criteria","a407ca79-cc66-4867-b389-664244be7270","","Activity_2","Inclusion/exclusion criteria","Activity"
"Patient number assigned","516f8625-502c-4173-ba52-61a08c08c520","","Activity_3","Patient number assigned","Activity"
"Demographics","8a20824c-3982-4928-aeb4-9beae729c3f5","","Activity_4","Demographics","Activity"
"Hachinski Ischemic Scale","17f7b51a-d64c-428c-aae9-485153e7ceb5","","Activity_5","Hachinski","Activity"
"MMSE","1ae9a07d-0bbd-47e8-85d7-6962251bc5a6","","Activity_6","MMSE","Activity"
"Physical examination","4c168b20-c8c6-4fdc-8bc6-86c88ffdb161","","Activity_7","Physical examination","Activity"
"Medical history","40ca63d3-d7dc-4d6e-84cc-b8981006eff7","","Activity_8","Medical history","Activity"
"Habits","2a00d88b-fe35-4d0c-b60f-aabd5907b230","","Activity_9","Habits","Activity"
"Chest X-ray","8bd25096-cf4b-40e4-b40a-25db804552d6","","Activity_10","Chest X-ray","Activity"
"Apo E genotyping","cfc6e85e-491d-4539-b16c-451d7f622c90","","Activity_11","Apo E genotyping","Activity"
"Patient randomised","75c892be-fc66-4391-8adb-e39a4c01589d","","Activity_12","Patient randomised","Activity"
"Vital Signs and Temperature","a595aa96-be4e-4b78-a8cc-702d7ed64c7f","","Activity_13","Vital signs / Temperature","Activity"
"Ambulatory ECG placed","d9327aa8-87c6-43f6-b919-e6f92b9dfc8d","","Activity_14","Ambulatory ECG placed","Activity"
"Ambulatory ECG removed","efb1612d-975d-4e7b-9a4f-87d322cf5015","","Activity_15","Ambulatory ECG removed","Activity"
"ECG","c1ac85b7-2cc8-475a-98c9-8e47bdb46e26","","Activity_16","ECG","Activity"
"Placebo TTS test","10b16441-cdf9-46ae-bc03-179b53e34d0b","","Activity_17","Placebo TTS test","Activity"
"CT scan","cf0e53a5-a154-4dec-ad4b-4396ca76a7d6","","Activity_18","CT scan","Activity"
"Concomitant medications","f6d6ed77-135c-4b50-b6dd-421e63e8fe63","","Activity_19","Concomitant medications","Activity"
"Hematology","4b497058-3d0c-4ba5-bcab-d6aa4080be28","","Activity_20","Hematology","Activity"
"Chemistry","3cc3183e-56e7-44a8-aae6-2a19f0251e35","","Activity_21","Chemistry","Activity"
"Uninalysis","f4dbfc96-23be-433b-a08b-4ac2bb496ea0","","Activity_22","Uninalysis","Activity"
"Plasma Specimen (Xanomeline)","f388c277-0af0-4875-be3c-6350b364ca8e","","Activity_23","Plasma Specimen (Xanomeline)","Activity"
"Hemoglobin A1C","8da0e2e6-eaf5-4d61-a12b-fabe49705645","","Activity_24","Hemoglobin A1C","Activity"
"Study drug record , Medications dispensed, Medications returned","395da737-2f2d-423d-adf3-f0eda0c2cc61","","Activity_25","Study drug","Activity"
"TTS Acceptability Survey","7e485c7e-41a7-4d4a-8a32-2265749c923d","","Activity_26","TTS Acceptability Survey","Activity"
"ADAS-Cog","c10fc769-6446-4fe6-965a-8fbb90b47f97","","Activity_27","ADAS-Cog","Activity"
"CIBIC+","97704e88-d924-4735-9a93-9333225068cb","","Activity_28","CIBIC+","Activity"
"DAD","1cf61efe-72d2-4916-9b04-f225ceef0c65","","Activity_29","DAD","Activity"
"NPI-X","e8bb42b7-e489-492a-8b82-c354d711ce02","","Activity_30","NPI-X","Activity"
"Adverse events","be849eb0-faa0-44ef-8af7-c2aa6df1f4bf","","Activity_31","Adverse events","Activity"
"Check adverse events","b343bac8-b7c4-44f8-b454-c8c17be3055c","","Activity_32","Check adverse events","Activity"
"Subject supine","ac1d4f65-829a-4d37-b4ee-6228358f74c7","","Activity_33","Supine","Activity"
"Vital signs while supine","a08b514b-8055-4b17-953f-fc5884459f3f","","Activity_34","Vital Signs Supine","Activity"
"Subject Standing","757f165e-30da-4d4a-b2f0-d11911c7d818","","Activity_35","Stand","Activity"
"Vital signs while standing","9465bf7b-d634-463e-bade-f93152975cd6","","Activity_36","Vital Signs Standing","Activity"
