"code","codeSystemVersion","instanceType","uuid:ID","codeSystem","decode","id"
"C98388","2023-12-15","Code","d7d6286a-c661-40b9-bc14-31127d185849","http://www.cdisc.org","Interventional Study","Code_1"
"C15601","2023-12-15","Code","b5e60e52-a4f4-4db7-bcbd-bf8f63c0f4c1","http://www.cdisc.org","Phase II Trial","Code_2"
"C132352","2023-12-15","Code","92e94c1f-3d39-41ab-a9e9-04ec0e510d12","http://www.cdisc.org","Sponsor Approval Date","Code_9"
"C68846","2023-12-15","Code","c067d103-91dc-42b2-899b-a1bccc1eb80c","http://www.cdisc.org","Global","Code_10"
"C99904x3","2023-12-15","Code","1a642e2b-6033-49fb-9d9f-9f73e364ced7","http://www.cdisc.org","IRB/IEC Feedback","Code_72"
"C17649","2023-12-15","Code","95438fff-dac5-45b6-b8b9-ebad104db23f","http://www.cdisc.org","Other","Code_73"
"C41129","2023-12-15","Code","dcf9e033-e261-4fd1-97c6-bcf29f5347df","http://www.cdisc.org","Region","Code_75"
"150","2020-08","Code","8961f6ce-7185-4531-94c6-bbcb687d33f1","ISO 3166 1 alpha3","Europe","Code_74"
"PHARMA","12","Code","e077ab30-0860-42f0-99a8-33c00b2d640b","SPONSOR","Eli Lilly","Code_4"
"C70793","2023-12-15","Code","b60cc9d9-acd0-4491-a922-30e2fd4c4f14","http://www.cdisc.org","Clinical Study Sponsor","Code_76"
"USA","2020-08","Code","fcaa5fe7-6e2e-49ba-9a29-f238e4b489be","ISO 3166 1 alpha3","United States of America","Code_77"
"C93453","2023-12-15","Code","2269d436-7969-414e-bfc4-d47c00512940","http://www.cdisc.org","Study Registry","Code_78"
"USA","2020-08","Code","e68ce398-b577-4ea0-8e44-238fa21fe9fe","ISO 3166 1 alpha3","United States of America","Code_79"
"C49656","2023-12-15","Code","0f5b692e-5807-49f4-8076-4e34ff693878","http://www.cdisc.org","Treatment Study","Code_137"
"C49666","2023-12-15","Code","6ccd12aa-0c4b-4970-975a-00e738a75b99","http://www.cdisc.org","Efficacy Study","Code_138"
"C49667","2023-12-15","Code","cb6325ef-64c4-4cb8-b8eb-a804eadbf05d","http://www.cdisc.org","Safety Study","Code_139"
"C49663","2023-12-15","Code","c5e6dfce-ad15-4d38-9df4-c7ddec3333d3","http://www.cdisc.org","Pharmacokinetic Study","Code_140"
"MILD_MOD_ALZ","12","Code","3c4d430a-9a4e-4de6-a8d4-e1622c0d6fe8","SPONSOR","Mild to Moderate Alzheimer's Disease","Code_134"
"26929004","January 31, 2018","Code","2388a261-43ab-4133-9f35-15f79f9f5ee9","SNOMED","Alzheimer's disease","Code_135"
"C99907x1","2023-12-15","Code","46f01023-b1d8-4b3f-a104-0d6e5c816ee4","http://www.cdisc.org","EXTENSION","Code_143"
"C98704","2023-12-15","Code","d8132bec-e13f-4dbd-ae41-adcc6a0f6b27","http://www.cdisc.org","ADAPTIVE","Code_144"
"C82639","2023-12-15","Code","3b1f935f-2f2d-4e44-b2ea-45c5498c3268","http://www.cdisc.org","Parallel Study","Code_141"
"C25716","2023-12-15","Code","d1b9726a-fc47-4ce3-a3b4-1a17ceefe3cc","http://www.cdisc.org","Visit","Code_83"
"C51282","2023-12-15","Code","ca112ac9-71c1-4f74-acf7-0ae30f15b032","http://www.cdisc.org","Clinic","Code_84"
"C175574","2023-12-15","Code","4c2e1ab6-de6b-4c76-99f5-9d1864756290","http://www.cdisc.org","In Person","Code_85"
"C25716","2023-12-15","Code","b8f130ee-a62c-4586-ba86-25ef124ce47a","http://www.cdisc.org","Visit","Code_86"
"C51282","2023-12-15","Code","e01adbbc-4b87-445d-94e0-3e23b3524d4b","http://www.cdisc.org","Clinic","Code_87"
"C175574","2023-12-15","Code","57de1e5d-5c67-4e09-8614-834b06808223","http://www.cdisc.org","In Person","Code_88"
"C25716","2023-12-15","Code","5c9b1dea-29e8-4138-b458-69301e1431cc","http://www.cdisc.org","Visit","Code_89"
"C51282","2023-12-15","Code","05d5701a-f663-466d-ae3b-ad519eca53e5","http://www.cdisc.org","Clinic","Code_90"
"C175574","2023-12-15","Code","d59c6eda-7f03-423d-9599-f4844e38dc5b","http://www.cdisc.org","In Person","Code_91"
"C25716","2023-12-15","Code","63f22da4-e9ea-4d87-8e56-d5cb150243a4","http://www.cdisc.org","Visit","Code_92"
"C51282","2023-12-15","Code","0ff42e2d-9e41-4edc-8e6e-73ceba13118a","http://www.cdisc.org","Clinic","Code_93"
"C175574","2023-12-15","Code","1dd8b7b1-1ff4-4f24-a489-02867052dd4b","http://www.cdisc.org","In Person","Code_94"
"C25716","2023-12-15","Code","9ed699ec-528b-4f5b-85ca-5c125bf830e7","http://www.cdisc.org","Visit","Code_95"
"C51282","2023-12-15","Code","392f3768-93b1-46a0-abd9-10df207bcbad","http://www.cdisc.org","Clinic","Code_96"
"C175574","2023-12-15","Code","6a400ccf-01ea-4d5d-9000-b9556e3eba28","http://www.cdisc.org","In Person","Code_97"
"C25716","2023-12-15","Code","e5f3067b-ab9b-4805-a27a-58812d30c6d1","http://www.cdisc.org","Visit","Code_98"
"C51282","2023-12-15","Code","8eb52a75-9b80-45ca-9b84-4d0db3b30025","http://www.cdisc.org","Clinic","Code_99"
"C175574","2023-12-15","Code","2b8e7c75-bc6f-4f39-8a7d-b5b938701f7c","http://www.cdisc.org","In Person","Code_100"
"C25716","2023-12-15","Code","f0247723-4e8c-42fd-92a2-c5439278b48a","http://www.cdisc.org","Visit","Code_101"
"C51282","2023-12-15","Code","a07103f4-d002-4d6f-9989-b23c1aec2604","http://www.cdisc.org","Clinic","Code_102"
"C175574","2023-12-15","Code","2b98041f-20ce-4d72-889e-fbe2dd919a03","http://www.cdisc.org","In Person","Code_103"
"C171537","2023-12-15","Code","9bfb89cc-c1a3-4170-9058-9f7d6288d2d9","http://www.cdisc.org","Telephone Call","Code_104"
