"purpose","description","instanceType","name","uuid:ID","label","text","id"
"","","Endpoint","END1","23000a12-1c58-475a-825a-8111ff989f06","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1"
"","","Endpoint","END2","ccdf868f-51a8-49bc-b024-afff43862a4b","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2"
"","","Endpoint","END3","99ca1d38-fa71-4e94-b392-8ded5fecf1a5","","Adverse events","Endpoint_3"
"","","Endpoint","END4","defd0b38-8722-4834-be93-bab94b19411c","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4"
"","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","END5","0f3953ec-0ed2-46d4-8786-a94d5d83af06","","Laboratory evaluations (Change from Baseline)","Endpoint_5"
"","","Endpoint","END6","dd6fb8c2-27dc-4501-8035-e43c6eb99a1d","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6"
"","","Endpoint","END7","807b752a-c133-483b-87d2-e4da468dea8e","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7"
"","","Endpoint","END8","d9177e30-6770-4e80-9ec8-82f21ba78080","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8"
"","","Endpoint","END9","c072e444-dd44-4662-8a54-f2c8df03634a","","*** To be determined from protocol ***","Endpoint_9"
"","","Endpoint","END10","195081dc-a9e0-4a5a-8625-c219d2efa6f9","","*** To be determined from protocol ***","Endpoint_10"
"","","Endpoint","END11","38c21023-5d49-4656-89bb-17c747aea8ad","","*** To be determined from protocol ***","Endpoint_11"
