"description","instanceType","name","uuid:ID","label","id"
"Screening encounter","Encounter","E1","df47a228-8278-413c-b15b-eed4bf5a83a0","Screening 1","Encounter_1"
"Screening encounter - Ambulatory ECG Placement","Encounter","E2","d6782d5f-5d5a-45a1-99bd-7a5b80215e43","Screening 2","Encounter_2"
"Baseline encounter - Ambulatory ECG Removal","Encounter","E3","e3397b39-92b7-4e24-bb51-8e7ed9d227a6","Baseline","Encounter_3"
"Day 14","Encounter","E4","d56a8514-aee3-4491-81de-a0c2add7167f","Week 2","Encounter_4"
"Day 28","Encounter","E5","09121ec3-adf6-4aad-9995-b07ca6a2cea5","Week 4","Encounter_5"
"Day 42","Encounter","E7","992726eb-2993-4c61-9690-24f11137c3bc","Week 6","Encounter_6"
"Day 56","Encounter","E8","8592909e-c1ad-4790-96f8-d17cd5a0509d","Week 8","Encounter_7"
"Day 84","Encounter","E9","e4096e7e-b64a-4385-86c7-59ea84ed47a2","Week 12","Encounter_8"
"Day 112","Encounter","E10","38448f4c-c5d9-4683-ae37-a89000004b01","Week 16","Encounter_9"
"Day 140","Encounter","E11","ee4cf119-711b-498c-b5f5-f09eeecafd9c","Week 20","Encounter_10"
"Day 168","Encounter","E12","af159901-a207-4588-8789-891e48a7bdda","Week 24","Encounter_11"
"Day 182","Encounter","E13","1e4ab06d-4ba0-4390-871b-b72ea2e12320","Week 26","Encounter_12"
