"windowLabel","valueLabel","value","description","instanceType","name","uuid:ID","windowLower","windowUpper","label","id"
"","2 weeks","P2W","Screening timing","Timing","TIM1","e90a75c8-0376-4268-9c14-247257476b5f","","","Screening","Timing_1"
"-4..0 hours","2 days","P2D","Pre dose timing","Timing","TIM2","4a75bd83-369c-4c00-8fda-978a47d3e232","PT4H","PT0H","Pre dose","Timing_2"
"","1 Day","P1D","Dosing anchor","Timing","TIM3","fa445ac2-a189-4f9b-93d4-897a830d3448","","","Dosing","Timing_3"
"-3..3 days","2 Weeks","P2W","Week 2 timing","Timing","TIM4","a0ca2e8f-9863-4334-8b30-76095563c878","P3D","P3D","Week 2","Timing_4"
"-3..3 days","4 Weeks","P4W","Week 4 timing","Timing","TIM5","5714c77b-6d1c-4e64-959c-b4cb3517e051","P3D","P3D","Week 4","Timing_5"
"-3..3 days","6 Weeks","P6W","Week 6 timing","Timing","TIM6","33df6797-01f4-457b-bd18-c2e05586a860","P3D","P3D","Week 6","Timing_6"
"-3..3 days","8 Weeks","P8W","Week 8 timing","Timing","TIM7","70183762-ec05-46ea-ba53-e9dc57d8fd6d","P3D","P3D","Week 8","Timing_7"
"-4..4 days","12 Weeks","P12W","Week 12 timing","Timing","TIM9","ca7631e1-b419-43b9-afb8-394e0d0f8929","P4D","P4D","Week 12","Timing_9"
"-4..4 days","16 Weeks","P16W","Week 16 timing","Timing","TIM11","ce950afb-fdc7-479e-a4f8-93d073885555","P4D","P4D","Week 16","Timing_11"
"-4..4 days","20 Weeks","P20W","Week 20 timing","Timing","TIM13","f6d2b554-b8db-47a1-9eed-091b7e4adea0","P4D","P4D","Week 20","Timing_13"
"-4..4 days","24 Weeks","P24W","Week 24 timing","Timing","TIM15","1711e228-26f4-49fd-80df-bd5f85cde2bf","P4D","P4D","Week 24","Timing_15"
"-3..3 days","26 Weeks","P26W","Week 26 timing","Timing","TIM16","10ea9fb4-ebd9-4b07-b5f9-2396f8344536","P3D","P3D","Week 26","Timing_16"
"","2 Weeks","P2W","Week 8 at home timing","Timing","TIM8","69c416d5-0b08-471f-8798-fecede420cb8","","","Week 8 Home","Timing_8"
"","2 Weeks","P2W","Week 12 at home timing","Timing","TIM10","07042e34-05ae-4e34-87eb-5ade8db9d33d","","","Week 12 Home","Timing_10"
"","2 Weeks","P2W","Week 16 at home timing","Timing","TIM12","00e99d51-560b-4aca-9517-2bef273d1dc5","","","Week 16 Home","Timing_12"
"","2 Weeks","P2W","Week 20 at home timing","Timing","TIM14","b37ea537-d02d-4a46-adc2-7696a6f7cdbb","","","Week 20 Home","Timing_14"
"","1 Day","P1D","Adverse Event","Timing","TIM17","5f3ddcc2-58fa-4b3d-b190-01a3f03c02dd","","","Adverse Event","Timing_17"
"","1 Day","P1D","Early Termination","Timing","TIM18","f93e9de5-ac11-4929-980c-1d18254024af","","","Early Termination","Timing_18"
"","0 mins","PT0M","Supine","Timing","TIM19","c886c667-4f44-476b-bb07-cbf84f937d6b","","","Supine","Timing_19"
"","5 mins","PT5M","VS while supine","Timing","TIM20","81e3da8a-0cc8-4260-9af4-7a1df17b69de","","","VS while supine","Timing_20"
"","0 min","PT0M","Standing","Timing","TIM21","e28aeac3-0f4b-4b00-9482-15cf9b82537b","","","Standing","Timing_21"
"","1 min","PT1M","VS while standing","Timing","TIM22","a26a86d9-b23d-48b3-8c47-8240096c27ab","","","VS while standing","Timing_22"
"","0 min","PT0M","Standing","Timing","TIM23","136746c2-4c8e-4d25-b703-386110379c58","","","Standing","Timing_23"
"","2 min","PT2M","VS while standing","Timing","TIM24","f3919b58-90a2-484e-8387-dfe2cb0433fb","","","VS while standing","Timing_24"
