"id","uuid:ID","name","text","instanceType"
"TransitionRule_1","7b9a5911-d24c-4dd9-8342-766692b665bc","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule"
"TransitionRule_2","2ba54bb7-59fd-489c-987b-a5c012e09f8d","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule"
"TransitionRule_3","4b3fb15c-24cf-4550-8794-68e78d8cbcba","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"TransitionRule_4","808a2000-3239-408d-b0a4-e13d3ddec919","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule"
"TransitionRule_5","aa181690-1121-42ff-883e-50536aa7dbcb","ENCOUNTER_START_RULE_3","Radomized","TransitionRule"
"TransitionRule_6","45505816-9af6-461c-8593-ebcfc7d9b578","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule"
"TransitionRule_7","11a3df40-e971-45d1-86cb-01f65e16b5c0","ELEMENT_START_RULE_1","Informed consent","TransitionRule"
"TransitionRule_8","610e857b-306c-4784-b0c6-d831dee9f14d","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"TransitionRule_9","447fb97e-02ac-456e-9ea2-25d029c4e14e","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule"
"TransitionRule_14","628a0289-b766-4481-b9d8-5d9527095b34","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule"
"TransitionRule_15","8e6b9719-5c52-4d34-9a7e-aa595b37ab75","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"TransitionRule_10","e9133ea6-7bc2-41f2-aec8-c3c52f2ceaeb","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule"
"TransitionRule_11","5f4b54c7-6d46-41a0-b990-408c8a51ceb8","ELEMENT_START_RULE_4","Randomized","TransitionRule"
"TransitionRule_12","5af01e4d-378f-4667-b813-4b4b9cfa5386","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"TransitionRule_13","9a4d6e7c-c9d6-4357-93cc-6d1adcd794c8","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
