"description","purpose","uuid:ID","label","id","name","text","instanceType"
"","","26f7a40b-877c-4ae2-b12f-ff285c1bd70e","","Endpoint_1","END1","Clinical status assessed using a 7-category ordinal scale at Day 28","ENDPOINT"
"","","6f57455d-048f-483f-af9e-eb8489f8c42b","","Endpoint_2","END2","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","ENDPOINT"
"","","f4aa78e5-8ef9-49ae-8945-9bf2e2918307","","Endpoint_3","END3","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","ENDPOINT"
"","","834734ce-0ac9-44e3-83c5-35bb81fed374","","Endpoint_4","END4","Incidence of mechanical ventilation","ENDPOINT"
"","","04582d27-c8e2-4755-bc57-b0890ed2c0ea","","Endpoint_5","END5","Ventilator-free days to Day 28","ENDPOINT"
"","","bcc05664-6425-48ef-978c-64148025b4f7","","Endpoint_6","END6","Incidence of intensive care unit (ICU) stay","ENDPOINT"
"","","4650c39e-9b91-42f1-90f7-607fdfa0dff9","","Endpoint_7","END7","Duration of ICU stay","ENDPOINT"
"","","7b64f043-2907-45e3-8b8f-9e69037b03e7","","Endpoint_8","END8","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","ENDPOINT"
"","","a6c432f0-d1fd-4fc8-929e-46ff37e34701","","Endpoint_9","END9","Mortality rate at Days 7, 14, 21, 28, and 60","ENDPOINT"
"","","624ff2bb-7787-4c33-93f1-560be3530c0e","","Endpoint_10","END10","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","ENDPOINT"
"","","ac7b07a7-fa63-45e4-8625-461ec5180678","","Endpoint_11","END11","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","ENDPOINT"
"","","eefb1148-91a6-46df-a536-dc1a06783fba","","Endpoint_12","END12","Duration of supplemental oxygen","ENDPOINT"
