"uuid:ID","id","sectionTitle","name","text","sectionNumber"
"3f2fcf94-30db-4feb-8832-5f7318e5447a","NarrativeContent_1","Root","ROOT","","0"
"cfb41ba5-133d-4db6-9205-35ade35cdb88","NarrativeContent_2","PROTOCOL SUMMARY","SECTION 1","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","1"
"7c3c4f3a-c1e8-486a-8326-d5624f3c5feb","NarrativeContent_3","Protocol Synopsis","SECTION 1.1","<div></div>","1.1"
"6c75c47b-2f75-4964-9306-d2e432509199","NarrativeContent_4","Trial Schema","SECTION 1.2","<div></div>","1.2"
"f5449698-7155-48a6-b5c7-df8e276cdf28","NarrativeContent_5","Schedule of Activities","SECTION 1.3","<div></div>","1.3"
"1dbed9a6-f2fd-436c-b1f4-dc24c0bec94f","NarrativeContent_6","INTRODUCTION","SECTION 2","<div></div>","2"
"fa8890bd-87a8-4afa-8919-d9c51bc13722","NarrativeContent_7","Purpose of Trial","SECTION 2.1","<div></div>","2.1"
"eb3ce7c3-d7da-451c-acf0-d0d22601ae77","NarrativeContent_8","Summary of Benefits and Risks","SECTION 2.2","<div></div>","2.2"
"0e7832bb-8c19-4608-a905-e8a6475e88b8","NarrativeContent_9","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","<div></div>","3"
"527ecfec-f1d5-434a-8d4f-07819c68d9bd","NarrativeContent_10","Primary Objectives","SECTION 3.1","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","3.1"
"875e705c-7a6b-4fa8-a635-0063c4a40337","NarrativeContent_11","TRIAL DESIGN","SECTION 4","<div></div>","4"
"73f1d885-3b3c-4c34-b9f6-11593254e987","NarrativeContent_12","Description of Trial Design","SECTION 4.1","<div></div>","4.1"
"11b58118-64a7-415d-b661-bd62a6c08416","NarrativeContent_13","Participant Input into Design","SECTION 4.1.1","<div></div>","4.1.1"
"46f7b117-a7f0-4f48-8b26-a69591c109bf","NarrativeContent_14","Rationale for Trial Design","SECTION 4.2","<div></div>","4.2"
"df278dd4-e28e-4375-9e97-b490d678169f","NarrativeContent_15","Rationale for Comparator","SECTION 4.2.1","<div></div>","4.2.1"
"4e0924d3-0bb9-4a19-89b4-0b75bbe151a8","NarrativeContent_16","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","<div></div>","4.2.2"
"d77421e6-85a2-43e2-8346-71ee9340115d","NarrativeContent_17","Other Trial Design Considerations","SECTION 4.2.3","<div></div>","4.2.3"
"004045a5-876d-4225-aa41-c9c9a6b43534","NarrativeContent_18","Access to Trial Intervention After End of Trial","SECTION 4.3","<div></div>","4.3"
