"code","codeSystem","decode","instanceType","id","codeSystemVersion","uuid:ID"
"C98388","http://www.cdisc.org","Interventional Study","Code","Code_1","2023-09-29","421f2461-93e5-4337-9d38-d1bac6808b6f"
"C15601","http://www.cdisc.org","Phase II Trial","Code","Code_2","2023-09-29","e2a9150d-bdb4-440e-b3a3-8b371cb7ac5b"
"C132352","http://www.cdisc.org","Sponsor Approval Date","Code","Code_9","2023-09-29","7461dfd4-f58e-40c6-8d8d-14ef0a46803b"
"C68846","http://www.cdisc.org","Global","Code","Code_10","2023-09-29","7dfaf2b6-881e-4aea-b33b-7b28686b9df9"
"C99904x3","http://www.cdisc.org","IRB/IEC Feedback","Code","Code_72","2023-09-29","b389b25b-727d-4c5a-9e66-5b5aa900c68e"
"C17649","http://www.cdisc.org","Other","Code","Code_73","2023-09-29","6870cb21-5d28-44bd-ab8e-4ef85609e426"
"C41129","http://www.cdisc.org","Region","Code","Code_75","2023-09-29","e6f758ef-3d52-4249-a8b3-febc3de64209"
"150","ISO 3166 1 alpha3","Europe","Code","Code_74","2020-08","54c6f3d6-e61a-4981-ba98-4f439cc30e10"
"PHARMA","SPONSOR","Eli Lilly","Code","Code_4","12","1bf3ed20-bd4e-4fad-aa3f-bdbb93d94b65"
"C70793","http://www.cdisc.org","Clinical Study Sponsor","Code","Code_76","2023-09-29","082247d9-e1c6-4de5-8db7-e6851e7da6a1"
"DNK","ISO 3166 1 alpha3","Denmark","Code","Code_77","2020-08","0b67848a-aa7a-4c34-8e1c-c237d3790e06"
"C93453","http://www.cdisc.org","Study Registry","Code","Code_78","2023-09-29","9c58bf63-e51b-4b24-bcce-0f79fdc3db73"
"C49656","http://www.cdisc.org","Treatment Study","Code","Code_136","2023-09-29","888769ca-00b4-4012-913d-dcb4b56e84d1"
"C49666","http://www.cdisc.org","Efficacy Study","Code","Code_137","2023-09-29","01014d84-717d-48a5-9c78-82b65d5cc2af"
"C49667","http://www.cdisc.org","Safety Study","Code","Code_138","2023-09-29","cc4282ae-3a51-446b-89a7-8478d58b0456"
"C49663","http://www.cdisc.org","Pharmacokinetic Study","Code","Code_139","2023-09-29","7d19a099-ca7b-40d0-930f-801260cb7707"
"MILD_MOD_ALZ","SPONSOR","Mild to Moderate Alzheimer's Disease","Code","Code_133","12","3adeb5b8-537e-4ff5-b5d9-67f26547d9a9"
"26929004","SNOMED","Alzheimer's disease","Code","Code_134","January 31, 2018","e25e565c-fadf-41b4-bdd7-7584bb2406ae"
"C99907x1","http://www.cdisc.org","EXTENSION","Code","Code_142","2023-09-29","fb96f258-be0c-4da0-b216-cdcaaead2845"
"C98704","http://www.cdisc.org","ADAPTIVE","Code","Code_143","2023-09-29","c3703285-df34-41b6-a0b5-18356c4e9d95"
"C82639","http://www.cdisc.org","Parallel Study","Code","Code_140","2023-09-29","dad3b502-ee31-4500-9777-de58898f155d"
"C25716","http://www.cdisc.org","Visit","Code","Code_82","2023-09-29","446640ce-79a3-4d1c-af36-a4fb4f754bd8"
"C51282","http://www.cdisc.org","Clinic","Code","Code_83","2023-09-29","1d469c9d-93cd-4d2f-8ce1-de98e164f243"
"C175574","http://www.cdisc.org","In Person","Code","Code_84","2023-09-29","60734011-9a0e-44f5-9762-e3d25dcc4681"
"C25716","http://www.cdisc.org","Visit","Code","Code_85","2023-09-29","a37e2ab3-10fc-4bf9-ac57-d77e4ca16080"
"C51282","http://www.cdisc.org","Clinic","Code","Code_86","2023-09-29","2fb3fd2a-d33a-4183-afda-c4aa8e703d96"
"C175574","http://www.cdisc.org","In Person","Code","Code_87","2023-09-29","166d0930-ca9f-434a-92f8-1f999057fffd"
"C25716","http://www.cdisc.org","Visit","Code","Code_88","2023-09-29","76030174-2dc0-49ed-8d9a-913c92eb0b88"
"C51282","http://www.cdisc.org","Clinic","Code","Code_89","2023-09-29","e31ce89d-4c72-4987-9ece-509091e96be3"
"C175574","http://www.cdisc.org","In Person","Code","Code_90","2023-09-29","7591ae31-dd24-4a26-8845-92a9833cfdd8"
"C25716","http://www.cdisc.org","Visit","Code","Code_91","2023-09-29","ae98b2b7-0b38-45f7-b482-599668cf6346"
"C51282","http://www.cdisc.org","Clinic","Code","Code_92","2023-09-29","67e17a5f-8f21-40f7-83e6-7d8e86a73f86"
"C175574","http://www.cdisc.org","In Person","Code","Code_93","2023-09-29","10e06f30-dab3-4012-ba54-d34459c32e83"
