"text","instanceType","id","sectionTitle","uuid:ID","sectionNumber","name"
"","NarrativeContent","NarrativeContent_1","Root","52b1b631-71c6-4b28-9d20-d5161732ba8b","0","ROOT"
"<div><usdm:section name=""M11-title-page""></div>","NarrativeContent","NarrativeContent_2","TITLE PAGE","9dab8685-dfa1-49ba-92cf-c39840b77656","0","SECTION 0"
"<div></div>","NarrativeContent","NarrativeContent_3","PROTOCOL SUMMARY","5461be0f-72ba-4434-9a32-863c74eef7d4","1","SECTION 1"
"<div></div>","NarrativeContent","NarrativeContent_4","Protocol Synopsis","4dab62b2-2bfe-4d52-91a4-f2802c24acf2","1.1","SECTION 1.1"
"<div></div>","NarrativeContent","NarrativeContent_5","Trial Schema","e6dafeb0-f80f-46d5-87a7-a2ffbedcdc92","1.2","SECTION 1.2"
"<div></div>","NarrativeContent","NarrativeContent_6","Schedule of Activities","2ade51c9-8332-4099-aa2c-53edb5b3d57c","1.3","SECTION 1.3"
"<div></div>","NarrativeContent","NarrativeContent_7","INTRODUCTION","d404b38b-8a80-4947-95a2-a36b5c88e32a","2","SECTION 2"
"<div></div>","NarrativeContent","NarrativeContent_8","Purpose of Trial","641044fb-da39-4862-bfde-8c7cc4158680","2.1","SECTION 2.1"
"<div></div>","NarrativeContent","NarrativeContent_9","Summary of Benefits and Risks","2374b76d-e8ad-4198-912e-a79a6833d7c8","2.2","SECTION 2.2"
"<div></div>","NarrativeContent","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","6817e5b2-abe7-4d11-9aa5-95b57d9603ed","3","SECTION 3"
"<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent","NarrativeContent_11","Primary Objectives","5d9bdebf-e2bb-477c-9115-cf5ca963d224","3.1","SECTION 3.1"
"<div></div>","NarrativeContent","NarrativeContent_12","TRIAL DESIGN","8885394b-2bda-4195-a773-2a1436a11209","4","SECTION 4"
"<div></div>","NarrativeContent","NarrativeContent_13","Description of Trial Design","e8d92791-6d81-41f3-8f9b-1897d5bb2318","4.1","SECTION 4.1"
"<div></div>","NarrativeContent","NarrativeContent_14","Participant Input into Design","dc5afcb1-faad-4647-b0e4-375e1c484988","4.1.1","SECTION 4.1.1"
"<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent","NarrativeContent_15","Rationale for Trial Design","d1173f6b-22bd-4d7a-8eac-38a0c772ef97","4.2","SECTION 4.2"
"<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent","NarrativeContent_16","Rationale for Comparator","09c4639f-5b6f-48be-9b76-bcb38543b6c2","4.2.1","SECTION 4.2.1"
"<div></div>","NarrativeContent","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","30e67473-d0d3-42d5-871e-336c163754cf","4.2.2","SECTION 4.2.2"
"<div></div>","NarrativeContent","NarrativeContent_18","Other Trial Design Considerations","eafb0d48-2ea7-4115-9cdf-08d74c3ee44e","4.2.3","SECTION 4.2.3"
"<div></div>","NarrativeContent","NarrativeContent_19","Access to Trial Intervention After End of Trial","c52de517-c0a2-48b1-b193-e0bde7c7295d","4.3","SECTION 4.3"
"<div></div>","NarrativeContent","NarrativeContent_20","Start of Trial and End of Trial","4ef26a89-c300-4f54-965a-906d28b5657f","4.4","SECTION 4.4"
"<div></div>","NarrativeContent","NarrativeContent_21","TRIAL POPULATION","cebac1ce-aab1-4e80-8d2c-9ea81e6e94d5","5","SECTION 5"
"<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent","NarrativeContent_22","Selection of Trial Population","56f313c7-3d71-4ee0-8a29-502f4386528e","5.1","SECTION 5.1"
"<div></div>","NarrativeContent","NarrativeContent_23","Rationale for Trial Population","9d1535ca-4bdb-4908-ab7f-4b6ac8194bfe","5.2","SECTION 5.2"
"<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent","NarrativeContent_24","Inclusion Criteria","ff176c2b-44f2-4f42-9b29-ca4648c46981","5.3","SECTION 5.3"
"<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent","NarrativeContent_25","Exclusion Criteria","7bdba62e-acd8-41c8-82a9-f0664dbfcfdf","5.4","SECTION 5.4"
"<div></div>","NarrativeContent","NarrativeContent_26","Lifestyle Considerations","c7609322-9382-445a-b5bb-f921e6c15c89","5.5","SECTION 5.5"
"<div></div>","NarrativeContent","NarrativeContent_27","Meals and Dietary Restrictions","64f57653-9b1a-4bab-91d0-c4455cf1f1e2","5.5.1","SECTION 5.5.1"
