"text","instanceType","id","uuid:ID","name"
"Subject identifier","TransitionRule","TransitionRule_1","cddc999b-91bd-458b-af6a-4b03dce1d59e","ENCOUNTER_START_RULE_1"
"completion of screening activities","TransitionRule","TransitionRule_2","5b7229ce-dd04-4834-9074-6794c4a3a2d1","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","TransitionRule_3","c7102164-5407-47db-b3cf-8cf0a165ba89","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","TransitionRule","TransitionRule_4","f18bc1c4-9352-43bf-a27d-765920c54685","ENCOUNTER_START_RULE_3"
"Radomized","TransitionRule","TransitionRule_5","bd775f5c-0b12-4204-b7b3-ca19d013970d","ENCOUNTER_START_RULE_3"
"End of treatment","TransitionRule","TransitionRule_6","9d5c4bcd-9ed4-49f5-9b0f-165c2aff0a62","ENCOUNTER_START_RULE_12"
"Informed consent","TransitionRule","TransitionRule_7","8cd91ec3-38d3-45f9-84c3-8e5712048359","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","TransitionRule_8","ab9695ac-69a2-435c-b188-540a78619432","ELEMENT_END_RULE_1"
"Administration of first dose","TransitionRule","TransitionRule_9","88d9d0e8-4045-4b43-97b6-eef1d53f0877","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","TransitionRule","TransitionRule_14","93c40787-e855-4db9-aab4-6c1ca7d1303c","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","TransitionRule_15","62b6c216-ceee-4314-9358-4382998d4ccf","ELEMENT_END_RULE_7"
"Administration of first dose","TransitionRule","TransitionRule_10","3e1999cd-fba4-45d8-bf8e-8146cafae904","ELEMENT_START_RULE_3"
"Randomized","TransitionRule","TransitionRule_11","8b0c824c-b0c4-42fd-b9b6-9716029f7c76","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule","TransitionRule_12","a9de540b-f724-41a9-aca1-56108e912480","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule","TransitionRule_13","7b3f7d79-5d35-49cc-ad84-ba8ec6d09d0e","ELEMENT_START_RULE_6"
