"label","instanceType","id","reference","uuid:ID","name","synonyms"
"Body Temperature","BiomedicalConcept","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","0cb7d1db-bd16-4715-a57b-d27253c1ef17","Body Temperature","['Temperature']"
"Body Weight","BiomedicalConcept","BiomedicalConcept_21","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","92e397cb-56cd-4e2a-9ee3-769277a55fc7","Body Weight","['Weight']"
"Body Height","BiomedicalConcept","BiomedicalConcept_22","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","7cc3bc76-d554-4f98-87d9-7f730fa664e7","Body Height","['Height']"
"Alanine Aminotransferase Measurement","BiomedicalConcept","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","6d0fb065-9aa7-4220-90fd-702660ea224d","Alanine Aminotransferase Measurement","['ALT', 'SGPT']"
"Albumin Measurement","BiomedicalConcept","BiomedicalConcept_24","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","db111bd0-37d7-4033-b5e6-82a8d6b14ae1","Albumin Measurement","['Albumin']"
"Alkaline Phosphatase Measurement","BiomedicalConcept","BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","47a29a90-8464-47f2-ba99-07d3e4c9a9af","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","f2a12e80-f82d-4d0f-856b-e09f8d4a822b","Aspartate Aminotransferase Measurement","['AST', 'SGOT']"
"Creatinine Measurement","BiomedicalConcept","BiomedicalConcept_27","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","d7bda455-e495-4a30-a7e0-1bc7dffac43c","Creatinine Measurement","['Creatinine']"
"Potassium Measurement","BiomedicalConcept","BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","eeea5186-1d5a-4ff2-938d-992bf5151a16","Potassium Measurement","['Potassium', 'K']"
"Sodium Measurement","BiomedicalConcept","BiomedicalConcept_29","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","c6b5c4b5-38af-4bad-8b29-c4f59fe1cfec","Sodium Measurement","['Sodium', 'NA']"
"Adverse Event","BiomedicalConcept","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","8faad1c6-a674-4ca7-b55e-96f863a52502","Adverse Event","['Adverse Event Reported Term', 'AETERM']"
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","279f2493-51bb-433d-8539-59a89e1710f7","Systolic Blood Pressure","['SYSBP']"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","fa0bf1b0-eb36-4af7-9bf1-bac084a24bef","Diastolic Blood Pressure","['DIABP']"
"Body Temperature","BiomedicalConcept","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","72133be9-269a-460d-9def-7228201fe2a1","Body Temperature","['Temperature']"
"Body Weight","BiomedicalConcept","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","0474af4d-f48a-4591-840a-481f3648b0e5","Body Weight","['Weight']"
"Body Height","BiomedicalConcept","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","2f9b309b-8281-409a-b61a-49abf53d411b","Body Height","['Height']"
"Alanine Aminotransferase Measurement","BiomedicalConcept","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","f6642fe7-8eaf-4bbe-a1f1-12461a8bd4e8","Alanine Aminotransferase Measurement","['ALT', 'SGPT']"
"Albumin Measurement","BiomedicalConcept","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","35f15343-ed77-42ce-a022-b877f83d7cac","Albumin Measurement","['Albumin']"
"Alkaline Phosphatase Measurement","BiomedicalConcept","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","37348389-c1f9-4645-8fa2-fa0e4a775b14","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","61a56dc5-c797-4162-a682-5e5d9e1ef482","Aspartate Aminotransferase Measurement","['AST', 'SGOT']"
"Creatinine Measurement","BiomedicalConcept","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","bac935fb-da23-4f03-b92a-ba7824778b98","Creatinine Measurement","['Creatinine']"
"Potassium Measurement","BiomedicalConcept","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","4a359028-1bcd-42b7-818d-df7a4760fa2a","Potassium Measurement","['Potassium', 'K']"
"Sodium Measurement","BiomedicalConcept","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","0daac38e-386e-4467-bb0f-773af8da3401","Sodium Measurement","['Sodium', 'NA']"
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","5202fd9c-4dd7-4488-9acb-75883fd75432","Systolic Blood Pressure","['SYSBP']"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","e47795da-0caa-4720-b3c2-7447f50e1804","Diastolic Blood Pressure","['DIABP']"
"Heart Rate","BiomedicalConcept","BiomedicalConcept_16","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","6c568afe-8f41-472e-878d-bd0fa6a192c1","Heart Rate",""
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","b3b8e967-f632-4011-b129-8f3e3cd0cd5e","Systolic Blood Pressure","['SYSBP']"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_18","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","254bfa46-2549-4d84-9360-679e04a82940","Diastolic Blood Pressure","['DIABP']"
"Heart Rate","BiomedicalConcept","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","e29f7c9d-4998-4b09-8726-0294cc85ed32","Heart Rate",""
