"label","instanceType","description","id","uuid:ID","name"
"Screening 1","Encounter","Screening encounter","Encounter_1","b7ef6b32-b736-4815-b270-d78628483818","E1"
"Screening 2","Encounter","Screening encounter - Ambulatory ECG Placement","Encounter_2","984729ff-b2a0-448a-a2c2-15df7fa25c08","E2"
"Baseline","Encounter","Baseline encounter - Ambulatory ECG Removal","Encounter_3","75c13e34-7532-4582-b863-e2325020cc27","E3"
"Week 2","Encounter","Day 14","Encounter_4","34a0e3ec-373c-4695-a452-7e7f7a285d8f","E4"
"Week 4","Encounter","Day 28","Encounter_5","22320044-4845-487b-8817-94f7937023d3","E5"
"Week 6","Encounter","Day 42","Encounter_6","31a4c72e-8c35-463a-acbb-dffd44d97c68","E7"
"Week 8","Encounter","Day 56","Encounter_7","bb1a8bf3-4602-48d1-92da-d976968b68e3","E8"
"Week 12","Encounter","Day 84","Encounter_8","50f64142-7926-4e18-9b3b-bcd3aac83ec1","E9"
"Week 16","Encounter","Day 112","Encounter_9","cb790471-133d-42bc-9125-f92cf03afca0","E10"
"Week 20","Encounter","Day 140","Encounter_10","f477f971-180f-483c-ab57-6ff73909c090","E11"
"Week 24","Encounter","Day 168","Encounter_11","f76dd198-14b6-4c30-acdc-e0daca801dca","E12"
"Week 26","Encounter","Day 182","Encounter_12","45ce59e5-5b6d-486c-9ab3-ea06dc1101d4","E13"
