"windowUpper","label","description","instanceType","id","window","windowLower","value","uuid:ID","name"
"","Screening","Screening timing","Timing","Timing_1","","","P2W","a3ab7399-6b01-49f9-94ac-2c73d0321a36","TIM1"
"PT0H","Pre dose","Pre dose timing","Timing","Timing_2","-4..0 hours","PT4H","P2D","94809443-754f-4041-990c-cf90f975b4e6","TIM2"
"","Dosing","Dosing anchor","Timing","Timing_3","","","P1D","480eeade-56f9-44dd-a627-ab78e4852133","TIM3"
"P3D","Week 2","Week 2 timing","Timing","Timing_4","-3..3 days","P3D","P2W","6a397d27-463d-475a-a0ab-30c5a09840e0","TIM4"
"P3D","Week 4","Week 4 timing","Timing","Timing_5","-3..3 days","P3D","P4W","285397b7-be85-4559-89b4-9280278e923f","TIM5"
"P3D","Week 6","Week 6 timing","Timing","Timing_6","-3..3 days","P3D","P6W","9fc3bd70-5007-4790-a8f4-e2ac0c2f104f","TIM6"
"P3D","Week 8","Week 8 timing","Timing","Timing_7","-3..3 days","P3D","P8W","03678b98-fa55-4b39-bc7d-5459094fd6af","TIM7"
"P4D","Week 12","Week 12 timing","Timing","Timing_9","-4..4 days","P4D","P12W","8f2c42b1-b232-4831-b3a3-cedaf983f174","TIM9"
"P4D","Week 16","Week 16 timing","Timing","Timing_11","-4..4 days","P4D","P16W","cc81e446-2b2d-47df-8510-a5c8dd2cc258","TIM11"
"P4D","Week 20","Week 20 timing","Timing","Timing_13","-4..4 days","P4D","P20W","06a00dbb-8258-42cf-a531-b292654ae618","TIM13"
"P4D","Week 24","Week 24 timing","Timing","Timing_15","-4..4 days","P4D","P24W","8bdf9b0e-fb64-456d-91bd-289b052b910d","TIM15"
"P3D","Week 26","Week 26 timing","Timing","Timing_16","-3..3 days","P3D","P26W","8459b700-ffa2-4d5e-aa34-85ae6a4eff10","TIM16"
"","Week 8 Home","Week 8 at home timing","Timing","Timing_8","","","P2W","b2713935-7670-4be3-9086-f76fd0a70ffa","TIM8"
"","Week 12 Home","Week 12 at home timing","Timing","Timing_10","","","P2W","12c5cf8d-0bb4-4b21-940f-8ed36b81b07e","TIM10"
"","Week 16 Home","Week 16 at home timing","Timing","Timing_12","","","P2W","67ea66d8-a4e1-4c05-9b47-152be80fe6f1","TIM12"
"","Week 20 Home","Week 20 at home timing","Timing","Timing_14","","","P2W","44ea6c24-b63a-44d1-8aac-3316b3f56cff","TIM14"
"","Adverse Event","Adverse Event","Timing","Timing_17","","","P1D","6485f9a2-8ae3-43ae-a0f1-ebaae297f67b","TIM17"
"","Early Termination","Early Termination","Timing","Timing_18","","","P1D","d2d70e62-1f42-4ff0-ac66-2abc9d217e4b","TIM18"
"","Supine","Supine","Timing","Timing_19","","","PT0M","b19d2db9-23d1-4c06-8ea4-77acbe7d9a44","TIM19"
"","VS while supine","VS while supine","Timing","Timing_20","","","PT5M","40e1a10d-870a-433c-869c-22ef7180b967","TIM20"
"","Standing","Standing","Timing","Timing_21","","","PT0M","60eb3159-1044-44fa-bcd3-b69fc4198693","TIM21"
"","VS while standing","VS while standing","Timing","Timing_22","","","PT1M","6c5bab6b-42d5-434f-959b-2cda9a2d14d1","TIM22"
"","Standing","Standing","Timing","Timing_23","","","PT0M","7c359e4e-1cb0-44e6-afad-3c74aa33411c","TIM23"
"","VS while standing","VS while standing","Timing","Timing_24","","","PT2M","c9be06b4-b8fb-40c5-bfa2-19e86b38b445","TIM24"
