"uuid:ID","sectionNumber","name","id","instanceType","text","sectionTitle"
"dc0033e1-c26c-452b-9e58-23edf0636f34","0","ROOT","NarrativeContent_1","NarrativeContent","","Root"
"b38e9afd-775c-47b8-a159-aee4ed4999f4","0","SECTION 0","NarrativeContent_2","NarrativeContent","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE"
"f2325161-031b-418e-9b11-e46dc818d600","1","SECTION 1","NarrativeContent_3","NarrativeContent","<div></div>","PROTOCOL SUMMARY"
"5510df37-dfcf-4c3b-805f-442cc59f9e0b","1.1","SECTION 1.1","NarrativeContent_4","NarrativeContent","<div></div>","Protocol Synopsis"
"a8232931-05ad-4f37-98a8-128fc367b00b","1.2","SECTION 1.2","NarrativeContent_5","NarrativeContent","<div></div>","Trial Schema"
"6f121522-19fd-4155-8e0e-d3df6a53b3ba","1.3","SECTION 1.3","NarrativeContent_6","NarrativeContent","<div></div>","Schedule of Activities"
"eea91499-6398-49c8-898e-6c67d5dfd1d8","2","SECTION 2","NarrativeContent_7","NarrativeContent","<div></div>","INTRODUCTION"
"3a4ad88a-322b-4cb0-90e3-fd90941356e1","2.1","SECTION 2.1","NarrativeContent_8","NarrativeContent","<div></div>","Purpose of Trial"
"e4e8cf3a-4fea-45e5-a051-c68c9c326316","2.2","SECTION 2.2","NarrativeContent_9","NarrativeContent","<div></div>","Summary of Benefits and Risks"
"a476860a-c502-49f5-aec0-3d40ef2b916a","3","SECTION 3","NarrativeContent_10","NarrativeContent","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"c98cc7a2-2dd3-4af8-9c18-6d4c11a32b1c","3.1","SECTION 3.1","NarrativeContent_11","NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives"
"c9af23ce-b4db-4ccb-a97d-7bc2829a43f5","4","SECTION 4","NarrativeContent_12","NarrativeContent","<div></div>","TRIAL DESIGN"
"65786283-2b13-4004-9dd1-2524d652f208","4.1","SECTION 4.1","NarrativeContent_13","NarrativeContent","<div></div>","Description of Trial Design"
"4e4277bd-18cb-45ef-80a0-89fc8f5ce88f","4.1.1","SECTION 4.1.1","NarrativeContent_14","NarrativeContent","<div></div>","Participant Input into Design"
