"uuid:ID","description","name","id","instanceType","label"
"4f279e4c-1b26-4121-a201-43336070e837","Screening encounter","E1","Encounter_1","Encounter","Screening 1"
"9e62edc0-2921-4e0d-9f61-83291337b57a","Screening encounter - Ambulatory ECG Placement","E2","Encounter_2","Encounter","Screening 2"
"56fa7dde-97b3-444e-855d-741376f55bc1","Baseline encounter - Ambulatory ECG Removal","E3","Encounter_3","Encounter","Baseline"
"1f0ea472-349a-47b3-9634-d9d1e630a073","Day 14","E4","Encounter_4","Encounter","Week 2"
"f17948d4-f3b3-4f0f-8ef6-ca2d1d9261eb","Day 28","E5","Encounter_5","Encounter","Week 4"
"cc255e37-f948-493e-bdba-59b851bd70a1","Day 42","E7","Encounter_6","Encounter","Week 6"
"6605e616-a3c5-4881-bf39-25d978283a19","Day 56","E8","Encounter_7","Encounter","Week 8"
"8f9d121b-c213-4059-a598-a4e18c1c104f","Day 84","E9","Encounter_8","Encounter","Week 12"
"ad79b958-0b75-48d2-90e1-629878e991cb","Day 112","E10","Encounter_9","Encounter","Week 16"
"6c8369b9-da1e-46c5-82cc-0d28403601f6","Day 140","E11","Encounter_10","Encounter","Week 20"
"40f6a116-e093-4fbb-8b3f-e3bf65209493","Day 168","E12","Encounter_11","Encounter","Week 24"
"c5323eda-5e4d-4eb8-b332-4a9d6d8eb626","Day 182","E13","Encounter_12","Encounter","Week 26"
