"uuid:ID","name","id","instanceType","text"
"55c6896f-f360-4bfa-bd70-343773b16dc6","ENCOUNTER_START_RULE_1","TransitionRule_1","TransitionRule","Subject identifier"
"3056a69c-5494-4808-bc5d-336f71359f2a","ENCOUNTER_START_RULE_1","TransitionRule_2","TransitionRule","completion of screening activities"
"eee0ee57-9545-440b-8c19-55bf3d9cdd84","ENCOUNTER_START_RULE_2","TransitionRule_3","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"6d9f6afb-f788-43d2-8a19-c4b79022f290","ENCOUNTER_START_RULE_3","TransitionRule_4","TransitionRule","subject has connection of ambulatory ECG machine removed"
"935db0f8-1b8d-48a5-a634-2876db719166","ENCOUNTER_START_RULE_3","TransitionRule_5","TransitionRule","Radomized"
"cd1f3de5-31bb-4e7b-b1cc-e0cdee69b6b9","ENCOUNTER_START_RULE_12","TransitionRule_6","TransitionRule","End of treatment"
"6f74828e-c9c5-443c-95a9-c511311d56ab","ELEMENT_START_RULE_1","TransitionRule_7","TransitionRule","Informed consent"
"05cd5ff8-235d-46b5-bf92-2e827f802887","ELEMENT_END_RULE_1","TransitionRule_8","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"1b1ffb0b-1898-425a-ac05-3b8c2e4d9900","ELEMENT_START_RULE_2","TransitionRule_9","TransitionRule","Administration of first dose"
"d970aaea-15db-4952-90a0-283301d7e63d","ELEMENT_START_RULE_7","TransitionRule_14","TransitionRule","End of last scheduled visit on study (including early termination)"
"3282fe30-0568-4826-82ab-4ca35bf2edd3","ELEMENT_END_RULE_7","TransitionRule_15","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"906c219b-a4aa-4a83-9a8c-b135b32570be","ELEMENT_START_RULE_3","TransitionRule_10","TransitionRule","Administration of first dose"
"1f7de413-f1aa-4ce2-aa3e-1d03b81d7327","ELEMENT_START_RULE_4","TransitionRule_11","TransitionRule","Randomized"
"98808d1b-ffcc-4b33-ab61-67e933a1a3ec","ELEMENT_START_RULE_5","TransitionRule_12","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"0288c15a-d762-4a4c-a13a-56f03d56c53b","ELEMENT_START_RULE_6","TransitionRule_13","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
