"windowUpper","value","uuid:ID","description","name","windowLower","id","window","label","instanceType"
"","P2W","ae44c803-3570-462e-be77-8fefdf455d85","Screening timing","TIM1","","Timing_1","","Screening","Timing"
"PT0H","P2D","7bf35d99-08c2-4b4b-b36f-76ff22976a95","Pre dose timing","TIM2","PT4H","Timing_2","-4..0 hours","Pre dose","Timing"
"","P1D","8ad6f80d-ec04-4b65-864f-8e565f8b9f37","Dosing anchor","TIM3","","Timing_3","","Dosing","Timing"
"P3D","P2W","13427e2c-b3f1-4847-b063-b5c3a07d4f17","Week 2 timing","TIM4","P3D","Timing_4","-3..3 days","Week 2","Timing"
"P3D","P4W","8492180f-8452-4106-835b-67c8518d5c98","Week 4 timing","TIM5","P3D","Timing_5","-3..3 days","Week 4","Timing"
"P3D","P6W","69881b57-3985-402c-acd3-a99d4585b954","Week 6 timing","TIM6","P3D","Timing_6","-3..3 days","Week 6","Timing"
"P3D","P8W","1a3e7736-6033-4a48-a87f-8fb8aca38b9d","Week 8 timing","TIM7","P3D","Timing_7","-3..3 days","Week 8","Timing"
"P4D","P12W","d879afa9-70ad-4c1a-bd29-43e2cbe36597","Week 12 timing","TIM9","P4D","Timing_9","-4..4 days","Week 12","Timing"
"P4D","P16W","4f4736d1-1870-4fc7-9c30-5bfea1318979","Week 16 timing","TIM11","P4D","Timing_11","-4..4 days","Week 16","Timing"
"P4D","P20W","ea847d70-bfe6-40fa-bc19-56481db4de14","Week 20 timing","TIM13","P4D","Timing_13","-4..4 days","Week 20","Timing"
"P4D","P24W","a130919c-22c2-4a9a-acd4-4511d8d66bba","Week 24 timing","TIM15","P4D","Timing_15","-4..4 days","Week 24","Timing"
"P3D","P26W","442e6bb6-d5e9-4475-879e-a2553f9aaa52","Week 26 timing","TIM16","P3D","Timing_16","-3..3 days","Week 26","Timing"
"","P2W","071aa6db-f549-4073-97af-c968d4149fae","Week 8 at home timing","TIM8","","Timing_8","","Week 8 Home","Timing"
"","P2W","3d7ca468-5b8e-4495-8e8a-3316394fa769","Week 12 at home timing","TIM10","","Timing_10","","Week 12 Home","Timing"
"","P2W","76a7927a-c43e-493a-b716-34f0d293e254","Week 16 at home timing","TIM12","","Timing_12","","Week 16 Home","Timing"
"","P2W","8b6116c1-24c9-498a-be8e-000c6a8570dd","Week 20 at home timing","TIM14","","Timing_14","","Week 20 Home","Timing"
"","P1D","9d698aae-e73f-46d8-8ee7-d378e8f504f2","Adverse Event","TIM17","","Timing_17","","Adverse Event","Timing"
"","P1D","735c0828-9b4a-4bb6-9cb8-66a446705c6c","Early Termination","TIM18","","Timing_18","","Early Termination","Timing"
"","PT0M","1ef286bb-8510-4d7e-8ff9-85fea2fec191","Supine","TIM19","","Timing_19","","Supine","Timing"
"","PT5M","451147f4-4a10-459d-912c-8351c3f57018","VS while supine","TIM20","","Timing_20","","VS while supine","Timing"
"","PT0M","0755ba21-5d2b-45e6-8f57-7542e3115829","Standing","TIM21","","Timing_21","","Standing","Timing"
"","PT1M","09c4facb-9326-4322-926f-5de27234a9f2","VS while standing","TIM22","","Timing_22","","VS while standing","Timing"
"","PT0M","dfbce0d3-caf3-4915-88ef-600491d0398c","Standing","TIM23","","Timing_23","","Standing","Timing"
"","PT2M","94b7873c-500d-4ee8-b841-c90d6d9f9f2f","VS while standing","TIM24","","Timing_24","","VS while standing","Timing"
