"label","id","description","uuid:ID","name","text"
"","TransitionRule_1","","762d26b3-e4ff-481c-937a-dca6f92b830c","ENCOUNTER_START_RULE_1","Subject identified"
"","TransitionRule_2","","3a537c2d-ca5e-4891-8289-e48c757c3bcf","ENCOUNTER_START_RULE_1","IEs passed"
"","TransitionRule_3","","12cbfb1c-bedd-4956-b8e7-7a1050de0f40","ENCOUNTER_START_RULE_3","Radomized"
"","TransitionRule_4","","174dacd0-4b5c-415e-96b0-4278cc34e431","ELEMENT_START_RULE_1","Study Start"
"","TransitionRule_5","","c194f817-f241-42ed-8e72-00b3bf88568a","ELEMENT_END_RULE_1","Screened"
"","TransitionRule_6","","d8776e72-99e0-4f09-af9d-2c98c3532b89","ELEMENT_START_RULE_2","Screened"
"","TransitionRule_7","","483694ca-4c12-4f76-bf1f-d5ef02cd5f3f","ELEMENT_END_RULE_2","Radomized"
"","TransitionRule_8","","b635474c-178b-4beb-8c84-6840342a6aec","ELEMENT_START_RULE_3","Radomized"
"","TransitionRule_9","","a9bafb83-c4b4-4d97-b148-c91f098becf5","ELEMENT_END_RULE_3","Completed treatment 1"
"","TransitionRule_12","","f7330d98-c375-4ab6-b62a-d2c3e88b1ac4","ELEMENT_START_RULE_5","Radomized"
"","TransitionRule_13","","825c4008-12c5-47f9-9e61-b4751b1205cc","ELEMENT_END_RULE_5","Completed treatment 2"
"","TransitionRule_10","","1ee62140-df67-4abb-b435-590b40952e64","ELEMENT_START_RULE_4","Treated"
"","TransitionRule_11","","7642fc5d-994a-4309-9996-0febfdae5e3a","ELEMENT_END_RULE_4","Leave Study"
