"label","id","description","purpose","uuid:ID","name","instanceType","text"
"","Endpoint_1","","","0b24486d-3012-49b5-acc3-ac2f3c6f2dce","END1","ENDPOINT","Clinical status assessed using a 7-category ordinal scale at Day 28"
"","Endpoint_2","","","7f8eefc3-5928-4f35-970e-04bcd40ce60e","END2","ENDPOINT","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours"
"","Endpoint_3","","","1a3164a1-a278-41f0-950e-0b4b6fee1521","END3","ENDPOINT","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status"
"","Endpoint_4","","","c9d48213-76cf-4170-95c3-eac5cdea9b23","END4","ENDPOINT","Incidence of mechanical ventilation"
"","Endpoint_5","","","a73cdefb-e6dd-4725-8ddd-65aae6dd710a","END5","ENDPOINT","Ventilator-free days to Day 28"
"","Endpoint_6","","","123985b1-58d6-4c61-a6fe-c4d287abb660","END6","ENDPOINT","Incidence of intensive care unit (ICU) stay"
"","Endpoint_7","","","36875f78-339d-4461-8182-b498e3dd57da","END7","ENDPOINT","Duration of ICU stay"
"","Endpoint_8","","","01820f46-91de-497d-b3e2-6a056499d7d7","END8","ENDPOINT","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death."
"","Endpoint_9","","","49a54372-5830-49d2-bf80-574342f1d212","END9","ENDPOINT","Mortality rate at Days 7, 14, 21, 28, and 60"
"","Endpoint_10","","","5b1a2eec-4784-4728-a6a5-71db781857d7","END10","ENDPOINT","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)"
"","Endpoint_11","","","f3ec819f-9a4d-4c73-82f8-1c74f223f5c6","END11","ENDPOINT","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen"
"","Endpoint_12","","","489f3511-8a1a-44c5-9b01-7916d479a7f4","END12","ENDPOINT","Duration of supplemental oxygen"
