"sectionTitle","id","uuid:ID","name","sectionNumber","text"
"Root","NarrativeContent_1","59f2f7c0-e15c-4e5d-975b-e126fe31e66e","ROOT","0",""
"PROTOCOL SUMMARY","NarrativeContent_2","65bad497-beb3-41b3-bbc8-ca9c36de2890","SECTION 1","1","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>"
"Protocol Synopsis","NarrativeContent_3","a25b8c89-a665-4048-9e32-832b6d06c3a4","SECTION 1.1","1.1","<div></div>"
"Trial Schema","NarrativeContent_4","cf5b7aac-866b-47ea-a845-a15c3ecc03e5","SECTION 1.2","1.2","<div></div>"
"Schedule of Activities","NarrativeContent_5","d403341e-5687-4081-aafc-9af5ea5b1e0f","SECTION 1.3","1.3","<div></div>"
"INTRODUCTION","NarrativeContent_6","bd6a320e-ed54-44d3-8c5a-2cccf8eafeae","SECTION 2","2","<div></div>"
"Purpose of Trial","NarrativeContent_7","5b464ac5-e7d4-420d-85b2-21f1bd525c02","SECTION 2.1","2.1","<div></div>"
"Summary of Benefits and Risks","NarrativeContent_8","2d24c657-3bf9-40a0-a789-b20a41101856","SECTION 2.2","2.2","<div></div>"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_9","d3a42858-75f6-4ddc-adb9-dbba5f8ee9a8","SECTION 3","3","<div></div>"
"Primary Objectives","NarrativeContent_10","b0104a2b-cf24-4d49-8f82-ab2d09d66305","SECTION 3.1","3.1","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>"
"TRIAL DESIGN","NarrativeContent_11","a4e433bd-c602-40c3-a61a-6ef26b7456d2","SECTION 4","4","<div></div>"
"Description of Trial Design","NarrativeContent_12","79b1b752-9ddd-47fc-8ea2-4d2bea3497fb","SECTION 4.1","4.1","<div></div>"
"Participant Input into Design","NarrativeContent_13","7fec3ed8-14a6-4d9c-a2ce-388f9b69748b","SECTION 4.1.1","4.1.1","<div></div>"
"Rationale for Trial Design","NarrativeContent_14","c19dd889-b936-4bc6-be52-379b230e1a29","SECTION 4.2","4.2","<div></div>"
"Rationale for Comparator","NarrativeContent_15","24a5a148-01f7-4368-ba1e-ab4c8ded34c2","SECTION 4.2.1","4.2.1","<div></div>"
"Rationale for Adaptive or Novel Trial Design","NarrativeContent_16","93c85a22-649f-4890-82e3-e59870ed98a6","SECTION 4.2.2","4.2.2","<div></div>"
"Other Trial Design Considerations","NarrativeContent_17","3321fb84-39bf-475e-b15b-f91621b7e26d","SECTION 4.2.3","4.2.3","<div></div>"
"Access to Trial Intervention After End of Trial","NarrativeContent_18","5e9f272d-039d-4f3f-b2e9-adc377c9b13d","SECTION 4.3","4.3","<div></div>"
"Start of Trial and End of Trial","NarrativeContent_19","2a6892b8-b244-4af8-94b4-7b6cac62443c","SECTION 4.4","4.4","<div></div>"
"TRIAL POPULATION","NarrativeContent_20","c05bdb56-08e8-4df6-8a29-14e31f67bb82","SECTION 5","5","<div></div>"
"Selection of Trial Population","NarrativeContent_21","a0942b1f-e1f4-44ca-a73a-0c34957a50f6","SECTION 5.1","5.1","<div></div>"
"Rationale for Trial Population","NarrativeContent_22","c8bf1b12-164b-4ba9-816f-256d22aedb9b","SECTION 5.2","5.2","<div></div>"
"Inclusion Criteria","NarrativeContent_23","4564cff8-117b-4d50-b394-676e80fcd2e2","SECTION 5.3","5.3","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>"
"Exclusion Criteria","NarrativeContent_24","f981c884-5f20-437a-9715-f23540812a7c","SECTION 5.4","5.4","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>"
"Lifestyle Considerations","NarrativeContent_25","8e4a0db7-9812-4142-8716-10d3a221eba7","SECTION 5.5","5.5","<div></div>"
"Meals and Dietary Restrictions","NarrativeContent_26","f83056c7-2ad6-4afa-9181-0909dc9b74bc","SECTION 5.5.1","5.5.1","<div></div>"
"Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_27","c7394d00-a4d5-4cce-accd-a28b46dd683b","SECTION 5.5.2","5.5.2","<div></div>"
"Physical Activity","NarrativeContent_28","581271c5-3fff-4e9d-aa9a-dc018304c993","SECTION 5.5.3","5.5.3","<div></div>"
"Other Activity","NarrativeContent_29","4448ec56-1b82-4d04-8ac2-6463cdd09073","SECTION 5.5.4","5.5.4","<div></div>"
"Screen Failures","NarrativeContent_30","e9a32407-a4b2-473c-9624-7bef8e8b046d","SECTION 5.6","5.6","<div></div>"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_31","019fd404-c684-46c4-9ccc-a83bbb4bd372","SECTION 6","6","<div></div>"
"Description of Trial Intervention","NarrativeContent_32","fbd50ac4-061d-41f0-8e7a-2be9bc349a05","SECTION 6.1","6.1","<div></div>"
"Rationale for Trial Intervention","NarrativeContent_33","23fda0e2-4e0d-4373-9967-968965d9e09f","SECTION 6.2","6.2","<div></div>"
"Dosing and Administration","NarrativeContent_34","00d9b40f-01f6-4343-9975-c5af2b0cb350","SECTION 6.3","6.3","<div></div>"
"Trial Intervention Dose Modification","NarrativeContent_35","f764799c-3305-4b6f-9e1f-40fbfcf0b83a","SECTION 6.3.1","6.3.1","<div></div>"
"Treatment of Overdose","NarrativeContent_36","379496b9-ecd6-4bf7-a50f-838fb85c9a97","SECTION 6.4","6.4","<div></div>"
"Preparation, Handling, Storage and Accountability","NarrativeContent_37","1678fa9b-d021-4d5b-b4a3-4306902a69ba","SECTION 6.5","6.5","<div></div>"
"Preparation of Trial Intervention","NarrativeContent_38","de665279-5cab-4beb-9d41-a38e94d62093","SECTION 6.5.1","6.5.1","<div></div>"
"Handling and Storage of Trial Intervention","NarrativeContent_39","81f72a0c-9b5b-4af1-a19c-8841e460e5be","SECTION 6.5.2","6.5.2","<div></div>"
"Accountability of Trial Intervention","NarrativeContent_40","e09872ab-6a0d-49a0-89cc-caf22c978efc","SECTION 6.5.3","6.5.3","<div></div>"
"Participant Assignment, Randomisation and Blinding","NarrativeContent_41","e633d30d-1cc6-4397-b946-893a21ae56e8","SECTION 6.6","6.6","<div></div>"
"Participant Assignment","NarrativeContent_42","d2f72500-ccdc-4f56-91b0-07015ab8665f","SECTION 6.6.1","6.6.1","<div></div>"
"Randomisation","NarrativeContent_43","935a342f-985f-4611-b7ea-edc4efe8d12c","SECTION 6.6.2","6.6.2","<div></div>"
"Blinding and Unblinding","NarrativeContent_44","3d82071b-455d-47f1-879d-f325c745f312","SECTION 6.6.3","6.6.3","<div><p>Blinding and unblinding text here please</p></div>"
"Trial Intervention Compliance","NarrativeContent_45","85b973a2-2b54-4a3c-9afb-72c412f14aac","SECTION 6.7","6.7","<div></div>"
"Concomitant Therapy","NarrativeContent_46","3042ab1b-2601-4869-a3f4-5141054194a9","SECTION 6.8","6.8","<div></div>"
"Prohibited Concomitant Therapy","NarrativeContent_47","abccb52a-f387-42eb-a245-caf03679a287","SECTION 6.8.1","6.8.1","<div></div>"
"Permitted Concomitant Therapy","NarrativeContent_48","b65092f0-34cf-463b-822b-aa4ff2eae138","SECTION 6.8.2","6.8.2","<div></div>"
"Rescue Therapy","NarrativeContent_49","48cbca6b-49db-40d2-9d66-6c713aeee5c9","SECTION 6.8.3","6.8.3","<div></div>"
"Other Therapy","NarrativeContent_50","5c7cc98e-6127-4be3-ba2d-aab55f4573b7","SECTION 6.8.4","6.8.4","<div></div>"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_51","0963954b-a610-45fb-9036-48efc8a99823","SECTION 7","7","<div></div>"
"Discontinuation of Trial Intervention","NarrativeContent_52","3b218b5d-8df4-44e7-a41c-db7fa321ac5c","SECTION 7.1","7.1","<div></div>"
"Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_53","377d5749-6322-4cff-b81d-f9badf745850","SECTION 7.1.1","7.1.1","<div></div>"
