"id","uuid:ID","code","decode","codeSystemVersion","codeSystem"
"Code_1","fe85658c-90c8-45b9-83a7-c778c17fe2c0","C98388","Interventional Study","2023-09-29","http://www.cdisc.org"
"Code_2","d4ad9b89-1b96-402d-8919-f50290ce300b","C15602","Phase III Trial","2023-09-29","http://www.cdisc.org"
"Code_6","0e8bf28a-853a-442a-adcc-bbbed58b3930","C132352","Sponsor Approval Date","2023-09-29","http://www.cdisc.org"
"Code_7","7e5c4af5-5e2f-48f3-a40f-880ef4ed3ab7","C68846","Global","2023-09-29","http://www.cdisc.org"
"Code_3","e9a15ad7-efa2-4565-92c6-7efa7d555379","VAC","Vacines Group","12","SPONSOR"
"Code_4","9030eba9-b7d5-4317-aa7c-488a7311e0c0","REG","Regulatory","12","SPONSOR"
"Code_10","015e2941-a93f-468a-87b1-b4b481b49ff9","C93453","Study Registry","2023-09-29","http://www.cdisc.org"
"Code_11","7327566e-9aba-4f7e-8c3c-6884ef9e78ba","GBR","United Kingdom of Great Britain and Northern Ireland","2020-08","ISO 3166 1 alpha3"
"Code_12","883f45a2-b3b1-443b-8d04-5b10dab62c79","C70793","Clinical Study Sponsor","2023-09-29","http://www.cdisc.org"
"Code_13","7476878b-c419-45b3-9ef2-8ebf0907b610","FRA","France","2020-08","ISO 3166 1 alpha3"
"Code_42","e1f146ba-238a-428b-b8fa-e68ce04c8d0f","C15714","Basic Research","2023-09-29","http://www.cdisc.org"
"Code_43","03986ffa-96e3-4d8a-9a21-ec1bc5bf34b4","C139174","Device Feasibility Study","2023-09-29","http://www.cdisc.org"
"Code_44","49ae6123-bec9-4143-b349-18e3a94bf4df","C49666","Efficacy Study","2023-09-29","http://www.cdisc.org"
"Code_39","e12d2ce7-8f28-4a14-a731-df467aa0aa58","T2_DIABETES","Type 2 diabetes","12","SPONSOR"
"Code_40","d0329884-25e3-4978-b7c9-d174720f42fc","73211009","Diabetes mellitus (disorder)","January 31, 2018","SNOMED"
"Code_45","9e0a42a5-b962-4a6b-9cf0-1bff942f5258","C82639","Parallel Study","2023-09-29","http://www.cdisc.org"
"Code_16","a04784b8-3f9f-4351-9110-408c170758e6","C25716","Visit","2023-09-29","http://www.cdisc.org"
"Code_17","75b346b4-1972-422e-b8b0-8fba2e35adfe","C51282","Clinic","2023-09-29","http://www.cdisc.org"
"Code_18","a8299fd9-9c1f-4552-a0d0-95c57ce60796","C175574","In Person","2023-09-29","http://www.cdisc.org"
"Code_19","d4f63aee-24e8-4506-9000-0f3e95ce6fc2","C25716","Visit","2023-09-29","http://www.cdisc.org"
"Code_20","3bf9219d-80dd-40c4-bde7-091c51f30281","C51282","Clinic","2023-09-29","http://www.cdisc.org"
"Code_21","a583982c-158f-4b76-801f-77faf0bf497f","C175574","In Person","2023-09-29","http://www.cdisc.org"
"Code_22","3b8104f0-0e10-4f03-83c8-bfb788d14c12","C25716","Visit","2023-09-29","http://www.cdisc.org"
"Code_23","de8014cb-ac60-44af-8f2f-31ce589eb308","C51282","Clinic","2023-09-29","http://www.cdisc.org"
"Code_24","7b3337df-f5f3-4cd4-b641-6adfcc7ba5f6","C175574","In Person","2023-09-29","http://www.cdisc.org"
"Code_25","4f1e64b3-0201-45c8-865c-5d940c978ec3","C25716","Visit","2023-09-29","http://www.cdisc.org"
"Code_26","89eeaf64-7da0-4a35-8bd5-a9dcaea9614a","C51282","Clinic","2023-09-29","http://www.cdisc.org"
"Code_27","91798fb7-893c-4dab-9e79-afe488ae3854","C175574","In Person","2023-09-29","http://www.cdisc.org"
"Code_28","6caad1a6-cd88-4735-b6fe-7419f03c6cb9","C25716","Visit","2023-09-29","http://www.cdisc.org"
"Code_29","67122cc2-46ef-49fa-8dd5-da01b64e84d6","C18002","Home","2023-09-29","http://www.cdisc.org"
"Code_30","15262bdd-7cf2-4791-a102-b7647a8c49bc","C171537","Telephone Call","2023-09-29","http://www.cdisc.org"
"Code_72","5f0628bf-d3ab-49b0-99f2-864497aef315","C20197","Male","2023-09-29","http://www.cdisc.org"
