"uuid:ID","description","name","instanceType","id","label"
"68c188b5-99a7-4453-a014-90f4c0766206","-","SCREEN1","ScheduledActivityInstance","ScheduledActivityInstance_9","Screen One"
"dbd47b26-46d3-45a8-ac9a-3616acaeae25","-","SCREEN2","ScheduledActivityInstance","ScheduledActivityInstance_10","Screen Two"
"b5b95116-ae54-4135-81a0-658bff1f864c","-","DOSE","ScheduledActivityInstance","ScheduledActivityInstance_11","Dose"
"121347a4-4ec5-4b96-b84e-9f9f70111af9","-","WK2","ScheduledActivityInstance","ScheduledActivityInstance_12","Week 2"
"dde9c0c0-af0e-4044-97e2-7ee403003e08","-","WK4","ScheduledActivityInstance","ScheduledActivityInstance_13","Week 4"
"1998dde4-36b0-40d2-884c-37e383081ec4","-","WK6","ScheduledActivityInstance","ScheduledActivityInstance_14","Week 6"
"7af48486-173b-4c90-9801-7aeda493f982","-","WK8","ScheduledActivityInstance","ScheduledActivityInstance_15","Week 8"
"70912b25-bf23-4f98-9433-a47a616049ff","-","WK8N","ScheduledActivityInstance","ScheduledActivityInstance_16","Week NPI"
"c5be5cc0-c039-4b01-92f9-e9f84668d5fe","-","WK12","ScheduledActivityInstance","ScheduledActivityInstance_17","Week 12"
"b29c1fdf-c8cc-4e15-a3ee-afbcc8bd9edf","-","WK12N","ScheduledActivityInstance","ScheduledActivityInstance_18","Week 12 NPI"
"4134a94e-b25f-4d28-ae66-f7316dc32d28","-","WK16","ScheduledActivityInstance","ScheduledActivityInstance_19","Week 16"
"2985c5a8-b5a0-4095-a8f4-4f9bf3fd1125","-","WK16N","ScheduledActivityInstance","ScheduledActivityInstance_20","Week 16 NPI"
"60358807-7a58-4d43-ac2d-d2b2897c7a1e","-","WK20","ScheduledActivityInstance","ScheduledActivityInstance_21","Week 20"
"8a0cc473-62e0-4b2b-ade7-70d4965cf1d5","-","WK20N","ScheduledActivityInstance","ScheduledActivityInstance_22","Week 20 NPI"
"59a0ebde-dabf-43fe-a9d7-7888607ccc32","-","WK24","ScheduledActivityInstance","ScheduledActivityInstance_23","Week 24"
"88d3a6c4-0737-4b08-b992-8c6d21cf195e","-","WK26","ScheduledActivityInstance","ScheduledActivityInstance_24","Week 26"
"a4349e5f-15e6-4b03-a702-cefe8311eb07","-","AE","ScheduledActivityInstance","ScheduledActivityInstance_1","Adevers Event"
"1351064c-6e5e-4e6c-8cee-36536c591999","-","ET","ScheduledActivityInstance","ScheduledActivityInstance_2","Early Termination"
"cc3efd3f-bcc2-4ad5-8045-b4717edfb28c","","VS_5MIN","ScheduledActivityInstance","ScheduledActivityInstance_3","5 minute supine"
"7a79a3c1-6d54-46dc-891d-0705cef4a521","","VS_SUPINE","ScheduledActivityInstance","ScheduledActivityInstance_4","Vital signs supine"
"0b0ebce5-73e4-4728-bd8e-c617d2e7b4be","","VS_1MIN","ScheduledActivityInstance","ScheduledActivityInstance_5","1 minute standing"
"7e73cded-3b54-4e65-a974-50aac0252ad6","","VS_STAND1","ScheduledActivityInstance","ScheduledActivityInstance_6","Vital signs after 1 min standing"
"8caa1135-5764-4ba9-8c4a-9fa2baaad19c","","VS_2MIN","ScheduledActivityInstance","ScheduledActivityInstance_7","2 minute standing"
"c612a196-24e5-4877-9339-05b3fe567b77","","VS_STAND3","ScheduledActivityInstance","ScheduledActivityInstance_8","Vital signs after 3 min standing"
