"reference","uuid:ID","name","instanceType","id","label","synonyms"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","b8408c79-b2fb-4c12-b921-83b003a89134","Informed Consent Obtained","BiomedicalConcept","BiomedicalConcept_20","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","c8d7d4f9-91bc-4c40-9dad-750da81f4b05","Sex","BiomedicalConcept","BiomedicalConcept_21","Sex",""
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","6690835e-9607-4b35-b3c0-a175354eec06","Race","BiomedicalConcept","BiomedicalConcept_22","Race","['Racial Group']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","d6f18ebd-4ac9-43f1-a244-68988a9d9f86","Temperature","BiomedicalConcept","BiomedicalConcept_23","Temperature","['Temperature', 'Body Temperature']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","223e3bb6-a23c-4c31-9951-3419df4765df","Weight","BiomedicalConcept","BiomedicalConcept_24","Weight","['Weight', 'Body Weight']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","91060021-5a0a-40c7-b78d-3b3218354286","Height","BiomedicalConcept","BiomedicalConcept_25","Height","['Height', 'Body Height']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","e86d263f-6a71-48ad-afce-7c7cfda155e9","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","4eb17b0a-b9a7-4d39-bf3d-12ecebbf29fb","Albumin Presence in Urine","BiomedicalConcept","BiomedicalConcept_27","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","1201196e-0a4a-4018-b985-4e5d04e7e899","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","2c40cdfa-045e-4d38-b25a-0b2888ea36d0","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","842a2a2b-7d55-49e6-988d-b8a32af3e18b","Creatinine Concentration in Urine","BiomedicalConcept","BiomedicalConcept_30","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","bb9b36eb-c59b-496f-82fd-82369d301d2a","Potassium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_31","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","b0c6a6f2-49da-4c26-8c1d-48cc3bb5bc20","Sodium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_32","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
